      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline    0.275 0.7633 -0.2531  0.8031  False
     average  egalitarian   -1.253    0.0 -1.7811 -0.7249   True
     average majoritarian   -0.419 0.2387 -0.9471  0.1091  False
     average      maximin    0.209 0.9322 -0.3191  0.7371  False
     average     optimist   -0.091 0.9996 -0.6191  0.4371  False
     average  utilitarian    0.089 0.9996 -0.4391  0.6171  False
     average         veto    0.178 0.9713 -0.3501  0.7061  False
    baseline  egalitarian   -1.528    0.0 -2.0561 -0.9999   True
    baseline majoritarian   -0.694 0.0018 -1.2221 -0.1659   True
    baseline      maximin   -0.066 0.9999 -0.5941  0.4621  False
    baseline     optimist   -0.366 0.4142 -0.8941  0.1621  False
    baseline  utilitarian   -0.186 0.9634 -0.7141  0.3421  False
    baseline         veto   -0.097 0.9993 -0.6251  0.4311  False
 egalitarian majoritarian    0.834    0.0  0.3059  1.3621   True
 egalitarian      maximin    1.462    0.0  0.9339  1.9901   True
 egalitarian     optimist    1.162    0.0  0.6339  1.6901   True
 egalitarian  utilitarian    1.342    0.0  0.8139  1.8701   True
 egalitarian         veto    1.431    0.0  0.9029  1.9591   True
majoritarian      maximin    0.628 0.0076  0.0999  1.1561   True
majoritarian     optimist    0.328 0.5628 -0.2001  0.8561  False
majoritarian  utilitarian    0.508 0.0695 -0.0201  1.0361  False
majoritarian         veto    0.597 0.0142  0.0689  1.1251   True
     maximin     optimist     -0.3 0.6728 -0.8281  0.2281  False
     maximin  utilitarian    -0.12 0.9973 -0.6481  0.4081  False
     maximin         veto   -0.031    1.0 -0.5591  0.4971  False
    optimist  utilitarian     0.18 0.9695 -0.3481  0.7081  False
    optimist         veto    0.269 0.7833 -0.2591  0.7971  False
 utilitarian         veto    0.089 0.9996 -0.4391  0.6171  False
----------------------------------------------------------------
