Metric,Test Name,Value,Type
gini_days_mean,majoritarian,0.06283122141229905,Minimum
gini_days_median,majoritarian,0.05625000000000002,Minimum
gini_days_stdev,egalitarian,0.030803988473286553,Minimum
gini_berries_mean,egalitarian,0.8099892460317462,Minimum
gini_berries_median,baseline,0.8500000000000001,Minimum
gini_berries_stdev,baseline,0.14804449407750112,Minimum
min_days_mean,baseline,9.001,Maximum
min_days_median,baseline,9.0,Maximum
min_days_stdev,baseline,0.0316227766016838,Minimum
min_berries_mean,baseline,0.0,Maximum
min_berries_median,baseline,0.0,Maximum
min_berries_stdev,baseline,0.0,Minimum
max_days_mean,baseline,16.655,Maximum
max_days_median,baseline,15.0,Maximum
max_days_stdev,egalitarian,2.2982935306773054,Minimum
max_berries_mean,baseline,1.402,Maximum
max_berries_median,baseline,1.0,Maximum
max_berries_stdev,egalitarian,0.373383737481181,Minimum
total_days_mean,baseline,198.239,Maximum
total_days_median,baseline,198.0,Maximum
total_days_stdev,egalitarian,9.269742829881103,Minimum
total_berries_mean,baseline,3.815,Maximum
total_berries_median,baseline,4.0,Maximum
total_berries_stdev,egalitarian,1.686488435549809,Minimum
episode_length_mean,baseline,9.91195,Maximum
episode_length_median,baseline,9.0,Maximum
episode_length_stdev,egalitarian,2.1316056617336274,Minimum
most_common,baseline,18.0,
