      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -0.0096    0.0 -0.0156 -0.0036   True
     average  egalitarian  -0.0116    0.0 -0.0176 -0.0056   True
     average majoritarian  -0.0066 0.0212 -0.0126 -0.0005   True
     average      maximin   -0.006 0.0541  -0.012  0.0001  False
     average     optimist  -0.0099    0.0 -0.0159 -0.0038   True
     average  utilitarian  -0.0094 0.0001 -0.0155 -0.0034   True
     average         veto  -0.0077 0.0026 -0.0137 -0.0017   True
    baseline  egalitarian   -0.002 0.9732  -0.008   0.004  False
    baseline majoritarian   0.0031 0.7859  -0.003  0.0091  False
    baseline      maximin   0.0037 0.5908 -0.0024  0.0097  False
    baseline     optimist  -0.0003    1.0 -0.0063  0.0058  False
    baseline  utilitarian   0.0002    1.0 -0.0059  0.0062  False
    baseline         veto   0.0019 0.9799 -0.0041  0.0079  False
 egalitarian majoritarian    0.005  0.175  -0.001  0.0111  False
 egalitarian      maximin   0.0056 0.0826 -0.0004  0.0117  False
 egalitarian     optimist   0.0017 0.9876 -0.0043  0.0078  False
 egalitarian  utilitarian   0.0021   0.96 -0.0039  0.0082  False
 egalitarian         veto   0.0039 0.5032 -0.0021  0.0099  False
majoritarian      maximin   0.0006    1.0 -0.0054  0.0066  False
majoritarian     optimist  -0.0033 0.7095 -0.0093  0.0027  False
majoritarian  utilitarian  -0.0029 0.8267 -0.0089  0.0031  False
majoritarian         veto  -0.0011 0.9991 -0.0072  0.0049  False
     maximin     optimist  -0.0039 0.5032 -0.0099  0.0021  False
     maximin  utilitarian  -0.0035 0.6427 -0.0095  0.0025  False
     maximin         veto  -0.0017 0.9876 -0.0078  0.0043  False
    optimist  utilitarian   0.0004    1.0 -0.0056  0.0064  False
    optimist         veto   0.0022   0.96 -0.0039  0.0082  False
 utilitarian         veto   0.0018 0.9876 -0.0043  0.0078  False
----------------------------------------------------------------
