df_label,gini_days_mean,gini_days_median,gini_days_stdev,gini_berries_mean,gini_berries_median,gini_berries_stdev,min_days_mean,min_days_median,min_days_stdev,min_berries_mean,min_berries_median,min_berries_stdev,max_days_mean,max_days_median,max_days_stdev,max_berries_mean,max_berries_median,max_berries_stdev,total_days_mean,total_days_median,total_days_stdev,total_berries_mean,total_berries_median,total_berries_stdev,episode_length_mean,episode_length_median,episode_length_stdev
baseline,0.0750378705305894,0.07727272727272727,0.0384447511273346,0.8217226590076591,0.8500000000000001,0.14804449407750112,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,16.655,15.0,4.163328993522889,1.402,1.0,0.6934528656490482,198.239,198.0,11.209617947750697,3.815,4.0,2.0584003527040147,9.91195,9.0,2.517302929367443
utilitarian,0.07034138295246607,0.07727272727272727,0.03641588266342949,0.8269283730158731,0.8500000000000001,0.15141567297425462,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,16.469,15.0,3.8381988967184557,1.348,1.0,0.6239273076932002,196.709,198.0,10.220801523549108,3.563,3.0,1.8733767748481727,9.83545,9.0,2.394756781074442
maximin,0.06985476550559278,0.07727272727272727,0.0381036035943823,0.8246545562770564,0.8500000000000001,0.15565816502099994,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,16.589,15.0,4.210440215322717,1.366,1.0,0.6859406056755312,196.608,198.0,10.84370425278751,3.616,3.0,1.9693710728104095,9.8304,9.0,2.4417686114162382
egalitarian,0.06735288540273743,0.07727272727272727,0.030803988473286553,0.8099892460317462,0.8500000000000001,0.1521319810575936,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,15.127,15.0,2.2982935306773054,1.082,1.0,0.373383737481181,196.286,198.0,9.269742829881103,3.449,3.0,1.686488435549809,9.8143,9.0,2.1316056617336274
average,0.068683199820668,0.05937500000000007,0.03772555248791109,0.8213315836940838,0.8500000000000001,0.15714886155810903,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,16.38,15.0,4.014189048078542,1.383,1.0,0.677325453360325,196.387,192.0,10.714197357946373,3.698,4.0,2.006694501617728,9.81935,9.0,2.3844915322754607
majoritarian,0.06283122141229905,0.05625000000000002,0.03698955548786224,0.8183609523809524,0.8500000000000001,0.18854902277108465,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,15.961,15.0,4.07161602524809,1.283,1.0,0.6598078101586449,194.684,192.0,10.112289671602689,3.283,3.0,1.8810766729321402,9.7342,9.0,2.2662319277508907
veto,0.06834688762929869,0.05937500000000007,0.0379020102182896,0.8327191847041847,0.8500000000000001,0.15171081339248818,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,16.558,15.0,4.224983607836425,1.389,1.0,0.700120824693259,196.163,192.0,10.62116943844887,3.508,3.0,1.9296786415514007,9.80815,9.0,2.4145672664587776
optimist,0.06533609680586724,0.05625000000000002,0.036527385729586165,0.8249096031746033,0.8500000000000001,0.17982675264741269,9.001,9.0,0.0316227766016838,0.0,0.0,0.0,16.289,15.0,3.9710512774639724,1.332,1.0,0.6528416363883375,195.24,192.0,9.8686265401924,3.31,3.0,1.8339201899928097,9.762,9.0,2.3181727063001176
