      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.4258 0.0345  0.0167  0.8349   True
     average  egalitarian  -0.2004  0.816 -0.6095  0.2087  False
     average majoritarian  -0.6649    0.0  -1.074 -0.2558   True
     average      maximin  -0.1052 0.9942 -0.5144  0.3039  False
     average     optimist  -0.5562  0.001 -0.9653  -0.147   True
     average  utilitarian  -0.0839 0.9986  -0.493  0.3252  False
     average         veto  -0.1965 0.8308 -0.6056  0.2126  False
    baseline  egalitarian  -0.6262 0.0001 -1.0353 -0.2171   True
    baseline majoritarian  -1.0907    0.0 -1.4998 -0.6816   True
    baseline      maximin  -0.5311 0.0021 -0.9402 -0.1219   True
    baseline     optimist   -0.982    0.0 -1.3911 -0.5728   True
    baseline  utilitarian  -0.5097  0.004 -0.9188 -0.1006   True
    baseline         veto  -0.6223 0.0001 -1.0314 -0.2132   True
 egalitarian majoritarian  -0.4645 0.0135 -0.8736 -0.0554   True
 egalitarian      maximin   0.0952 0.9969  -0.314  0.5043  False
 egalitarian     optimist  -0.3558 0.1432 -0.7649  0.0534  False
 egalitarian  utilitarian   0.1165 0.9892 -0.2926  0.5256  False
 egalitarian         veto   0.0039    1.0 -0.4052   0.413  False
majoritarian      maximin   0.5597 0.0009  0.1505  0.9688   True
majoritarian     optimist   0.1088 0.9929 -0.3004  0.5179  False
majoritarian  utilitarian    0.581 0.0004  0.1719  0.9901   True
majoritarian         veto   0.4684 0.0122  0.0593  0.8775   True
     maximin     optimist  -0.4509  0.019   -0.86 -0.0418   True
     maximin  utilitarian   0.0213    1.0 -0.3878  0.4305  False
     maximin         veto  -0.0913 0.9976 -0.5004  0.3179  False
    optimist  utilitarian   0.4723  0.011  0.0631  0.8814   True
    optimist         veto   0.3597 0.1336 -0.0495  0.7688  False
 utilitarian         veto  -0.1126 0.9912 -0.5217  0.2965  False
----------------------------------------------------------------
