df_label,gini_days_mean,gini_days_median,gini_days_stdev,gini_berries_mean,gini_berries_median,gini_berries_stdev,min_days_mean,min_days_median,min_days_stdev,min_berries_mean,min_berries_median,min_berries_stdev,max_days_mean,max_days_median,max_days_stdev,max_berries_mean,max_berries_median,max_berries_stdev,total_days_mean,total_days_median,total_days_stdev,total_berries_mean,total_berries_median,total_berries_stdev,episode_length_mean,episode_length_median,episode_length_stdev
baseline,0.49943768386934606,0.5428087863170865,0.12543825089134844,0.5857442962787396,0.625,0.12533368462400926,11.394,9.0,4.568548526133397,0.688,1.0,0.8338772999376775,174.411,200.0,56.61843981183805,35.327,41.0,13.107855922571277,253.597,247.0,92.43428307553258,45.865,47.0,18.63255073646512,63.39925,21.0,76.79537571931313
utilitarian,0.3915123662176002,0.4086826347305389,0.13728525548265624,0.4870474737792806,0.5,0.1452185896473383,12.853,9.0,6.5469270083951026,0.884,1.0,1.1427378745144705,111.994,98.0,62.4360170111789,20.02,17.0,13.262333485834592,186.028,178.0,83.38213115407758,29.27,27.0,16.680687795931718,46.507,21.0,52.28588628373931
maximin,0.34874142897475136,0.3508849557522124,0.13061534257651636,0.4677100785006486,0.4735442329227324,0.13561053536194542,11.715,9.0,5.046507925510693,0.732,1.0,0.9038766470005699,115.83,98.0,74.01683316375804,22.579,18.0,14.929522753579555,233.808,197.0,151.85838832973997,39.372,31.0,28.409764707415842,58.452,27.0,67.02182985728871
egalitarian,0.4714596749427236,0.4899328859060402,0.11638634065913021,0.5578762164512877,0.5785658307210031,0.12324717504964396,12.374,9.0,5.138144073936086,0.746,0.0,0.9467736690362593,178.635,200.0,51.482581823673435,36.174,41.0,11.951592553486943,287.878,275.0,96.26635095570168,51.464,51.0,18.974897911471114,71.9695,27.0,77.77039043335864
average,0.3563700604239404,0.33947368421052626,0.15183936952952531,0.47487822284478604,0.4913381123058542,0.14638037236770537,14.009,9.0,8.638144276205194,1.094,1.0,1.5354222616340827,110.378,81.0,70.21516421176615,20.283,15.0,12.712691435078709,192.026,179.0,92.90341419112846,30.636,28.0,16.934824837957205,48.0065,27.0,53.97880496636063
majoritarian,0.40759527462332756,0.4059141777217817,0.14355117202838613,0.49797315699610256,0.5166666666666667,0.1551455524627094,11.288,9.0,5.632653263141872,0.78,1.0,1.0298838093011564,118.349,105.0,70.54387029811049,20.808,16.0,14.738601099234701,194.863,170.5,121.44572983969546,30.859,24.5,23.41164719160581,48.71575,21.0,61.66321058639791
veto,0.4324840554430775,0.4569377990430622,0.13843654835443522,0.5222456746912749,0.55,0.14936306645369116,12.74,9.0,6.171587193622763,0.895,1.0,1.114098835928041,143.958,200.0,68.5364244579295,27.11,35.0,15.270464534096108,228.805,245.0,104.23719282179162,37.948,43.0,20.80476229458376,57.20125,26.0,66.88335438815142
optimist,0.4322700285414723,0.44693396226415094,0.12408724864741962,0.5129989268025112,0.5123083131557707,0.13073030015238654,11.085,9.0,4.138224244757635,0.706,1.0,0.8100742066133326,156.53,200.0,65.34909030433097,29.669,37.0,14.40093142216245,271.899,263.0,124.59745312133921,46.288,47.0,24.822635219074126,67.97475,27.0,74.79072151974376
