Metric,Test Name,Value,Type
gini_days_mean,maximin,0.34874142897475136,Minimum
gini_days_median,average,0.33947368421052626,Minimum
gini_days_stdev,egalitarian,0.11638634065913021,Minimum
gini_berries_mean,maximin,0.4677100785006486,Minimum
gini_berries_median,maximin,0.4735442329227324,Minimum
gini_berries_stdev,egalitarian,0.12324717504964396,Minimum
min_days_mean,average,14.009,Maximum
min_days_median,baseline,9.0,Maximum
min_days_stdev,baseline,4.568548526133397,Minimum
min_berries_mean,average,1.094,Maximum
min_berries_median,baseline,1.0,Maximum
min_berries_stdev,baseline,0.8338772999376775,Minimum
max_days_mean,egalitarian,178.635,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,egalitarian,51.482581823673435,Minimum
max_berries_mean,egalitarian,36.174,Maximum
max_berries_median,baseline,41.0,Maximum
max_berries_stdev,egalitarian,11.951592553486943,Minimum
total_days_mean,egalitarian,287.878,Maximum
total_days_median,egalitarian,275.0,Maximum
total_days_stdev,utilitarian,83.38213115407758,Minimum
total_berries_mean,egalitarian,51.464,Maximum
total_berries_median,egalitarian,51.0,Maximum
total_berries_stdev,utilitarian,16.680687795931718,Minimum
episode_length_mean,egalitarian,71.9695,Maximum
episode_length_median,maximin,27.0,Maximum
episode_length_stdev,utilitarian,52.28588628373931,Minimum
most_common,egalitarian,11.0,
