agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,19,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,4,1
1,19,200,0,39,0,4.200000000000015,42.00000000000015,5772.0,0,1.0,17,39
2,19,39,2,5,0,0.0,11.000000000000002,272.0,0,0.0,13,7
3,19,15,0,1,0,0.0,0.0,75.0,2,-1.2,6,1
0,20,200,0,35,0,1.7999999999999874,17.999999999999872,5070.0,0,1.0,19,35
1,20,200,0,32,2,0.0,0.0,3000.0,0,0.0,15,32
2,20,21,0,2,0,0.0,0.0,96.0,2,-1.2,9,2
3,20,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,21,44,1,6,0,0.0,5.9999999999999885,462.0,0,-1.0,17,7
1,21,200,1,41,0,5.400000000000015,60.00000000000014,6780.0,0,1.0,17,42
2,21,27,0,3,0,0.0,0.0,123.0,0,-1.0,11,3
3,21,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,22,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,6,1
1,22,27,1,3,0,0.0,5.000000000000001,206.0,0,0.0,8,4
2,22,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,22,21,0,2,0,0.0,0.0,96.0,0,-1.0,10,2
0,23,9,2,0,0,0.0,11.0,95.0,2,-1.2,6,2
1,23,200,1,41,0,5.400000000000027,60.00000000000026,7920.0,0,1.0,12,42
2,23,15,0,1,0,0.0,0.0,93.0,0,-1.0,7,1
3,23,15,0,1,0,0.0,0.0,57.0,0,-1.0,8,1
0,24,15,1,1,0,0.0,5.000000000000001,92.0,0,0.0,6,2
1,24,200,2,41,0,5.400000000000031,66.0000000000003,8130.0,0,2.0,20,43
2,24,63,1,9,0,0.0,5.000000000000001,752.0,0,-1.0,18,10
3,24,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,6,1
0,25,15,0,1,0,0.0,0.0,75.0,2,-1.2,8,1
1,25,200,1,41,0,5.400000000000012,60.000000000000114,6990.0,0,2.0,11,42
2,25,15,1,1,0,0.0,5.000000000000001,74.0,0,-1.0,7,2
3,25,15,0,1,0,0.0,0.0,87.0,0,-1.0,8,1
0,26,27,0,3,0,0.0,0.0,171.0,1,-1.2,14,3
1,26,21,0,2,0,0.0,0.0,120.0,0,-1.0,10,2
2,26,51,0,7,0,0.0,0.0,339.0,1,-1.2,16,7
3,26,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,2,1
0,27,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
1,27,51,0,7,0,0.0,0.0,405.0,0,-1.0,11,7
2,27,9,0,0,0,0.0,0.0,36.0,1,-1.2,4,0
3,27,15,1,1,0,0.0,5.000000000000001,98.0,0,-1.0,5,2
0,28,200,1,38,0,3.5999999999999868,41.999999999999865,5358.0,0,2.0,23,39
1,28,158,0,25,3,0.0,0.0,1893.0,0,-1.0,17,25
2,28,21,0,2,0,0.0,0.0,96.0,0,-1.0,9,2
3,28,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,5,1
0,29,200,1,42,0,6.000000000000012,66.00000000000011,7626.0,0,1.0,19,43
1,29,27,0,3,0,0.0,0.0,135.0,0,-1.0,8,3
2,29,21,0,2,0,0.0,0.0,96.0,0,-1.0,8,2
3,29,9,1,0,1,0.0,5.000000000000001,53.0,0,-1.0,4,1
0,30,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
1,30,200,1,41,0,5.400000000000004,60.00000000000004,6156.0,0,2.0,13,42
2,30,21,1,2,0,0.0,5.000000000000002,119.0,0,-1.0,10,3
3,30,15,1,1,0,0.0,5.000000000000001,110.0,0,-1.0,7,2
0,31,200,0,37,0,2.999999999999986,29.999999999999854,5394.0,0,1.0,20,37
1,31,158,1,25,3,0.0,5.999999999999935,2121.0,0,0.0,13,26
2,31,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,31,9,2,0,1,0.0,11.0,71.0,0,0.0,5,2
0,32,200,0,42,0,6.00000000000001,60.00000000000009,6066.0,1,2.0,20,42
1,32,68,0,10,0,0.0,0.0,546.0,0,-1.0,13,10
2,32,27,1,3,0,0.0,5.000000000000002,158.0,0,0.0,12,4
3,32,15,1,1,0,0.0,5.000000000000001,62.0,0,0.0,8,2
0,33,15,0,1,1,0.0,0.0,69.0,3,-1.2,7,1
1,33,200,1,42,0,6.000000000000002,66.00000000000001,6492.0,0,1.0,10,43
2,33,15,1,1,0,0.0,5.000000000000002,80.0,0,-1.0,8,2
3,33,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
0,34,15,1,1,0,0.0,5.000000000000002,122.0,2,-1.2,8,2
1,34,200,0,40,0,4.800000000000004,48.00000000000004,6390.0,0,1.0,11,40
2,34,15,0,1,0,0.0,0.0,69.0,0,-1.0,7,1
3,34,21,1,2,1,0.0,5.000000000000002,131.0,0,-1.0,8,3
0,35,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,6,1
1,35,200,0,41,0,5.399999999999999,53.99999999999999,4698.0,1,2.0,14,41
2,35,9,0,0,0,0.0,0.0,36.0,0,-1.0,2,0
3,35,45,0,6,0,0.0,0.0,210.0,0,-1.0,11,6
0,36,15,1,1,1,0.0,5.000000000000001,128.0,2,-1.2,11,2
1,36,200,2,41,0,5.400000000000011,66.00000000000011,6372.0,0,2.0,17,43
2,36,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,6,1
3,36,27,1,3,0,0.0,5.000000000000004,230.0,0,-1.0,17,4
0,37,9,1,0,1,0.0,5.000000000000001,71.0,0,-1.0,7,1
1,37,200,0,40,0,4.799999999999997,47.99999999999997,5532.0,0,1.0,12,40
2,37,27,1,3,0,0.0,5.000000000000001,182.0,0,-1.0,11,4
3,37,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,38,27,0,3,0,0.0,0.0,147.0,2,-1.2,13,3
1,38,200,1,40,0,4.799999999999995,53.99999999999995,4722.0,0,2.0,12,41
2,38,27,1,3,0,0.0,5.000000000000004,152.0,0,-1.0,12,4
3,38,15,0,1,0,0.0,0.0,87.0,0,-1.0,5,1
0,39,15,0,1,0,0.0,0.0,87.0,2,-1.2,6,1
