i,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
32,0,1,10,2,0,0,0.0,11.0,71.0,2,-1.2,5,2
297,1,1,200,1,46,0,8.500000000000028,91.00000000000028,9504.0,0,1.0,22,47
142,2,1,46,1,6,0,0.0,5.000000000000001,353.0,0,-1.0,15,7
143,3,1,46,1,6,0,0.0,5.000000000000005,311.0,0,-1.0,18,7
863,0,2,200,1,37,3,2.99999999999999,35.99999999999989,5280.0,1,2.0,29,38
864,1,2,200,2,52,0,12.00000000000004,132.0000000000004,15810.0,0,2.0,30,54
708,2,2,122,0,19,6,0.0,0.0,1101.0,0,-1.0,31,19
477,3,2,45,0,6,2,0.0,0.0,264.0,0,-1.0,15,6
1477,0,3,200,0,36,0,2.399999999999993,23.999999999999925,3324.0,0,1.0,34,36
1478,1,3,200,1,35,0,1.7999999999999887,23.999999999999886,3834.0,0,2.0,21,36
1479,2,3,200,0,41,1,5.4,54.0,5712.0,0,1.0,28,41
924,3,3,15,0,1,0,0.0,0.0,75.0,0,-1.0,7,1
1536,0,4,15,0,1,1,0.0,0.0,63.0,3,-1.2,7,1
1914,1,4,200,1,48,0,9.600000000000035,102.00000000000034,10854.0,0,1.0,19,49
1915,2,4,200,0,43,0,6.60000000000001,66.0000000000001,6000.0,1,2.0,22,43
1557,3,4,21,1,2,1,0.0,5.000000000000001,125.0,0,0.0,9,3
2374,0,5,200,1,37,0,2.999999999999987,35.99999999999987,5136.0,0,1.0,25,38
2375,1,5,200,0,35,2,1.799999999999995,17.999999999999947,2262.0,0,1.0,21,35
2041,2,5,33,1,4,0,0.0,5.000000000000004,209.0,0,0.0,14,5
2023,3,5,27,0,3,1,0.0,0.0,165.0,0,-1.0,15,3
2834,0,6,200,2,35,2,1.799999999999994,29.999999999999936,3420.0,0,2.0,25,37
2835,1,6,200,0,45,0,7.800000000000024,78.00000000000023,10560.0,0,1.0,19,45
2482,2,6,27,0,3,1,0.0,0.0,117.0,0,-1.0,9,3
2501,3,6,33,1,4,0,0.0,5.000000000000004,215.0,0,-1.0,13,5
3128,0,7,74,0,11,4,0.0,0.0,705.0,0,-1.0,18,11
3265,1,7,200,1,47,0,9.000000000000034,96.00000000000033,11394.0,1,2.0,23,48
3133,2,7,75,0,11,6,0.0,0.0,501.0,0,-1.0,27,11
3146,3,7,81,1,12,1,0.0,5.000000000000005,569.0,0,-1.0,31,13
3298,0,8,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
3789,1,8,200,1,49,0,10.200000000000024,108.00000000000024,9882.0,0,1.0,23,50
3790,2,8,200,0,42,0,6.00000000000002,60.00000000000019,7572.0,0,1.0,23,42
3622,3,8,116,1,18,3,0.0,5.999999999999983,1445.9999999999998,0,-1.0,27,19
4397,0,9,200,1,42,0,6.000000000000012,66.00000000000011,8670.0,0,1.0,25,43
4398,1,9,200,0,42,0,6.000000000000033,60.00000000000033,7818.0,0,1.0,17,42
4399,2,9,200,0,44,3,7.200000000000024,72.00000000000024,8220.0,0,1.0,18,44
3826,3,9,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,6,1
4432,0,10,9,0,0,1,0.0,0.0,42.0,0,-1.0,7,0
4834,1,10,200,1,49,0,10.200000000000031,108.00000000000033,11406.0,0,1.0,17,50
4835,2,10,200,1,46,0,8.400000000000027,90.00000000000026,9984.0,0,2.0,17,47
4489,3,10,27,0,3,1,0.0,0.0,189.0,4,-1.2,12,3
4868,0,11,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,4,1
5341,1,11,200,1,50,0,10.80000000000004,114.00000000000038,13320.0,1,2.0,23,51
5342,2,11,200,3,37,2,2.999999999999986,47.99999999999985,5538.0,0,2.0,36,40
