i,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
128,0,1,34,0,4,2,0.0,0.0,222.0,2,-1.1,19,4
129,1,1,34,0,4,2,0.0,0.0,222.0,1,-1.1,15,4
255,2,1,111,0,17,1,0.0,0.0,987.0,2,-1.1,29,17
225,3,1,81,1,12,0,0.0,5.999999999999983,798.0,0,-0.1999999999999999,18,13
880,0,2,200,0,40,7,4.8,47.99999999999999,4890.0,1,1.8,32,40
881,1,2,200,1,35,10,1.7999999999999887,23.999999999999886,4332.0,0,1.0,31,36
362,2,2,27,0,3,0,0.0,0.0,159.0,0,-1.0,10,3
882,3,2,200,0,46,4,8.400000000000023,84.00000000000023,8874.0,3,0.9,29,46
1501,0,3,200,2,38,5,3.5999999999999868,47.999999999999865,4740.0,0,1.8,22,40
1502,1,3,200,1,34,4,1.1999999999999864,17.999999999999865,4470.0,0,1.0,23,35
965,2,3,21,0,2,1,0.0,0.0,126.0,2,-1.1,11,2
1503,3,3,200,1,41,5,5.400000000000026,60.000000000000256,8052.0,0,1.8,18,42
1916,0,4,104,0,16,3,0.0,0.0,984.0,0,-1.0,24,16
2205,1,4,200,0,40,3,4.800000000000013,48.00000000000013,6468.0,1,1.8,39,40
2206,2,4,200,0,37,1,2.9999999999999902,29.9999999999999,4176.0,0,1.0,34,37
2207,3,4,200,0,38,1,3.5999999999999983,35.99999999999998,6552.0,0,1.0,27,38
2264,0,5,15,0,1,1,0.0,0.0,93.0,2,-1.1,10,1
2820,1,5,200,1,46,8,8.400000000000032,90.00000000000031,12030.0,0,1.0,31,47
2821,2,5,200,0,37,4,2.999999999999995,29.99999999999995,6192.0,0,1.0,25,37
2822,3,5,200,0,45,2,7.79999999999999,77.9999999999999,6600.0,4,1.9,24,45
3447,0,6,200,2,37,3,2.999999999999991,41.99999999999991,4212.0,0,1.8,34,39
3448,1,6,200,1,36,6,2.3999999999999906,29.999999999999904,3612.0,0,1.0,34,37
2929,2,6,27,0,3,3,0.0,0.0,189.0,2,-1.1,11,3
3449,3,6,200,0,41,3,5.400000000000014,54.000000000000135,7146.0,3,0.9,27,41
3530,0,7,21,0,2,0,0.0,0.0,126.0,0,-1.0,11,2
3919,1,7,200,1,42,2,6.000000000000018,66.00000000000017,7260.0,0,1.0,25,43
3619,2,7,50,0,7,0,0.0,0.0,465.0,0,-1.0,11,7
3920,3,7,200,1,43,0,6.600000000000015,72.00000000000014,7440.0,0,1.8,24,44
4050,0,8,39,0,5,1,0.0,0.0,219.0,0,-1.0,14,5
3978,1,8,15,1,1,0,0.0,5.000000000000001,62.0,0,-0.1999999999999999,5,2
4277,2,8,152,0,24,1,0.0,0.0,1926.0,4,-1.1,25,24
4326,3,8,200,0,36,0,2.3999999999999906,23.999999999999904,2826.0,0,1.0,23,36
5123,0,9,200,0,32,11,0.0,0.0,1890.0,3,-0.1,38,32
5124,1,9,200,1,42,5,6.000000000000005,66.00000000000004,6180.0,0,1.0,27,43
