i,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
651,0,1,200,3,39,23,4.3,60.99999999999999,3180.0,0,1.8,50,42
225,1,1,58,0,8,1,0.0,0.0,342.0,2,-1.1,21,8
652,2,1,200,0,43,0,6.699999999999999,66.99999999999999,7026.0,0,1.0,41,43
653,3,1,200,1,37,23,3.099999999999989,36.999999999999886,4302.0,3,0.9,38,38
1083,0,2,129,0,20,5,0.0,0.0,1140.0,3,-1.1,39,20
855,1,2,51,0,7,1,0.0,0.0,333.0,2,-1.1,31,7
1155,2,2,200,0,45,0,7.800000000000043,78.00000000000043,11640.0,0,1.0,36,45
1070,3,2,122,0,19,3,0.0,0.0,1275.0,0,-1.0,29,19
1727,0,3,200,0,36,37,2.3999999999999924,23.99999999999992,3324.0,0,1.0,40,36
1537,1,3,105,1,16,8,0.0,5.000000000000003,893.0,2,-1.1,41,17
1426,2,3,68,0,10,2,0.0,0.0,642.0,0,-1.0,23,10
1728,3,3,200,0,51,20,11.40000000000003,114.0000000000003,13824.0,0,1.0,39,51
2288,0,4,200,3,43,14,6.600000000000002,84.00000000000001,7992.0,1,1.8,29,46
1858,1,4,33,0,4,3,0.0,0.0,222.0,2,-1.1,17,4
2289,2,4,200,2,42,1,6.000000000000036,72.00000000000036,9246.0,1,1.8,25,44
2145,3,4,128,0,20,14,0.0,0.0,2076.0,4,-1.1,26,20
2384,0,5,39,4,5,0,0.0,23.0,344.0,0,-0.1999999999999999,12,9
2323,1,5,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,3,1
2397,2,5,51,0,7,0,0.0,0.0,249.0,1,-1.1,14,7
2325,3,5,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
3022,0,6,200,1,34,26,1.1999999999999966,17.999999999999964,2172.0,0,1.8,38,35
2503,1,6,27,0,3,0,0.0,0.0,189.0,2,-1.1,14,3
3023,2,6,200,0,36,0,2.3999999999999857,23.99999999999985,4644.0,0,1.0,38,36
3024,3,6,200,0,40,19,4.799999999999994,47.999999999999936,4092.0,0,1.0,32,40
3286,0,7,75,0,11,6,0.0,0.0,681.0,3,-1.1,34,11
3178,1,7,39,0,5,0,0.0,0.0,279.0,3,-1.1,21,5
3537,2,7,200,0,47,0,9.000000000000046,90.00000000000045,14316.0,0,1.0,33,47
3538,3,7,200,0,38,4,3.599999999999992,35.999999999999915,3774.0,1,1.8,34,38
4181,0,8,200,3,38,31,3.599999999999991,53.99999999999992,5178.0,0,1.0,43,41
3716,1,8,45,0,6,2,0.0,0.0,276.0,2,-1.1,28,6
4182,2,8,200,3,39,4,4.199999999999993,59.99999999999993,7134.0,0,1.8,33,42
4183,3,8,200,0,46,23,8.40000000000004,84.00000000000038,9540.0,0,1.0,31,46
4808,0,9,200,2,38,39,3.599999999999992,47.99999999999992,5658.0,4,1.2333333333333334,36,40
4289,1,9,27,0,3,2,0.0,0.0,189.0,2,-1.1,15,3
4809,2,9,200,1,40,3,4.8000000000000105,54.0000000000001,7530.0,1,1.8,36,41
4810,3,9,200,0,43,30,6.600000000000033,66.00000000000033,8766.0,0,1.0,29,43
5183,0,10,122,0,19,26,0.0,0.0,2535.0,3,-1.1,27,19
4844,1,10,9,0,0,0,0.0,0.0,36.0,2,-1.1,7,0
5340,2,10,200,0,42,2,6.000000000000018,60.00000000000018,7980.0,0,1.0,28,42
5341,3,10,200,0,43,19,6.600000000000037,66.00000000000037,11652.0,0,1.0,31,43
5966,0,11,200,0,34,34,1.1999999999999948,11.999999999999948,2358.0,1,0.9,38,34
5447,1,11,27,0,3,4,0.0,0.0,207.0,0,-1.0,17,3
5967,2,11,200,1,39,3,4.199999999999995,47.99999999999994,6306.0,0,1.0,34,40
5968,3,11,200,1,41,27,5.400000000000024,60.00000000000024,7974.0,0,1.8,33,42
6193,0,12,57,0,8,4,0.0,0.0,336.0,3,-1.1,17,8
6623,1,12,200,1,35,6,1.799999999999991,23.999999999999908,3510.0,1,1.8,35,36
6624,2,12,200,0,37,0,2.999999999999986,29.999999999999854,5520.0,0,1.0,29,37
6625,3,12,200,1,37,6,2.9999999999999862,35.99999999999986,5034.0,0,1.8,36,38
6658,0,13,9,0,0,1,0.0,0.0,42.0,1,-1.1,6,0
7232,1,13,200,2,35,4,1.799999999999986,29.999999999999854,4620.0,2,0.9,34,37
7233,2,13,200,1,37,0,2.9999999999999867,35.999999999999865,6318.0,0,1.0,23,38
7234,3,13,200,0,37,3,2.999999999999988,29.99999999999988,5136.0,0,1.0,20,37
7847,0,14,200,0,35,22,1.799999999999999,17.99999999999999,2364.0,3,1.2333333333333334,43,35
7292,1,14,15,0,1,0,0.0,0.0,57.0,0,-1.0,7,1
7848,2,14,200,2,44,0,7.200000000000012,84.0000000000001,7572.0,0,1.8,33,46
7849,3,14,200,1,40,14,4.8,53.99999999999999,4206.0,0,1.8,24,41
7956,0,15,38,7,5,0,0.0,41.99999999999999,1011.0,0,-1.0,18,12
7938,1,15,27,0,3,1,0.0,0.0,195.0,2,-1.1,16,3
7884,2,15,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,5,2
7951,3,15,33,0,4,1,0.0,0.0,216.0,4,-1.1,23,4
8617,0,16,200,2,39,30,4.199999999999996,53.99999999999996,4044.0,0,1.0,42,41
8206,1,16,63,1,9,1,0.0,5.000000000000006,392.0,0,-0.1999999999999999,22,10
8618,2,16,200,0,37,7,2.9999999999999893,29.999999999999893,6954.0,0,1.0,32,37
8619,3,16,200,0,47,21,9.000000000000025,90.00000000000024,9168.0,3,0.9,40,47
8733,0,17,39,4,5,0,0.0,23.000000000000007,290.0,0,-0.1999999999999999,15,9
8727,1,17,33,1,4,0,0.0,5.000000000000005,209.0,0,-0.1999999999999999,11,5
8715,2,17,27,0,3,0,0.0,0.0,141.0,1,-1.1,10,3
8679,3,17,15,0,1,0,0.0,0.0,63.0,0,-1.0,7,1
8934,0,18,51,0,7,1,0.0,0.0,333.0,4,-1.1,22,7
8953,1,18,57,0,8,2,0.0,0.0,372.0,2,-1.1,22,8
9240,2,18,200,0,44,0,7.200000000000044,72.00000000000043,10284.0,1,1.8,20,44
9241,3,18,200,0,37,5,2.999999999999989,29.999999999999886,3582.0,0,1.0,21,37
9884,0,19,200,2,39,24,4.199999999999992,53.99999999999992,4680.0,0,1.0,51,41
9419,1,19,45,0,6,1,0.0,0.0,288.0,3,-1.1,22,6
9885,2,19,200,1,43,1,6.600000000000012,72.00000000000011,7998.0,0,1.8,36,44
9886,3,19,200,0,38,24,3.599999999999993,35.99999999999993,4344.0,2,1.5,39,38
10064,0,20,92,13,14,3,0.0,77.99999999999994,3786.0,0,-1.0,28,27
9999,1,20,33,1,4,1,0.0,5.000000000000003,257.0,4,-1.1,16,5
9945,2,20,15,0,1,0,0.0,0.0,81.0,0,-1.0,5,1
10010,3,20,38,0,5,5,0.0,0.0,465.0,4,-1.1,16,5
10577,0,21,200,3,43,2,6.6000000000000085,84.00000000000009,7194.0,0,1.8,42,46
10218,1,21,39,0,5,0,0.0,0.0,267.0,2,-1.1,17,5
10578,2,21,200,2,43,0,6.600000000000005,78.00000000000004,7962.0,0,1.0,33,45
10328,3,21,75,0,11,2,0.0,0.0,519.0,4,-1.1,26,11
11185,0,22,200,0,34,32,1.1999999999999944,11.999999999999943,2640.0,4,1.1,27,34
10612,1,22,9,0,0,1,0.0,0.0,42.0,2,-1.1,7,0
11186,2,22,200,1,37,3,2.9999999999999853,35.99999999999985,5454.0,0,1.0,31,38
11187,3,22,200,0,42,24,6.000000000000014,60.00000000000014,7470.0,0,1.0,30,42
11664,0,23,200,1,35,27,1.7999999999999972,23.99999999999997,2856.0,0,1.8,27,36
11341,1,23,39,1,5,3,0.0,5.000000000000005,230.0,0,-1.0,19,6
11342,2,23,39,1,5,2,0.0,5.000000000000006,230.0,0,-0.1999999999999999,17,6
11665,3,23,200,0,50,16,10.800000000000038,108.00000000000036,13302.0,0,1.0,28,50
11698,0,24,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
12088,1,24,200,0,40,0,4.800000000000027,48.00000000000027,7374.0,0,1.0,30,40
11718,2,24,15,0,1,0,0.0,0.0,81.0,3,-1.1,10,1
12089,3,24,200,3,35,6,1.7999999999999892,35.999999999999886,5766.0,0,1.0,30,38
12190,0,25,33,7,4,0,0.0,41.0,755.0,0,-0.1999999999999999,13,11
12178,1,25,27,0,3,2,0.0,0.0,231.0,3,-1.1,15,3
12124,2,25,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
12191,3,25,33,0,4,0,0.0,0.0,216.0,3,-1.1,20,4
12822,0,26,200,0,34,28,1.1999999999999988,11.999999999999988,1950.0,0,1.0,39,34
12321,1,26,33,0,4,0,0.0,0.0,192.0,2,-1.1,14,4
12823,2,26,200,2,35,0,1.7999999999999865,29.999999999999865,4956.0,0,1.8,36,37
12824,3,26,200,1,38,23,3.59999999999999,41.99999999999989,4926.0,2,1.9,34,39
13306,0,27,200,2,44,4,7.20000000000002,84.0000000000002,9198.0,1,1.8,34,46
13054,1,27,74,0,11,2,0.0,0.0,669.0,3,-1.1,29,11
13307,2,27,200,2,43,1,6.600000000000018,78.00000000000018,9120.0,1,1.8,28,45
12860,3,27,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,4,1
13340,0,28,9,0,0,1,0.0,0.0,42.0,1,-1.1,5,0
13736,1,28,200,0,32,0,0.0,0.0,4158.0,1,-0.1,28,32
13737,2,28,200,0,46,0,8.400000000000018,84.00000000000017,9342.0,1,1.8,21,46
13379,3,28,21,1,2,2,0.0,5.000000000000001,149.0,0,-0.1999999999999999,11,3
14344,0,29,200,2,35,37,1.7999999999999914,29.99999999999991,3426.0,0,1.0,27,37
13771,1,29,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,8,1
14345,2,29,200,1,37,2,2.999999999999986,35.99999999999986,5286.0,0,1.0,31,38
14346,3,29,200,1,42,28,6.000000000000008,66.00000000000007,7560.0,0,1.8,21,43
14518,0,30,51,0,7,1,0.0,0.0,345.0,3,-1.1,19,7
14817,1,30,200,0,39,1,4.199999999999998,41.99999999999998,4656.0,0,1.0,31,39
14818,2,30,200,1,42,0,6.0,65.99999999999999,7188.0,1,1.8,24,43
14430,3,30,21,0,2,1,0.0,0.0,102.0,0,-1.0,13,2
15485,0,31,200,3,35,26,1.7999999999999954,35.99999999999995,3096.0,0,1.0,38,38
15092,1,31,69,1,10,1,0.0,5.000000000000011,503.0,0,-1.0,23,11
15486,2,31,200,1,38,2,3.599999999999989,41.999999999999886,7062.0,0,1.0,31,39
15487,3,31,200,0,42,22,6.000000000000037,60.00000000000037,10356.0,2,1.9,29,42
16118,0,32,200,0,34,29,1.199999999999994,11.99999999999994,2976.0,4,1.2333333333333334,45,34
15617,1,32,33,0,4,0,0.0,0.0,186.0,2,-1.1,19,4
16119,2,32,200,1,38,2,3.600000000000003,42.00000000000003,7368.0,0,1.0,30,39
16120,3,32,200,0,43,21,6.600000000000015,66.00000000000014,6738.0,0,1.0,28,43
16799,0,33,200,1,37,26,2.999999999999995,35.99999999999995,2922.0,0,1.0,50,38
16442,1,33,81,0,12,4,0.0,0.0,534.0,3,-1.1,37,12
16800,2,33,200,1,38,5,3.5999999999999868,41.999999999999865,6090.0,0,1.0,41,39
16801,3,33,200,0,42,25,6.000000000000028,60.00000000000027,8280.0,0,1.0,40,42
16906,0,34,27,0,3,2,0.0,0.0,177.0,0,-1.0,15,3
17295,1,34,200,0,36,1,2.400000000000006,24.00000000000006,5646.0,4,0.9,37,36
17296,2,34,200,0,43,0,6.600000000000008,66.00000000000007,7140.0,0,1.0,32,43
17032,3,34,68,0,10,4,0.0,0.0,594.0,0,-1.0,18,10
17761,0,35,200,1,34,25,1.1999999999999966,17.999999999999964,2904.0,0,1.8,33,35
17463,1,35,51,1,7,3,0.0,5.000000000000006,422.0,2,-1.1,21,8
17355,2,35,15,1,1,0,0.0,5.000000000000001,92.0,0,-0.1999999999999999,8,2
