agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,utilitarian,1,200,1,35,0,1.8999999999999893,24.999999999999893,3444.0,0,1.0,23,36
1,utilitarian,1,34,1,4,1,0.0,5.0,263.0,0,-0.1999999999999999,14,5
2,baseline,1,200,0,39,0,4.2999999999999865,42.999999999999865,4758.0,0,1.0,23,39
3,baseline,1,16,0,1,1,0.0,0.0,75.0,3,-1.2,10,1
0,utilitarian,2,38,0,5,0,0.0,0.0,363.0,0,-1.0,15,5
1,utilitarian,2,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
2,baseline,2,200,7,35,1,1.79999999999999,59.9999999999999,4716.0,0,1.0,29,42
3,baseline,2,99,1,15,0,0.0,5.000000000000002,974.0,0,-1.0,30,16
0,utilitarian,3,182,0,29,0,0.0,0.0,2547.0,0,-1.0,15,29
1,utilitarian,3,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
2,baseline,3,200,3,35,0,1.7999999999999856,35.99999999999985,5034.0,0,1.0,18,38
3,baseline,3,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,5,1
0,utilitarian,4,32,0,4,0,0.0,0.0,270.0,0,-1.0,12,4
1,utilitarian,4,111,0,17,2,0.0,0.0,747.0,0,-1.0,26,17
2,baseline,4,200,7,35,0,1.799999999999986,59.99999999999986,7404.0,0,1.0,24,42
3,baseline,4,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,5,1
0,utilitarian,5,200,2,40,0,4.8000000000000025,60.00000000000002,6402.0,0,1.8,13,42
1,utilitarian,5,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
2,baseline,5,39,0,5,0,0.0,0.0,195.0,0,-1.0,11,5
3,baseline,5,15,1,1,1,0.0,5.000000000000002,98.0,0,-1.0,8,2
0,utilitarian,6,200,0,36,0,2.3999999999999866,23.999999999999865,3636.0,0,1.0,21,36
1,utilitarian,6,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
2,baseline,6,200,0,38,0,3.599999999999992,35.99999999999992,5346.0,0,1.0,16,38
3,baseline,6,15,0,1,0,0.0,0.0,81.0,0,-1.0,10,1
0,utilitarian,7,92,0,14,0,0.0,0.0,912.0,0,-1.0,17,14
1,utilitarian,7,200,1,38,1,3.599999999999988,41.99999999999987,4476.0,0,1.0,25,39
2,baseline,7,200,0,40,0,4.7999999999999945,47.99999999999994,5964.0,1,2.0,23,40
3,baseline,7,9,0,0,0,0.0,0.0,36.0,1,-1.2,5,0
0,utilitarian,8,200,0,41,0,5.400000000000013,54.00000000000013,7986.0,0,1.0,14,41
1,utilitarian,8,15,0,1,0,0.0,0.0,81.0,0,-1.0,10,1
2,baseline,8,200,0,39,1,4.199999999999988,41.99999999999987,4968.0,1,2.0,15,39
3,baseline,8,15,2,1,2,0.0,11.0,110.0,0,0.0,9,3
0,utilitarian,9,200,0,38,0,3.5999999999999868,35.999999999999865,4338.0,0,1.0,17,38
1,utilitarian,9,9,0,0,1,0.0,0.0,42.0,1,-1.1,4,0
2,baseline,9,200,1,36,1,2.3999999999999857,29.999999999999854,4722.0,0,2.0,17,37
3,baseline,9,27,2,3,0,0.0,11.000000000000004,170.0,0,0.0,14,5
0,utilitarian,10,200,1,35,0,1.79999999999999,23.9999999999999,2658.0,1,1.8,17,36
1,utilitarian,10,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
2,baseline,10,104,0,16,0,0.0,0.0,948.0,0,-1.0,14,16
3,baseline,10,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,3,1
0,utilitarian,11,39,0,5,0,0.0,0.0,219.0,3,-1.1,13,5
1,utilitarian,11,9,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
2,baseline,11,200,6,35,0,1.7999999999999914,53.99999999999992,4218.0,0,2.0,21,41
3,baseline,11,15,0,1,0,0.0,0.0,75.0,0,-1.0,9,1
0,utilitarian,12,74,0,11,0,0.0,0.0,807.0,3,-1.1,16,11
1,utilitarian,12,15,0,1,0,0.0,0.0,87.0,1,-1.1,6,1
2,baseline,12,200,7,35,0,1.7999999999999892,59.99999999999989,5496.0,0,1.0,21,42
3,baseline,12,21,1,2,0,0.0,5.000000000000002,95.0,0,-1.0,10,3
0,utilitarian,13,200,0,37,0,2.999999999999997,29.999999999999968,5184.0,0,1.0,21,37
1,utilitarian,13,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
2,baseline,13,200,0,41,0,5.400000000000009,54.00000000000009,6258.0,1,2.0,18,41
3,baseline,13,21,1,2,0,0.0,5.000000000000002,101.0,0,-1.0,12,3
0,utilitarian,14,200,0,42,0,6.000000000000018,60.00000000000018,7404.0,1,1.8,21,42
1,utilitarian,14,200,0,41,0,5.399999999999997,53.999999999999964,5178.0,0,1.0,18,41
2,baseline,14,39,0,5,1,0.0,0.0,219.0,0,-1.0,13,5
3,baseline,14,15,0,1,0,0.0,0.0,87.0,0,-1.0,8,1
0,utilitarian,15,200,0,42,0,6.000000000000012,60.000000000000114,6120.0,0,1.0,22,42
1,utilitarian,15,200,1,41,0,5.400000000000017,60.00000000000016,7326.0,0,1.8,20,42
2,baseline,15,33,0,4,0,0.0,0.0,240.0,2,-1.2,13,4
