      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   2.5997    0.0  1.4036  3.7959   True
     average  egalitarian   2.1285    0.0  0.9323  3.3247   True
     average majoritarian   0.8413 0.3943 -0.3549  2.0374  False
     average      maximin   2.3075    0.0  1.1113  3.5037   True
     average     optimist   2.6212    0.0  1.4251  3.8174   True
     average  utilitarian  -1.2745 0.0272 -2.4707 -0.0783   True
     average         veto   1.7262 0.0003  0.5301  2.9224   True
    baseline  egalitarian  -0.4712 0.9339 -1.6674  0.7249  False
    baseline majoritarian  -1.7585 0.0002 -2.9547 -0.5623   True
    baseline      maximin  -0.2922 0.9958 -1.4884  0.9039  False
    baseline     optimist   0.0215    1.0 -1.1747  1.2177  False
    baseline  utilitarian  -3.8742    0.0 -5.0704 -2.6781   True
    baseline         veto  -0.8735 0.3435 -2.0697  0.3227  False
 egalitarian majoritarian  -1.2873 0.0246 -2.4834 -0.0911   True
 egalitarian      maximin    0.179 0.9998 -1.0172  1.3752  False
 egalitarian     optimist   0.4927 0.9172 -0.7034  1.6889  False
 egalitarian  utilitarian   -3.403    0.0 -4.5992 -2.2068   True
 egalitarian         veto  -0.4023 0.9717 -1.5984  0.7939  False
majoritarian      maximin   1.4662  0.005  0.2701  2.6624   True
majoritarian     optimist     1.78 0.0002  0.5838  2.9762   True
majoritarian  utilitarian  -2.1158    0.0 -3.3119 -0.9196   True
majoritarian         veto    0.885 0.3262 -0.3112  2.0812  False
     maximin     optimist   0.3137 0.9934 -0.8824  1.5099  False
     maximin  utilitarian   -3.582    0.0 -4.7782 -2.3858   True
     maximin         veto  -0.5813 0.8221 -1.7774  0.6149  False
    optimist  utilitarian  -3.8957    0.0 -5.0919 -2.6996   True
    optimist         veto   -0.895 0.3115 -2.0912  0.3012  False
 utilitarian         veto   3.0007    0.0  1.8046  4.1969   True
----------------------------------------------------------------
