Metric,Test Name,Value,Type
gini_days_mean,average,0.40424813107429985,Minimum
gini_days_median,average,0.41052884615384616,Minimum
gini_days_stdev,majoritarian,0.10562319889532444,Minimum
gini_berries_mean,average,0.48889449558746606,Minimum
gini_berries_median,average,0.48750000000000004,Minimum
gini_berries_stdev,average,0.10674343336930499,Minimum
min_days_mean,veto,14.785,Maximum
min_days_median,average,9.0,Maximum
min_days_stdev,majoritarian,7.1030171654623535,Minimum
min_berries_mean,average,1.341,Maximum
min_berries_median,average,1.0,Maximum
min_berries_stdev,majoritarian,1.2711753957998428,Minimum
max_days_mean,optimist,191.075,Maximum
max_days_median,average,200.0,Maximum
max_days_stdev,optimist,32.745406344045215,Minimum
max_berries_mean,majoritarian,40.223,Maximum
max_berries_median,majoritarian,43.0,Maximum
max_berries_stdev,optimist,8.974073210643537,Minimum
total_days_mean,optimist,368.023,Maximum
total_days_median,optimist,343.0,Maximum
total_days_stdev,majoritarian,113.35512569143276,Minimum
total_berries_mean,optimist,69.207,Maximum
total_berries_median,optimist,67.0,Maximum
total_berries_stdev,majoritarian,22.307600948108696,Minimum
episode_length_mean,optimist,92.00575,Maximum
episode_length_median,optimist,44.0,Maximum
episode_length_stdev,average,76.29344546481515,Minimum
most_common,average,10.0,
