Metric,Test Name,Value,Type
gini_days_mean,baseline,0.38394496623636626,Minimum
gini_days_median,baseline,0.38624111737319283,Minimum
gini_days_stdev,utilitarian,0.09598371264267212,Minimum
gini_berries_mean,baseline,0.4333911916755475,Minimum
gini_berries_median,baseline,0.4375,Minimum
gini_berries_stdev,utilitarian,0.1031365072031859,Minimum
min_days_mean,baseline,16.928,Maximum
min_days_median,baseline,9.0,Maximum
min_days_stdev,utilitarian,6.153954025677325,Minimum
min_berries_mean,baseline,2.064,Maximum
min_berries_median,baseline,1.0,Maximum
min_berries_stdev,utilitarian,1.1239387164068326,Minimum
max_days_mean,egalitarian,192.832,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,egalitarian,31.638153371344995,Minimum
max_berries_mean,utilitarian,41.687,Maximum
max_berries_median,utilitarian,45.0,Maximum
max_berries_stdev,egalitarian,8.297941361014239,Minimum
total_days_mean,baseline,380.335,Maximum
total_days_median,baseline,370.5,Maximum
total_days_stdev,utilitarian,72.44514682363683,Minimum
total_berries_mean,baseline,69.121,Maximum
total_berries_median,maximin,70.0,Maximum
total_berries_stdev,utilitarian,16.01315225197853,Minimum
episode_length_mean,baseline,95.08375,Maximum
episode_length_median,baseline,51.0,Maximum
episode_length_stdev,utilitarian,76.07550769239181,Minimum
most_common,baseline,14.0,
