      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -0.0555    0.0 -0.0724 -0.0386   True
     average  egalitarian   0.0271    0.0  0.0103   0.044   True
     average majoritarian    0.039    0.0  0.0221  0.0559   True
     average      maximin   0.0161 0.0735 -0.0008   0.033  False
     average     optimist   0.0048 0.9893 -0.0121  0.0217  False
     average  utilitarian   0.0949    0.0   0.078  0.1118   True
     average         veto   0.0011    1.0 -0.0158   0.018  False
    baseline  egalitarian   0.0826    0.0  0.0658  0.0995   True
    baseline majoritarian   0.0945    0.0  0.0777  0.1114   True
    baseline      maximin   0.0716    0.0  0.0547  0.0885   True
    baseline     optimist   0.0603    0.0  0.0434  0.0772   True
    baseline  utilitarian   0.1504    0.0  0.1335  0.1673   True
    baseline         veto   0.0566    0.0  0.0397  0.0735   True
 egalitarian majoritarian   0.0119 0.3933  -0.005  0.0287  False
 egalitarian      maximin   -0.011 0.4922 -0.0279  0.0058  False
 egalitarian     optimist  -0.0224 0.0015 -0.0392 -0.0055   True
 egalitarian  utilitarian   0.0678    0.0  0.0509  0.0846   True
 egalitarian         veto  -0.0261 0.0001 -0.0429 -0.0092   True
majoritarian      maximin  -0.0229  0.001 -0.0398  -0.006   True
majoritarian     optimist  -0.0342    0.0 -0.0511 -0.0174   True
majoritarian  utilitarian   0.0559    0.0   0.039  0.0727   True
majoritarian         veto  -0.0379    0.0 -0.0548 -0.0211   True
     maximin     optimist  -0.0113 0.4586 -0.0282  0.0055  False
     maximin  utilitarian   0.0788    0.0  0.0619  0.0957   True
     maximin         veto   -0.015 0.1228 -0.0319  0.0018  False
    optimist  utilitarian   0.0901    0.0  0.0732   0.107   True
    optimist         veto  -0.0037 0.9978 -0.0206  0.0132  False
 utilitarian         veto  -0.0938    0.0 -0.1107 -0.0769   True
----------------------------------------------------------------
