episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
47,36.0,6996.0,1816.25,7265.0,0.7206125258086717,0,46,12.75,51,0.6813725490196079,9,200,62.75,251,0.5826693227091634
48,75.0,9954.0,2567.75,10271.0,0.7220085678122871,1,47,13.0,52,0.6634615384615384,15,200,62.75,251,0.5587649402390438
49,81.0,5298.0,3047.25,12189.0,0.35041841004184104,1,38,27.75,111,0.25,15,200,153.75,615,0.22560975609756095
50,36.0,8178.0,2108.0,8432.0,0.7261029411764706,0,46,12.5,50,0.7,9,200,61.25,245,0.6030612244897959
51,69.0,7884.0,2093.75,8375.0,0.7069552238805971,1,48,14.25,57,0.6359649122807017,15,200,68.75,275,0.5318181818181819
52,104.0,7896.0,3341.5,13366.0,0.5271958701182103,2,44,22.5,90,0.4388888888888889,15,200,113.5,454,0.3942731277533039
53,222.0,12852.0,3561.5,14246.0,0.6668889512845712,4,50,19.0,76,0.45394736842105265,33,200,91.0,364,0.3475274725274725
54,59.0,4878.0,2035.25,8141.0,0.5335032551283626,1,37,19.0,76,0.45394736842105265,9,200,110.5,442,0.418552036199095
55,36.0,4830.0,1332.0,5328.0,0.6931306306306306,0,42,12.5,50,0.67,9,200,68.75,275,0.5645454545454546
56,42.0,5430.0,1654.25,6617.0,0.6342375698957231,0,42,15.0,60,0.5583333333333333,9,200,80.5,322,0.47360248447204967
57,36.0,5796.0,1529.0,6116.0,0.7116579463701765,0,43,11.75,47,0.6968085106382979,9,200,61.25,245,0.6030612244897959
58,41.0,9978.0,2606.0,10424.0,0.7150326170376056,1,48,14.0,56,0.6339285714285714,9,200,67.0,268,0.5410447761194029
59,36.0,4194.0,2109.0,8436.0,0.49217638691322907,0,36,17.75,71,0.5035211267605634,9,200,104.5,418,0.4569377990430622
60,119.0,3414.0,1648.25,6593.0,0.4803958744122554,2,38,19.25,77,0.4512987012987013,21,200,110.5,442,0.40497737556561086
61,90.0,4830.0,1618.5,6474.0,0.5949953660797034,2,41,15.75,63,0.503968253968254,21,200,89.5,358,0.4162011173184358
62,36.0,10080.0,3454.5,13818.0,0.6108336951801997,0,45,20.25,81,0.5277777777777778,9,200,104.5,418,0.4569377990430622
63,36.0,6258.0,2155.5,8622.0,0.5756784968684759,0,38,17.75,71,0.44718309859154926,9,200,101.25,405,0.40555555555555556
64,195.0,5958.0,2279.0,9116.0,0.5419591926283458,3,36,20.0,80,0.4,27,200,115.0,460,0.37282608695652175
65,156.0,3996.0,2659.5,10638.0,0.2722786238014664,2,37,25.75,103,0.25970873786407767,21,200,152.25,609,0.22536945812807874
66,36.0,8130.0,2219.0,8876.0,0.7009351059035601,0,42,13.25,53,0.6367924528301887,9,200,70.0,280,0.5589285714285714
67,36.0,9204.0,4421.75,17687.0,0.49851585910555773,0,44,23.5,94,0.44680851063829785,9,200,113.5,454,0.4008810572687225
68,198.0,9576.0,2628.5,10514.0,0.6751474224843066,4,45,16.75,67,0.46641791044776115,33,200,88.25,353,0.3590651558073654
69,41.0,11646.0,3334.75,13339.0,0.6769810330609491,1,50,18.0,72,0.5555555555555556,9,200,85.0,340,0.486764705882353
70,108.0,9660.0,2539.75,10159.0,0.7074761295403091,2,45,14.0,56,0.5892857142857143,21,200,70.25,281,0.4937722419928826
71,69.0,9222.0,2377.25,9509.0,0.723078136502261,1,45,12.5,50,0.67,15,200,62.75,251,0.5587649402390438
72,87.0,7056.0,2295.75,9183.0,0.6172002613524992,1,42,16.25,65,0.5423076923076923,15,200,91.0,364,0.4546703296703297
73,36.0,7380.0,2996.25,11985.0,0.5439924906132666,0,41,21.5,86,0.4476744186046512,9,200,115.0,460,0.3923913043478261
74,53.0,11592.0,3025.25,12101.0,0.7222336996942401,1,51,15.5,62,0.6370967741935484,9,200,71.75,287,0.5409407665505227
75,36.0,8880.0,2343.75,9375.0,0.71288,0,46,13.75,55,0.6409090909090909,9,200,70.25,281,0.5258007117437722
76,36.0,8178.0,2170.0,8680.0,0.7069700460829493,0,44,13.75,55,0.6045454545454545,9,200,68.75,275,0.5209090909090909
77,87.0,210.0,149.0,596.0,0.15771812080536907,1,4,3.0,12,0.20833333333333326,15,33,25.5,102,0.13235294117647056
78,47.0,9072.0,4494.5,17978.0,0.4897652686616977,1,45,24.5,98,0.423469387755102,9,200,118.0,472,0.37605932203389836
79,36.0,7842.0,2307.75,9231.0,0.6505524861878453,0,43,16.25,65,0.5269230769230769,9,200,87.75,351,0.43803418803418803
80,36.0,120.0,80.0,320.0,0.2171875000000001,0,2,1.25,5,0.35,9,21,13.5,54,0.19444444444444442
81,108.0,1530.0,810.75,3243.0,0.41790009250693805,2,20,11.0,44,0.375,21,128,73.0,292,0.33047945205479456
