episode,min_total_days,max_total_days,average_total_days
1,110.0,6210.0,3561.5
2,102.0,4734.0,1377.5
3,108.0,2976.0,1041.5
4,83.0,5538.0,3151.25
5,36.0,3030.0,1347.0
6,77.0,2142.0,725.0
7,41.0,10320.0,4494.5
8,71.0,6612.0,3850.25
9,92.0,7536.0,3107.5
10,57.0,5976.0,2097.0
11,36.0,9588.0,2447.25
12,84.0,7176.0,3270.75
13,80.0,4590.0,2669.0
14,87.0,3408.0,1533.5
15,447.0,4392.0,1555.5
16,57.0,6900.0,2182.5
17,110.0,4362.0,1370.0
18,81.0,2544.0,791.0
19,59.0,3762.0,2390.75
20,71.0,7326.0,2995.25
21,59.0,8982.0,3386.75
22,69.0,3078.0,1491.5
23,36.0,7368.0,3086.0
24,143.0,9102.0,3473.0
25,141.0,8790.0,3039.5
26,102.0,9360.0,3494.0
27,197.0,3768.0,1284.5
28,80.0,5190.0,2119.0
29,53.0,8742.0,3628.25
30,104.0,4230.0,1217.75
31,47.0,9948.0,3213.5
32,147.0,2706.0,832.25
33,71.0,3660.0,1166.75
34,194.0,5838.0,2212.25
35,36.0,8796.0,2328.0
36,480.0,2934.0,1232.25
37,164.0,1923.0,685.75
38,135.0,8442.0,3488.0
39,504.0,6300.0,2619.0
40,77.0,3462.0,1038.5
41,371.0,5004.0,2761.25
42,104.0,5244.0,2910.5
43,83.0,5316.0,2810.75
44,41.0,8802.0,3769.75
45,36.0,8034.0,3114.0
46,411.0,4488.0,1724.75
47,104.0,2196.0,679.25
48,74.0,7512.0,3749.0
49,41.0,6378.0,1658.0
50,47.0,9948.0,3833.0
51,138.0,4434.0,1305.75
52,155.0,6306.0,3865.25
53,36.0,4674.0,2974.5
54,84.0,4356.0,1330.25
55,519.0,9774.0,4218.75
56,47.0,10326.0,3666.25
57,65.0,3150.0,956.75
58,278.0,4200.0,1928.0
59,90.0,7776.0,2415.75
60,147.0,4992.0,1447.25
61,129.0,5454.0,3152.25
62,255.0,1782.0,697.5
63,195.0,4896.0,1764.0
64,77.0,6828.0,2647.25
65,83.0,6366.0,3256.25
66,90.0,9540.0,3327.0
67,47.0,5988.0,2252.75
68,99.0,8718.0,3879.75
69,42.0,7770.0,2965.25
70,98.0,2358.0,737.75
71,141.0,4698.0,2028.0
72,71.0,10212.0,4211.75
73,59.0,6270.0,3224.75
74,80.0,4146.0,1295.5
75,87.0,7080.0,1866.75
76,83.0,6120.0,2942.0
77,41.0,474.0,256.75
78,53.0,6744.0,3356.0
79,65.0,9222.0,3264.5
80,93.0,5076.0,1371.5
81,81.0,7704.0,2951.25
82,41.0,528.0,219.5
83,134.0,7524.0,3269.0
84,57.0,5376.0,2184.5
85,534.0,4506.0,2124.5
86,77.0,5856.0,2992.25
87,41.0,7824.0,2003.75
