episode,min_total_days,max_total_days,average_total_days
1,120.0,5370.0,2440.5
2,41.0,5838.0,1560.75
3,203.0,6918.0,1996.0
4,74.0,6744.0,1841.5
5,125.0,5142.0,2162.5
6,159.0,5496.0,3276.75
7,455.0,2274.0,1293.5
8,275.0,7158.0,3498.25
9,53.0,1158.0,462.25
10,834.0,6336.0,2963.75
11,179.0,6582.0,3473.75
12,254.0,9060.0,4290.5
13,255.0,4938.0,2084.25
14,210.0,5796.0,1783.5
15,582.0,9018.0,4566.0
16,57.0,8190.0,2210.75
17,590.0,6492.0,3192.5
18,188.0,4968.0,3164.0
19,36.0,6594.0,2875.25
20,68.0,4872.0,1609.5
21,102.0,7170.0,3688.5
22,90.0,7926.0,2860.5
23,69.0,9078.0,2424.0
24,245.0,3192.0,1672.0
25,119.0,5016.0,2744.75
26,65.0,5970.0,3409.25
27,108.0,5508.0,3000.0
28,197.0,6114.0,3022.75
29,42.0,5970.0,2251.5
30,63.0,5988.0,3486.75
31,96.0,6090.0,1771.5
32,53.0,3042.0,1065.75
33,134.0,4824.0,1362.25
34,63.0,5670.0,2862.5
35,120.0,5244.0,2475.5
36,158.0,7116.0,4385.0
37,47.0,6576.0,2281.75
38,182.0,8100.0,3115.75
39,75.0,7758.0,3036.75
40,47.0,10776.0,4954.25
41,173.0,5082.0,2408.0
42,71.0,1074.0,445.0
43,341.0,6480.0,2888.5
44,141.0,7176.0,3512.25
45,306.0,8118.0,4027.5
46,131.0,10092.0,4098.25
47,47.0,7980.0,3863.75
48,68.0,6666.0,3702.5
49,41.0,6522.0,2815.75
50,71.0,2850.0,1158.5
51,63.0,7368.0,4479.75
52,74.0,8928.0,3339.5
53,554.0,5340.0,3380.0
54,278.0,7440.0,4860.5
55,41.0,6696.0,2099.5
56,41.0,6180.0,3964.25
57,36.0,5376.0,2159.0
58,96.0,5880.0,1560.75
59,162.0,8550.0,3443.25
60,81.0,8022.0,2793.75
61,42.0,7578.0,3968.25
62,63.0,8364.0,3534.75
63,71.0,3420.0,1531.0
64,122.0,6378.0,3262.75
65,237.0,3966.0,2678.25
66,74.0,6504.0,2864.75
67,68.0,7266.0,3480.5
68,101.0,5718.0,2881.25
69,69.0,6828.0,4103.25
70,294.0,5610.0,2960.0
71,101.0,5742.0,2691.5
72,405.0,4806.0,3176.25
73,84.0,5358.0,2632.5
74,98.0,4332.0,1180.75
75,62.0,8298.0,3539.5
76,153.0,6336.0,3157.5
77,84.0,5928.0,3489.0
78,80.0,5172.0,1581.5
79,81.0,7560.0,4284.75
80,129.0,3114.0,1699.25
81,177.0,6228.0,3527.25
82,63.0,6498.0,3669.75
83,86.0,6294.0,2231.0
84,117.0,4638.0,2013.5
85,111.0,7932.0,5145.75
86,201.0,7146.0,3772.25
87,134.0,4800.0,1973.5
88,36.0,7032.0,3353.0
89,36.0,8706.0,2210.25
90,102.0,9240.0,4915.5
91,231.0,6390.0,3008.25
92,143.0,8880.0,3647.75
93,147.0,6282.0,4152.75
94,65.0,821.0,276.25
95,120.0,5922.0,2712.0
96,41.0,7284.0,3246.5
97,684.0,9498.0,4600.5
98,279.0,3330.0,1165.25
99,81.0,6102.0,2976.0
100,150.0,7620.0,3247.5
101,47.0,10638.0,3812.75
102,47.0,9378.0,4214.0
103,192.0,5112.0,2730.75
104,108.0,7590.0,3688.5
105,290.0,3960.0,2115.5
106,75.0,3672.0,979.0
107,131.0,6636.0,3059.75
108,201.0,6144.0,2996.75
109,129.0,4740.0,2525.25
110,267.0,7146.0,3930.75
111,92.0,6408.0,1770.5
112,69.0,9168.0,3959.75
113,36.0,2970.0,805.25
114,420.0,7674.0,3489.5
115,117.0,6708.0,3642.75
116,675.0,9138.0,3867.0
117,401.0,5406.0,3682.25
118,249.0,7110.0,3415.25
119,255.0,6456.0,4178.25
120,228.0,6558.0,2585.0
121,170.0,5376.0,1678.0
122,87.0,3870.0,1363.5
123,41.0,6396.0,2608.0
124,114.0,7092.0,3433.25
125,81.0,3546.0,1062.5
126,210.0,5130.0,3307.5
127,41.0,4584.0,2146.75
128,147.0,7302.0,3312.5
129,300.0,6504.0,3924.0
130,47.0,7038.0,3506.5
131,41.0,7050.0,3504.5
132,41.0,7536.0,3643.75
133,113.0,6558.0,3983.75
134,69.0,7326.0,2021.25
135,236.0,4848.0,1678.25
136,36.0,8526.0,3583.5
137,74.0,4968.0,1733.5
138,203.0,6510.0,3436.25
139,41.0,3462.0,1562.0
140,339.0,6018.0,2845.5
141,36.0,8346.0,3424.5
142,110.0,3300.0,956.25
143,81.0,5604.0,2527.5
144,135.0,5208.0,2271.75
145,237.0,10080.0,5559.75
146,164.0,5148.0,2320.0
147,126.0,5922.0,2660.25
148,158.0,6678.0,3330.5
149,120.0,8070.0,3500.0
150,125.0,9366.0,4591.25
151,36.0,7800.0,3345.0
152,102.0,9234.0,3427.25
153,162.0,8082.0,3038.25
154,36.0,7218.0,2901.75
155,98.0,5976.0,2789.75
156,89.0,6546.0,2936.75
157,266.0,4806.0,2482.25
158,237.0,8958.0,2459.5
159,365.0,8364.0,3815.75
160,297.0,6354.0,3340.25
161,108.0,5802.0,2673.0
162,36.0,6516.0,3136.25
163,137.0,7320.0,2837.0
164,74.0,7902.0,3851.0
165,321.0,5940.0,2974.5
166,135.0,7320.0,3191.75
167,41.0,6522.0,2878.25
168,431.0,4362.0,2416.25
169,152.0,6294.0,2295.25
170,90.0,4710.0,1295.75
171,74.0,5490.0,3852.5
172,395.0,10686.0,4306.25
173,143.0,1452.0,540.75
174,42.0,6792.0,3229.5
175,101.0,4206.0,2701.25
176,395.0,7170.0,4250.75
177,219.0,4824.0,2889.75
178,144.0,6660.0,3949.5
179,239.0,4968.0,2446.75
180,98.0,3378.0,1757.75
181,102.0,5634.0,2865.0
182,36.0,7248.0,3640.5
183,107.0,6990.0,3697.25
184,47.0,6402.0,2926.25
185,162.0,4812.0,2645.25
186,71.0,218.0,120.75
187,36.0,7032.0,3214.5
188,89.0,6798.0,3191.0
189,180.0,7398.0,4672.5
190,249.0,9360.0,5376.75
191,78.0,5724.0,2692.25
192,621.0,8136.0,3800.25
193,231.0,3672.0,1776.75
194,41.0,10632.0,2808.25
195,108.0,5358.0,3622.5
196,65.0,3708.0,1174.0
197,81.0,7590.0,3497.0
198,47.0,3672.0,2347.25
199,119.0,8568.0,4297.25
200,63.0,6972.0,3227.25
201,53.0,6054.0,3296.75
202,68.0,6870.0,3393.5
203,219.0,7638.0,3697.5
204,558.0,5820.0,2669.75
205,81.0,5772.0,2605.5
206,41.0,6834.0,3791.75
207,41.0,8484.0,2268.5
208,47.0,5520.0,3784.25
209,129.0,9390.0,2483.25
210,36.0,5994.0,4023.0
211,656.0,10434.0,4775.0
212,453.0,7740.0,3564.0
213,321.0,8916.0,4134.75
214,95.0,5586.0,2502.5
215,78.0,3804.0,1325.75
216,104.0,3174.0,948.5
217,87.0,8862.0,2874.75
218,47.0,4920.0,1648.25
219,119.0,8922.0,3651.5
220,36.0,7140.0,3057.0
221,204.0,4230.0,2097.75
222,120.0,6378.0,3067.5
223,102.0,4926.0,2233.25
224,71.0,3120.0,1020.25
225,92.0,5688.0,3503.0
226,99.0,7092.0,3203.25
227,74.0,4764.0,1367.5
228,179.0,4446.0,1259.5
229,90.0,5868.0,3534.0
230,545.0,7164.0,3139.25
231,102.0,5142.0,1914.75
232,93.0,6936.0,3338.25
233,53.0,5946.0,3731.75
234,278.0,6204.0,4067.0
235,53.0,5856.0,1549.75
236,209.0,5568.0,2671.25
237,390.0,7644.0,3930.5
238,87.0,11562.0,3185.0
239,144.0,6612.0,3261.0
240,41.0,2880.0,1698.5
241,417.0,6786.0,4131.75
242,158.0,7350.0,1982.5
243,549.0,6054.0,3467.25
244,81.0,6084.0,2802.0
245,222.0,7278.0,4588.5
246,68.0,6024.0,1611.5
247,75.0,4068.0,2323.5
248,36.0,6834.0,4206.0
249,36.0,5760.0,3154.5
250,177.0,7740.0,4236.75
251,92.0,3834.0,1837.25
252,41.0,7812.0,2951.5
253,95.0,4728.0,2245.25
254,36.0,7788.0,3161.75
255,209.0,7548.0,3343.0
256,86.0,2112.0,715.5
257,138.0,6204.0,1824.5
258,239.0,4608.0,1411.0
259,225.0,6420.0,2867.0
260,156.0,7398.0,4071.0
261,47.0,8394.0,3637.75
262,80.0,2058.0,1043.75
263,59.0,5484.0,1594.0
264,381.0,9012.0,4920.75
265,57.0,5952.0,2462.25
266,75.0,5676.0,2795.25
267,57.0,7704.0,3644.25
268,41.0,7458.0,3833.0
269,69.0,7224.0,3187.25
270,42.0,3588.0,1266.75
271,41.0,7374.0,1983.75
272,41.0,4536.0,2761.25
273,81.0,6216.0,3150.0
274,120.0,6786.0,2721.75
275,215.0,6852.0,2060.25
276,36.0,3756.0,2551.5
277,156.0,9048.0,3759.0
278,123.0,8310.0,4098.75
279,261.0,5892.0,3546.75
280,98.0,8634.0,4005.5
281,98.0,2526.0,830.0
282,81.0,8454.0,3631.5
283,468.0,7110.0,3087.0
284,188.0,3972.0,1155.5
285,147.0,9300.0,3891.0
286,57.0,6324.0,4253.25
287,74.0,6552.0,2344.75
288,41.0,8784.0,3770.0
289,57.0,6588.0,3090.5
290,132.0,4950.0,2515.25
291,279.0,6450.0,3352.5
292,98.0,2322.0,918.25
293,41.0,3168.0,946.0
294,257.0,4164.0,1304.75
295,401.0,8142.0,2748.25
296,780.0,6720.0,3858.0
297,90.0,3912.0,1757.0
298,96.0,6000.0,3420.0
299,92.0,5454.0,2194.75
300,36.0,7338.0,2729.0
301,573.0,7524.0,4430.25
302,42.0,5394.0,2076.75
303,36.0,8292.0,3049.5
304,36.0,9222.0,3946.25
305,36.0,8184.0,3474.0
306,444.0,6936.0,3489.0
307,98.0,6582.0,3067.25
308,96.0,5736.0,2907.0
309,57.0,7668.0,2199.0
310,77.0,5448.0,2349.25
311,57.0,5742.0,2937.75
312,204.0,5838.0,3334.5
313,36.0,6126.0,3091.5
314,131.0,4704.0,3244.25
315,866.0,9540.0,4164.5
316,483.0,7170.0,4211.25
317,57.0,7074.0,2641.5
318,93.0,8346.0,4116.75
319,119.0,4416.0,2657.75
320,236.0,7212.0,3541.75
321,71.0,7074.0,2243.75
322,41.0,8952.0,4784.75
323,258.0,8208.0,3682.25
324,501.0,4386.0,2387.25
325,77.0,2850.0,789.75
326,57.0,7200.0,1859.75
327,53.0,5166.0,2032.0
328,63.0,9024.0,2687.25
329,309.0,6768.0,3030.0
330,126.0,5514.0,2754.0
331,75.0,4314.0,2850.75
332,119.0,8568.0,3501.25
333,80.0,4908.0,1505.0
334,120.0,1692.0,515.0
335,74.0,2490.0,784.0
336,95.0,6036.0,2145.25
337,96.0,3474.0,1098.0
338,135.0,6522.0,2808.0
339,75.0,7716.0,3512.25
340,116.0,6630.0,2079.25
341,108.0,7758.0,2260.25
342,36.0,7296.0,2539.25
343,191.0,6972.0,3019.25
344,245.0,8058.0,3774.5
345,234.0,7818.0,3468.0
346,92.0,5952.0,2735.0
347,240.0,6930.0,3378.75
348,68.0,5178.0,1484.75
349,189.0,7428.0,3758.0
350,107.0,6834.0,2837.75
351,152.0,6228.0,3368.75
352,153.0,7200.0,3683.25
353,81.0,4128.0,3075.75
354,86.0,4722.0,2810.0
355,372.0,5442.0,3496.5
356,96.0,6504.0,3161.75
357,135.0,5826.0,2451.0
358,159.0,7716.0,3677.25
359,195.0,5124.0,2520.75
360,36.0,5034.0,1887.75
361,153.0,5352.0,1583.0
362,47.0,8196.0,3401.5
363,231.0,7536.0,3865.5
364,36.0,4374.0,1142.75
365,95.0,7002.0,3185.75
366,36.0,6114.0,2639.75
367,132.0,8346.0,3095.25
368,74.0,7506.0,3221.0
369,215.0,6228.0,2968.75
370,153.0,7956.0,3675.75
371,174.0,5808.0,3122.0
372,65.0,4008.0,1080.0
373,41.0,5136.0,2765.75
374,660.0,6000.0,3762.0
375,86.0,5358.0,2726.0
376,57.0,7956.0,3348.75
377,36.0,8388.0,4153.5
378,107.0,8916.0,4031.5
379,62.0,9072.0,3812.75
380,90.0,5994.0,2883.0
381,215.0,4536.0,2917.25
382,122.0,4944.0,1336.75
383,107.0,7962.0,4109.75
384,120.0,5778.0,3877.5
385,120.0,6060.0,1664.5
386,152.0,5058.0,1924.0
387,41.0,4836.0,3283.25
388,41.0,8604.0,2790.5
389,99.0,7674.0,3696.75
390,204.0,7002.0,4183.5
391,516.0,5610.0,3223.5
392,65.0,4800.0,2288.0
393,41.0,7506.0,3059.0
394,155.0,5616.0,2638.75
395,111.0,6168.0,1760.5
396,114.0,6654.0,3094.5
397,68.0,7758.0,2964.5
398,335.0,10032.0,3098.0
399,123.0,167.0,148.75
400,69.0,3762.0,1033.75
401,126.0,5280.0,1617.5
402,71.0,464.0,319.0
403,36.0,7272.0,3221.75
404,86.0,8556.0,2308.0
405,71.0,603.0,411.25
406,41.0,8544.0,3142.25
407,68.0,12966.0,3447.25
408,36.0,6840.0,4390.5
409,294.0,6348.0,3849.0
410,36.0,10572.0,4641.5
411,90.0,7356.0,3684.0
412,36.0,7662.0,2655.0
413,36.0,5820.0,2327.0
414,167.0,4506.0,1263.25
415,78.0,6906.0,2690.75
416,231.0,7710.0,4727.25
417,65.0,5730.0,2475.5
418,380.0,4854.0,2516.75
419,89.0,10632.0,4219.0
420,146.0,5676.0,3753.5
421,84.0,7236.0,3282.0
422,42.0,6900.0,3447.75
423,138.0,5784.0,3138.75
424,270.0,6414.0,2741.25
425,42.0,6696.0,3126.0
426,132.0,5676.0,3348.0
427,47.0,5784.0,2171.5
428,36.0,7542.0,1945.75
429,150.0,4278.0,2201.0
430,171.0,7152.0,3206.75
431,36.0,8196.0,3588.75
432,272.0,9156.0,4124.0
433,36.0,8388.0,2124.0
434,218.0,6366.0,4127.0
435,75.0,1454.0,511.25
436,114.0,7212.0,2849.75
437,77.0,6852.0,1818.25
438,119.0,7236.0,3621.5
439,95.0,8904.0,4133.5
440,80.0,6588.0,3289.25
441,86.0,5784.0,2570.0
442,578.0,7506.0,3484.25
443,107.0,4776.0,2999.75
444,425.0,6180.0,2877.5
445,119.0,5676.0,2941.25
446,57.0,8676.0,3376.5
447,137.0,2688.0,1232.5
448,105.0,3996.0,1733.0
449,98.0,6780.0,4209.5
450,287.0,6060.0,3302.75
451,47.0,3636.0,1077.5
452,206.0,4590.0,1337.25
453,77.0,3870.0,1735.75
454,191.0,6312.0,3497.75
455,243.0,6108.0,3765.75
456,296.0,7842.0,4048.25
457,462.0,7062.0,3645.0
458,57.0,7230.0,3446.25
459,153.0,6948.0,3303.5
460,41.0,6414.0,3322.75
461,137.0,7176.0,4124.75
462,272.0,5946.0,3194.0
463,95.0,4566.0,1265.0
464,143.0,6720.0,4373.75
465,69.0,5850.0,2411.75
466,84.0,6774.0,1803.0
467,42.0,7518.0,1964.0
468,126.0,8544.0,3605.25
469,47.0,4722.0,1640.5
470,86.0,7572.0,3091.25
471,207.0,6204.0,2805.75
472,86.0,3138.0,1080.0
473,153.0,4422.0,2514.75
474,63.0,5970.0,3185.25
475,65.0,5292.0,1402.75
476,84.0,6636.0,3165.0
477,141.0,2784.0,872.75
478,42.0,8016.0,4806.0
479,42.0,6480.0,3535.5
480,36.0,6384.0,2496.75
481,105.0,6696.0,1804.25
482,77.0,4980.0,2376.25
483,65.0,5832.0,2294.5
484,168.0,6552.0,3268.5
485,42.0,4092.0,1964.0
486,41.0,5754.0,2654.75
487,192.0,7524.0,3825.0
488,204.0,6186.0,3565.5
489,80.0,5358.0,2710.25
490,74.0,5826.0,2755.25
491,146.0,5472.0,1703.0
492,42.0,4044.0,1930.5
493,468.0,5070.0,3457.5
494,62.0,4410.0,2159.0
495,36.0,2994.0,778.25
496,86.0,5826.0,3189.5
497,390.0,8682.0,3515.25
498,59.0,3366.0,1507.25
499,623.0,9738.0,4378.25
500,41.0,7794.0,2079.25
501,206.0,4164.0,1805.0
502,110.0,3846.0,1100.75
503,429.0,7056.0,3987.75
504,254.0,6384.0,3800.0
505,140.0,8268.0,3394.25
506,63.0,5496.0,2877.75
507,107.0,5586.0,2783.75
508,294.0,4782.0,2415.75
509,42.0,4344.0,1971.5
510,41.0,8052.0,2997.5
511,71.0,3270.0,1024.75
512,42.0,13746.0,4503.5
513,380.0,8586.0,3938.5
514,429.0,8556.0,4179.75
515,153.0,6120.0,3597.75
516,59.0,3396.0,1255.75
517,119.0,7188.0,3664.25
518,330.0,5994.0,3603.0
519,41.0,7818.0,4550.75
520,68.0,9810.0,4175.75
521,71.0,4296.0,1430.75
522,80.0,5256.0,1412.0
523,186.0,4194.0,1796.75
524,95.0,6990.0,2921.0
525,173.0,4092.0,1488.5
526,36.0,9138.0,4358.25
527,144.0,8142.0,3309.75
528,126.0,6492.0,3465.0
529,41.0,6726.0,3988.25
530,36.0,10380.0,3914.75
531,108.0,6264.0,2849.25
532,741.0,5088.0,3243.75
533,132.0,7680.0,3846.5
534,203.0,5742.0,3676.25
535,213.0,8478.0,3606.75
536,416.0,4554.0,2924.0
537,651.0,7422.0,3569.0
538,411.0,4662.0,3267.75
539,62.0,5844.0,3038.0
540,74.0,5778.0,3230.0
541,104.0,2406.0,834.5
542,383.0,9576.0,3698.0
543,89.0,7512.0,3257.75
544,75.0,6384.0,2715.5
545,63.0,7146.0,3291.75
546,41.0,6672.0,3313.25
547,125.0,5988.0,2460.25
548,93.0,6804.0,3867.75
549,585.0,6330.0,3977.25
