episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
1,65.0,4356.0,1323.5,5294.0,1,38,14.5,58,10,200,86.0,344
2,36.0,6246.0,2499.0,9996.0,0,42,20.5,82,9,200,107.5,430
3,41.0,5796.0,2653.25,10613.0,1,39,22.0,88,9,200,119.5,478
4,80.0,7884.0,3690.5,14762.0,2,45,23.0,92,15,200,112.0,448
5,120.0,8556.0,4313.0,17252.0,2,45,23.75,95,21,200,112.0,448
6,36.0,7908.0,2081.0,8324.0,0,42,12.5,50,9,200,67.25,269
7,92.0,5496.0,1579.25,6317.0,2,40,13.0,52,15,200,71.5,286
8,63.0,4962.0,2984.25,11937.0,1,39,27.75,111,15,200,153.75,615
9,47.0,1596.0,496.0,1984.0,1,24,8.0,32,9,140,50.75,203
10,75.0,5970.0,3735.75,14943.0,1,38,28.0,112,15,200,153.75,615
11,114.0,6444.0,3117.0,12468.0,2,40,21.75,87,21,200,116.25,465
12,92.0,8478.0,4031.75,16127.0,2,46,23.0,92,15,200,110.5,442
13,71.0,5052.0,2158.75,8635.0,1,38,20.75,83,9,200,115.0,460
14,71.0,6180.0,1604.5,6418.0,1,41,11.25,45,9,200,59.75,239
15,155.0,4968.0,1719.25,6877.0,3,38,18.0,72,21,200,103.0,412
16,333.0,6450.0,4022.25,16089.0,5,39,29.5,118,38,200,159.5,638
17,36.0,3948.0,2109.0,8436.0,0,40,21.25,85,9,200,119.25,477
18,108.0,4872.0,2291.25,9165.0,2,40,21.25,85,21,200,115.0,460
19,71.0,5466.0,2348.5,9394.0,1,38,19.75,79,9,200,107.5,430
20,98.0,7338.0,2771.0,11084.0,2,45,21.5,86,15,200,109.0,436
21,53.0,5034.0,1575.5,6302.0,1,38,13.75,55,9,200,79.0,316
22,41.0,4224.0,1175.75,4703.0,1,35,11.0,44,9,200,68.75,275
23,63.0,6324.0,2974.5,11898.0,1,40,22.0,88,15,200,119.5,478
24,132.0,534.0,240.0,960.0,2,9,4.75,19,21,44,32.75,131
25,47.0,714.0,442.0,1768.0,1,14,8.5,34,9,87,56.75,227
26,81.0,8370.0,3948.0,15792.0,1,44,21.75,87,15,200,107.5,430
27,102.0,5472.0,2312.75,9251.0,2,40,21.0,84,21,200,113.5,454
28,68.0,6132.0,2658.5,10634.0,2,40,21.0,84,15,200,112.0,448
29,53.0,5112.0,1548.0,6192.0,1,40,15.5,62,9,200,85.25,341
30,69.0,6504.0,3316.5,13266.0,1,43,22.25,89,15,200,113.5,454
31,36.0,8580.0,2280.25,9121.0,0,45,14.5,58,9,200,73.25,293
32,42.0,6450.0,2867.25,11469.0,0,39,19.5,78,9,200,106.0,424
33,59.0,603.0,346.0,1384.0,1,12,7.25,29,9,75,47.5,190
34,105.0,9954.0,3321.0,13284.0,3,46,22.0,88,27,200,113.5,454
35,92.0,9246.0,3282.5,13130.0,2,47,21.75,87,15,200,109.0,436
36,36.0,5796.0,2380.5,9522.0,0,40,19.75,79,9,200,107.5,430
37,87.0,6540.0,4106.25,16425.0,1,40,29.25,117,15,200,153.75,615
38,71.0,257.0,140.25,561.0,1,6,3.0,12,9,33,21.0,84
39,77.0,3462.0,1764.25,7057.0,1,37,19.75,79,9,200,112.0,448
40,59.0,1608.0,881.5,3526.0,1,22,14.25,57,9,128,86.5,346
41,59.0,2520.0,755.5,3022.0,1,35,11.25,45,9,200,68.75,275
42,59.0,5562.0,1513.0,6052.0,1,39,11.25,45,9,200,62.5,250
43,159.0,6342.0,3893.25,15573.0,3,41,29.5,118,27,200,156.75,627
44,86.0,576.0,296.75,1187.0,2,11,5.5,22,15,56,35.75,143
45,215.0,7662.0,3679.75,14719.0,4,44,23.75,95,27,200,115.0,460
46,41.0,11118.0,2821.75,11287.0,1,47,12.5,50,9,200,58.25,233
47,41.0,7098.0,4310.75,17243.0,1,41,29.75,119,9,200,152.25,609
48,71.0,3504.0,970.0,3880.0,1,38,11.5,46,9,200,65.75,263
49,75.0,6384.0,2759.0,11036.0,1,40,21.0,84,15,200,112.0,448
50,75.0,8502.0,2772.75,11091.0,1,46,20.75,83,15,200,109.0,436
51,36.0,402.0,148.5,594.0,0,8,2.5,10,9,44,20.75,83
52,71.0,1830.0,871.75,3487.0,2,35,17.0,68,9,200,100.0,400
53,42.0,10614.0,4121.0,16484.0,0,47,23.25,93,9,200,109.0,436
54,65.0,5730.0,1708.75,6835.0,1,39,15.0,60,9,200,85.25,341
55,144.0,7368.0,3561.75,14247.0,4,43,22.75,91,33,200,118.0,472
56,90.0,6318.0,2009.0,8036.0,2,39,16.25,65,21,200,94.0,376
57,68.0,5178.0,1719.25,6877.0,2,40,19.5,78,15,200,109.0,436
58,378.0,7176.0,3194.75,12779.0,6,44,28.5,114,32,200,146.25,585
59,224.0,3864.0,1160.5,4642.0,4,39,14.0,56,26,200,77.5,310
60,65.0,507.0,216.25,865.0,1,9,4.25,17,9,38,25.25,101
61,102.0,4380.0,1201.25,4805.0,2,37,12.0,48,21,200,71.75,287
62,168.0,5178.0,2669.75,10679.0,4,41,22.5,90,33,200,119.5,478
63,47.0,9264.0,3384.5,13538.0,1,46,23.25,93,9,200,115.0,460
64,42.0,9612.0,4860.0,19440.0,0,43,30.0,120,9,200,152.25,609
65,77.0,4212.0,1759.75,7039.0,1,35,17.75,71,9,200,106.0,424
66,146.0,7644.0,3148.0,12592.0,3,43,22.0,88,15,200,110.5,442
