episode,min_total_days,max_total_days,average_total_days
163,36.0,7032.0,3000.75
164,183.0,5736.0,3016.5
165,207.0,6618.0,2840.25
166,107.0,6036.0,2917.25
167,92.0,6696.0,3188.75
168,75.0,5520.0,2938.5
169,126.0,5994.0,1607.25
170,69.0,5334.0,2246.0
171,36.0,6402.0,2575.25
172,222.0,5874.0,3037.5
173,42.0,6288.0,4257.0
174,87.0,7038.0,3446.25
175,204.0,933.0,470.25
176,120.0,4458.0,2274.75
177,57.0,7116.0,2805.75
178,36.0,4380.0,1141.75
179,57.0,558.0,267.75
180,75.0,578.0,215.25
181,141.0,5676.0,2501.75
182,84.0,6462.0,2342.25
183,63.0,7416.0,3234.0
184,75.0,7416.0,3683.25
185,104.0,2742.0,819.5
186,77.0,2088.0,626.5
187,120.0,10176.0,4912.5
188,71.0,540.0,247.75
189,63.0,7734.0,2609.75
190,147.0,6564.0,2789.25
191,153.0,4530.0,2568.75
192,41.0,8418.0,3283.75
193,249.0,6246.0,3138.75
194,138.0,7188.0,2857.25
195,162.0,8256.0,4447.5
196,36.0,5292.0,2513.25
197,77.0,3306.0,1637.75
198,41.0,6300.0,2234.75
199,57.0,5784.0,2959.5
200,36.0,8184.0,2283.0
201,122.0,6228.0,2791.25
202,41.0,1485.0,608.0
203,411.0,6078.0,2474.25
204,41.0,7878.0,3549.5
205,89.0,6990.0,2575.0
206,132.0,6348.0,1760.0
207,36.0,6072.0,2827.5
208,86.0,6918.0,2670.5
209,74.0,6750.0,1874.75
210,41.0,9468.0,2443.75
211,42.0,5088.0,2130.0
212,57.0,8442.0,3665.0
213,77.0,1416.0,616.75
214,41.0,5310.0,1613.5
215,81.0,5208.0,1428.0
216,81.0,5550.0,3731.25
217,258.0,9522.0,3054.75
218,918.0,11436.0,3936.5
219,41.0,585.0,244.25
220,71.0,252.0,161.5
221,59.0,3894.0,1704.5
222,71.0,479.0,190.0
223,47.0,7398.0,4516.25
224,57.0,4854.0,1930.5
225,57.0,6318.0,2680.5
226,129.0,5232.0,3149.25
227,80.0,6600.0,3621.5
228,69.0,989.0,328.0
229,71.0,135.0,96.0
230,42.0,6720.0,1823.75
231,41.0,10320.0,3462.5
232,293.0,5832.0,3066.5
233,36.0,3948.0,1125.75
234,63.0,4266.0,1715.25
235,36.0,2163.0,591.75
236,126.0,6852.0,3312.5
237,69.0,10110.0,4098.0
238,81.0,6060.0,3151.5
239,42.0,7296.0,4060.5
240,81.0,5970.0,2968.5
241,87.0,7008.0,3387.0
242,77.0,7224.0,3495.5
243,36.0,5748.0,1477.75
244,294.0,5952.0,3062.25
245,108.0,915.0,342.75
246,47.0,8766.0,2250.5
247,333.0,4770.0,2548.5
248,96.0,5994.0,2918.25
249,47.0,6084.0,1625.0
250,102.0,6618.0,4200.0
251,96.0,5466.0,3115.5
252,81.0,7356.0,3699.75
253,90.0,6348.0,3240.0
254,36.0,7554.0,3284.25
255,102.0,10320.0,2661.5
256,63.0,4818.0,2904.75
257,119.0,5556.0,1749.25
258,47.0,3096.0,982.25
259,36.0,6462.0,3176.25
260,96.0,5250.0,2452.5
261,174.0,6816.0,3025.5
262,155.0,6660.0,3200.0
263,117.0,6432.0,3231.0
264,36.0,6552.0,2472.0
265,92.0,8346.0,3419.5
266,219.0,6294.0,3534.75
267,71.0,3198.0,877.75
268,75.0,6564.0,3294.5
269,107.0,7410.0,3814.25
270,134.0,5994.0,2662.75
271,65.0,3618.0,1415.5
272,182.0,2382.0,973.0
273,42.0,7152.0,3660.0
274,89.0,3546.0,1018.75
275,71.0,2640.0,1430.75
276,36.0,7878.0,3622.25
277,71.0,6114.0,2082.5
278,41.0,6996.0,2027.5
279,87.0,5790.0,2948.25
280,123.0,6600.0,2958.75
281,608.0,13236.0,4253.75
282,71.0,3804.0,1255.25
283,479.0,7134.0,3485.75
284,77.0,161.0,112.25
285,144.0,6348.0,2482.5
286,36.0,4200.0,1823.0
287,309.0,8586.0,4454.25
288,42.0,6570.0,4272.0
289,153.0,7026.0,3288.75
290,140.0,7182.0,3302.75
291,65.0,701.0,289.5
292,80.0,7818.0,3418.0
293,201.0,7038.0,3288.0
294,74.0,10158.0,3649.0
295,36.0,5976.0,3399.0
296,71.0,4464.0,1961.75
297,53.0,3132.0,955.75
298,57.0,4698.0,1643.75
299,132.0,7170.0,3996.0
300,69.0,2394.0,703.0
301,204.0,6678.0,3477.0
302,59.0,6492.0,1840.0
303,248.0,8532.0,3558.5
304,77.0,2376.0,666.25
305,65.0,2658.0,819.25
306,53.0,3132.0,1352.75
307,36.0,540.0,227.0
308,174.0,5484.0,2784.0
309,53.0,11490.0,4270.25
310,57.0,5976.0,1675.25
311,183.0,5790.0,1965.0
312,86.0,2826.0,811.75
313,270.0,7398.0,3443.25
314,36.0,861.0,420.75
315,77.0,4712.0,1248.0
316,71.0,617.0,234.75
317,192.0,4590.0,2866.5
318,41.0,4704.0,2294.0
319,87.0,8088.0,3825.75
320,57.0,6270.0,2760.75
321,68.0,9624.0,3762.25
322,68.0,8136.0,2145.5
323,65.0,7584.0,3112.25
324,248.0,7206.0,3269.0
325,206.0,8328.0,4073.0
326,171.0,6504.0,3144.75
327,75.0,7626.0,2411.75
328,311.0,5592.0,2739.5
329,36.0,6636.0,2757.75
330,219.0,6258.0,3264.75
331,41.0,8490.0,2380.0
332,53.0,7788.0,3735.5
333,69.0,216.0,110.25
334,71.0,7320.0,2084.75
335,263.0,6720.0,3430.75
336,218.0,4572.0,1525.25
337,36.0,6000.0,3142.5
338,114.0,5220.0,3027.0
339,78.0,5406.0,2211.75
340,623.0,8202.0,3516.5
341,137.0,7176.0,3700.25
342,47.0,2400.0,672.0
343,57.0,5538.0,2819.25
344,92.0,4770.0,1664.0
345,57.0,7608.0,3550.25
346,36.0,10944.0,3217.5
347,83.0,5202.0,2443.25
348,75.0,6720.0,2901.0
349,149.0,5154.0,3242.75
350,119.0,2820.0,1214.5
351,219.0,6900.0,3464.75
352,71.0,5976.0,1549.75
353,90.0,7290.0,3813.0
354,42.0,5826.0,3474.0
355,207.0,6546.0,3167.75
356,77.0,4674.0,2041.0
357,63.0,8352.0,3650.25
358,71.0,6492.0,1677.25
359,36.0,6660.0,3162.75
360,42.0,5886.0,2625.0
361,65.0,372.0,165.75
362,137.0,6198.0,2929.75
363,326.0,8340.0,4132.25
364,293.0,5886.0,2348.75
365,47.0,4800.0,1555.25
366,120.0,6984.0,2646.75
367,86.0,3860.0,1077.25
368,174.0,6720.0,3333.0
369,65.0,1131.0,333.75
370,68.0,9954.0,3354.5
371,110.0,3498.0,1747.0
372,146.0,1155.0,471.5
373,300.0,9918.0,3426.5
374,57.0,7506.0,3361.5
375,107.0,6492.0,2275.0
376,149.0,8124.0,3404.0
377,102.0,5418.0,1521.0
378,153.0,5958.0,2535.75
379,137.0,7008.0,3589.25
380,122.0,210.0,149.0
381,57.0,5790.0,2553.5
382,59.0,3690.0,1840.75
383,65.0,1463.0,457.75
384,141.0,5310.0,3452.25
385,41.0,8280.0,3455.0
386,204.0,5778.0,2091.75
387,42.0,579.0,264.5
388,93.0,5940.0,1919.0
389,141.0,7602.0,4212.75
390,75.0,5850.0,1567.5
391,147.0,909.0,495.0
392,42.0,6588.0,2832.0
393,102.0,6132.0,3219.0
394,87.0,5754.0,1854.0
395,252.0,6252.0,3215.25
396,77.0,1475.0,479.25
397,86.0,5214.0,2065.25
398,113.0,5148.0,2295.5
399,71.0,5208.0,2343.5
400,153.0,5502.0,1536.0
401,42.0,7494.0,4327.5
402,264.0,5508.0,2907.75
403,378.0,8820.0,3453.0
404,47.0,6894.0,1867.75
405,174.0,5352.0,2407.25
406,57.0,4398.0,1350.75
407,102.0,621.0,295.75
408,36.0,8322.0,2119.75
409,102.0,8718.0,3678.0
410,36.0,9450.0,4153.5
411,47.0,3588.0,1873.25
412,63.0,6240.0,3141.0
413,287.0,6270.0,3110.75
414,192.0,4098.0,1756.5
415,41.0,7254.0,3343.0
416,42.0,5574.0,2075.75
417,273.0,7512.0,3810.75
418,47.0,7476.0,2410.25
419,77.0,3432.0,939.25
420,114.0,6804.0,2930.25
421,63.0,5934.0,2916.5
422,155.0,6438.0,2561.75
423,69.0,6696.0,4121.25
424,80.0,8898.0,3498.5
425,96.0,5304.0,3435.0
426,41.0,5754.0,2440.25
427,159.0,4968.0,2817.75
428,96.0,6678.0,3337.5
429,108.0,7266.0,4428.0
430,77.0,761.0,352.5
431,143.0,6132.0,1739.75
432,197.0,9006.0,2899.75
433,65.0,6162.0,1605.25
434,59.0,3990.0,1271.5
435,162.0,6222.0,1723.5
436,231.0,8136.0,3510.5
437,132.0,6732.0,4048.5
438,240.0,6402.0,3801.0
439,86.0,7956.0,3583.25
440,36.0,6744.0,3051.0
441,71.0,5256.0,2094.5
442,63.0,5808.0,2543.25
443,42.0,6846.0,3285.75
444,137.0,5460.0,1594.75
445,122.0,4554.0,1975.25
446,158.0,7248.0,3194.5
447,59.0,5574.0,2251.0
448,42.0,5814.0,1922.75
449,141.0,5184.0,3231.75
450,47.0,5688.0,3545.75
451,81.0,5358.0,1411.0
452,75.0,3756.0,998.75
453,47.0,9282.0,3470.75
454,191.0,2466.0,854.25
455,36.0,5316.0,2438.0
456,621.0,11022.0,5214.75
457,36.0,8634.0,3372.0
458,36.0,6888.0,2790.5
459,113.0,5046.0,2592.5
460,71.0,5640.0,1484.75
461,141.0,5658.0,2759.25
462,81.0,8346.0,3959.25
463,59.0,2358.0,650.75
464,257.0,6696.0,3727.25
465,65.0,255.0,126.5
466,173.0,7524.0,3248.0
467,201.0,6984.0,3860.25
468,69.0,6186.0,2948.25
469,104.0,6672.0,3090.25
470,176.0,7980.0,3421.25
471,143.0,5046.0,1863.5
472,294.0,5316.0,1980.0
473,86.0,6366.0,1792.5
474,42.0,9054.0,3737.25
475,93.0,9456.0,4974.75
476,47.0,5292.0,2475.25
477,132.0,5226.0,2703.75
478,129.0,5988.0,3782.25
479,81.0,6840.0,2919.5
480,77.0,3006.0,861.25
481,107.0,5226.0,2702.0
482,108.0,6498.0,3931.5
483,288.0,5388.0,3513.0
484,65.0,2499.0,1204.0
485,36.0,7014.0,3497.75
486,77.0,1350.0,504.25
487,71.0,882.0,328.0
488,129.0,6252.0,3192.75
489,53.0,8682.0,2578.0
490,159.0,4830.0,1392.75
491,47.0,5664.0,2874.5
492,129.0,6168.0,3003.75
493,285.0,5376.0,3227.25
494,42.0,6000.0,2606.75
495,149.0,7248.0,3224.0
496,125.0,1194.0,486.5
497,135.0,4878.0,2790.75
498,174.0,12150.0,3270.75
499,57.0,7710.0,2241.0
500,666.0,6918.0,3121.5
501,120.0,6918.0,3236.25
502,125.0,5238.0,2742.5
503,36.0,7320.0,2734.25
504,63.0,2769.0,1085.0
505,92.0,6000.0,2986.75
506,71.0,5424.0,1420.75
507,104.0,2346.0,964.25
508,42.0,6180.0,2570.75
509,42.0,6750.0,3870.0
510,92.0,5976.0,2726.75
511,77.0,503.0,313.5
512,47.0,471.0,200.0
513,110.0,3984.0,1896.25
514,71.0,2430.0,813.25
515,36.0,7632.0,3060.5
516,63.0,8556.0,3284.25
517,77.0,1944.0,576.5
518,47.0,4788.0,2284.0
519,65.0,108.0,90.5
520,155.0,7038.0,2860.75
521,186.0,7128.0,1926.0
522,36.0,9876.0,3559.5
523,41.0,5034.0,2069.75
524,191.0,7218.0,4261.25
525,84.0,9534.0,4127.75
526,96.0,8298.0,3212.75
527,47.0,5310.0,1429.75
528,141.0,5220.0,1854.75
529,465.0,5112.0,2637.75
530,237.0,6828.0,3698.25
531,69.0,6186.0,3134.25
532,228.0,5826.0,3568.5
533,71.0,3996.0,1552.0
534,63.0,7446.0,3439.5
535,71.0,7788.0,3227.5
536,69.0,2604.0,709.25
537,101.0,9978.0,4347.25
538,41.0,6672.0,2968.25
539,99.0,7932.0,3601.5
540,162.0,5166.0,2941.5
541,41.0,5148.0,2557.25
542,122.0,2994.0,864.25
543,162.0,7194.0,3258.75
544,36.0,1014.0,378.75
545,47.0,837.0,447.5
