episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
77,207.0,9954.0,3746.25,14985.0,3,46,22.5,90,27,200,115.0,460
78,62.0,7884.0,3141.25,12565.0,2,43,21.75,87,15,200,109.0,436
79,159.0,4104.0,2040.5,8162.0,3,39,21.0,84,27,200,115.0,460
80,41.0,7740.0,2013.75,8055.0,1,42,12.5,50,9,200,62.75,251
81,41.0,6996.0,3129.5,12518.0,1,42,21.5,86,9,200,112.0,448
82,74.0,9264.0,3358.25,13433.0,2,45,22.25,89,15,200,113.5,454
83,90.0,8208.0,3157.5,12630.0,2,45,22.0,88,21,200,110.5,442
84,71.0,6492.0,1736.75,6947.0,1,42,12.25,49,9,200,65.75,263
85,36.0,6480.0,2816.0,11264.0,0,44,20.75,83,9,200,106.0,424
86,254.0,8418.0,3694.75,14779.0,6,43,26.5,106,39,200,139.0,556
87,36.0,7212.0,2950.25,11801.0,0,43,20.75,83,9,200,107.5,430
88,68.0,7398.0,3017.0,12068.0,2,44,21.0,84,15,200,109.0,436
89,306.0,8718.0,2585.75,10343.0,8,47,19.75,79,57,200,101.5,406
90,348.0,6972.0,2674.25,10697.0,8,44,22.5,90,57,200,122.5,490
91,36.0,5886.0,2418.75,9675.0,0,40,22.5,90,9,200,124.0,496
92,306.0,7248.0,3919.5,15678.0,6,44,31.25,125,45,200,161.25,645
93,36.0,6336.0,2271.5,9086.0,0,44,20.25,81,9,200,106.0,424
94,47.0,10332.0,2673.0,10692.0,1,47,13.75,55,9,200,64.25,257
95,74.0,374.0,179.25,717.0,2,10,4.25,17,15,63,30.0,120
96,98.0,6504.0,1752.25,7009.0,2,42,12.75,51,15,200,67.0,268
97,57.0,8808.0,3463.5,13854.0,1,46,24.75,99,15,200,128.5,514
98,75.0,347.0,215.5,862.0,1,7,4.5,18,15,45,33.0,132
99,147.0,9228.0,3391.5,13566.0,3,46,22.0,88,27,200,113.5,454
100,36.0,7770.0,2133.0,8532.0,0,43,14.0,56,9,200,74.5,298
101,258.0,6186.0,2881.5,11526.0,4,41,22.75,91,32,200,122.25,489
102,41.0,8490.0,2777.5,11110.0,1,44,21.5,86,9,200,116.5,466
103,57.0,7098.0,3226.25,12905.0,1,42,21.25,85,15,200,107.5,430
104,147.0,7584.0,2015.75,8063.0,3,45,14.0,56,27,200,71.75,287
105,230.0,9282.0,3656.5,14626.0,6,47,25.5,102,39,200,128.5,514
106,87.0,7446.0,3141.75,12567.0,1,42,23.0,92,15,200,124.0,496
107,36.0,6786.0,3269.75,13079.0,0,43,21.0,84,9,200,104.5,418
108,222.0,8220.0,3185.25,12741.0,4,44,23.0,92,33,200,121.0,484
109,36.0,9138.0,3361.5,13446.0,0,46,22.25,89,9,200,110.5,442
110,42.0,8970.0,3684.0,14736.0,0,43,24.0,96,9,200,125.25,501
111,36.0,8508.0,3402.75,13611.0,0,43,22.25,89,9,200,115.0,460
112,41.0,8106.0,2109.0,8436.0,1,45,13.25,53,9,200,64.25,257
113,36.0,9000.0,2528.0,10112.0,0,45,16.0,64,9,200,82.0,328
114,36.0,9138.0,2322.75,9291.0,0,45,11.5,46,9,200,58.25,233
115,63.0,7992.0,3482.0,13928.0,1,44,21.5,86,15,200,112.0,448
116,105.0,3372.0,964.5,3858.0,3,36,12.0,48,27,200,74.75,299
117,69.0,8970.0,3449.0,13796.0,1,44,22.0,88,15,200,109.0,436
118,42.0,7386.0,2984.25,11937.0,0,43,21.25,85,9,200,111.75,447
119,63.0,6708.0,2829.0,11316.0,1,43,20.5,82,15,200,107.5,430
120,131.0,10146.0,3212.5,12850.0,3,46,19.0,76,21,200,98.5,394
121,83.0,5730.0,1766.0,7064.0,3,40,16.25,65,21,200,90.75,363
122,125.0,7896.0,3163.0,12652.0,3,43,24.0,96,21,200,125.5,502
