,reward,numerosity,fitness
0,2485.5999999999995,2472,231087.0000000001
1,1386.7999999999981,1204,92361.29999999994
2,112.60000000000002,96,3721.4699999999993
3,39.0,30,503.1
4,87.39999999999996,138,317.40000000000015
5,70.19999999999999,54,129.60000000000002
6,4.9,5,30.9
7,1871.4999999999986,1899,582432.3599999995
8,188.10000000000005,161,11890.140000000001
9,27.600000000000005,36,36.0
10,197.3999999999999,126,378.0
11,742.5,825,3049.2000000000025
12,2207.300000000005,2369,272899.7099999996
13,789.2999999999998,661,42566.34000000001
14,2571.7000000000003,2809,628837.9800000001
15,44.500000000000014,45,1489.05
16,2788.900000000002,2887,801632.070000001
17,2029.3999999999994,1614,320399.24999999994
18,86.39999999999998,96,120.96000000000006
19,1029.6000000000024,936,22155.120000000054
20,2308.100000000005,2377,323250.8400000002
21,1163.8000000000004,998,47417.36999999998
22,264.0,264,712.7999999999995
23,234.00000000000023,180,1029.5999999999995
24,182.8999999999998,177,318.5999999999999
25,353.5,303,399.9599999999994
26,63.599999999999994,60,273.6000000000001
27,398.99999999999955,350,2511.6000000000045
28,396.90000000000043,441,9327.150000000001
29,275.9999999999999,360,1936.7999999999986
30,190.7999999999998,212,1157.52
31,91.20000000000005,144,760.3200000000002
32,177.60000000000008,144,4764.2400000000025
33,124.80000000000004,96,2160.0
34,79.19999999999999,72,1695.5999999999997
35,22.799999999999997,36,69.11999999999999
36,42.0,36,269.28000000000003
37,655.199999999999,624,38638.08000000003
38,312.0,312,5686.199999999995
39,3848.200000000008,3822,1152687.389999999
40,667.4000000000004,610,81709.64999999995
41,195.0,150,3010.4999999999986
42,1059.5,815,9217.650000000005
43,2948.5000000000086,3245,524868.6900000002
44,1492.4000000000005,1316,156827.01000000004
45,216.0,288,8436.959999999997
46,183.59999999999988,252,4212.0
47,22.200000000000006,66,90.96000000000001
48,1145.2999999999993,829,12610.620000000046
49,564.0000000000009,512,11344.02000000001
50,319.5,355,1823.280000000001
51,300.0,360,5385.600000000008
52,161.99999999999994,180,1007.9999999999989
53,300.0,360,8553.60000000001
54,2867.6999999999994,2601,418231.4100000008
55,1250.7,1067,165810.68999999992
56,27.600000000000005,36,243.36
57,593.4000000000001,414,745.1999999999981
58,811.199999999998,676,2007.7200000000087
59,31.8,30,748.8
60,192.69999999999985,235,1075.8299999999997
61,2583.299999999994,2669,221486.21999999968
62,1103.0999999999995,967,47808.38999999993
63,43.6,36,1097.64
64,1769.9000000000035,1935,92852.8200000002
65,3574.6000000000067,2886,404362.59000000043
66,159.0,166,4276.349999999999
67,468.70000000000084,327,1177.1999999999975
68,504.0000000000014,720,863.9999999999975
69,959.2999999999969,905,2476.079999999998
70,32.4,36,90.72000000000001
71,180.5000000000003,285,627.0000000000011
72,98.69999999999993,423,5562.450000000003
73,143.10000000000002,159,419.76000000000016
74,100.70000000000007,159,228.95999999999975
75,1478.6999999999957,1431,37110.60000000011
76,664.3999999999982,604,3750.840000000007
77,362.3999999999994,604,634.2000000000004
78,748.7999999999986,624,5110.5600000000195
79,645.3999999999996,538,5311.680000000005
80,150.5,105,692.9999999999998
81,66.49999999999997,105,50.399999999999984
82,2155.0000000000014,2486,341996.24999999965
83,1551.8000000000004,1454,150071.85
84,2615.8000000000034,2614,622838.9999999994
85,327.3,281,34571.34
86,136.80000000000004,120,961.1999999999996
87,483.60000000000133,468,2864.1600000000008
88,66.5,57,184.68
89,286.20000000000005,318,6868.800000000006
90,286.20000000000005,318,2162.3999999999987
91,1653.9,1419,45331.01999999986
92,4138.30000000001,3695,1046608.7399999984
93,1260.6999999999998,1079,105331.50000000003
94,777.5999999999983,648,4704.479999999995
95,372.6000000000011,486,680.4000000000009
96,42.600000000000016,198,570.7800000000002
97,82.79999999999994,108,90.72
98,22.0,20,265.05
99,820.0,656,43492.80000000007
100,628.0999999999998,553,26308.49999999999
101,323.30000000000035,305,2898.7199999999993
102,341.9999999999996,300,9055.800000000007
103,216.0,216,1937.5200000000027
104,2787.500000000003,3047,492111.0900000005
105,1522.4999999999964,1213,67146.7499999999
106,573.1999999999999,468,61056.03000000001
107,487.20000000000135,696,1566.0
108,377.3999999999993,510,4112.640000000006
109,11.8,22,93.15
110,1905.7999999999986,2018,358178.1599999997
111,1132.7,951,83911.37999999999
112,608.3999999999983,468,2433.599999999993
113,1855.2999999999993,1705,179362.20000000007
114,3528.099999999994,2937,466274.01000000024
115,1424.3999999999999,1164,186836.96999999997
116,33.6,24,133.2
117,22.79999999999999,108,3822.4799999999996
118,30.6,30,769.8599999999999
119,330.0,660,4847.039999999995
120,739.2000000000018,528,3088.8000000000075
121,1517.6999999999998,1501,258419.81999999992
122,573.0000000000001,484,22626.39
123,2208.6,2538,70414.20000000004
124,597.4000000000001,618,30665.16000000004
125,46.39999999999999,48,118.08000000000003
126,568.0,564,7665.240000000003
127,96.0,96,3447.72
128,25.8,18,75.6
129,23.4,18,112.32
130,523.9000000000016,507,2676.960000000001
131,1160.5000000000036,1209,12475.079999999954
132,296.40000000000003,468,2489.7600000000043
133,2485.5999999999985,2288,555124.2300000006
134,289.9,231,18679.86
135,238.5,265,858.6000000000007
