day,baseline,maximin,utilitarian
1,29.020510255127565,29.02051025512756,28.921460730365183
2,28.571,28.553,28.016000000000005
3,29.656,29.413,28.834000000000003
4,30.444000000000003,30.174,29.745000000000005
5,30.923000000000002,30.848000000000006,29.945
6,31.303000000000004,30.85,29.968000000000004
7,31.224000000000004,30.813000000000002,29.469
8,30.824000000000005,30.785000000000004,29.060000000000002
9,31.100500000000004,30.838,28.998500000000003
10,31.859963431049845,32.42887149184426,31.135408832650207
11,32.366750980178814,32.83334457538615,31.440549366199097
12,32.82322688762926,33.200859953006265,31.58615666197064
13,33.0982046542927,33.43021034019061,31.687291988363853
14,33.35732771827196,33.44193864405659,31.693997183019203
15,33.84030934832415,33.62108932307205,31.972088775765037
16,35.8481155719571,35.53907704698115,34.950251167896994
17,35.99739980162101,35.66194754593041,35.245809654163736
18,36.35236469453688,36.04195826651073,35.27215957336181
19,36.67045803118873,36.09068363356661,35.30800899428287
20,36.826060330368165,36.11370928951333,35.37384161226154
21,37.03631614483766,36.34268507866844,35.6209505893328
22,39.850053952881694,38.38794266337749,38.655628598623146
23,39.909254167825154,38.699744240360744,38.89326939590154
24,40.54991217002187,38.95417129519819,38.90388676707136
25,40.71778875219648,38.83959788147672,38.98048734552433
26,40.622142859819306,38.98389170721112,39.03445706682302
27,41.279261480830435,39.376428248907,39.206584280624845
28,42.83907155996093,41.36677391931779,42.306066504742304
29,43.13653568800949,41.5106850896308,42.48870517418716
30,42.988008081979686,41.74036486026266,42.494428853804784
31,43.239529572898164,41.81630295763346,42.49864442748557
32,43.404646745296716,41.69896548450358,42.544697879281046
33,43.80502165805497,41.99410205494239,43.083260652018396
34,46.81908360758336,44.26047810845512,45.820428068116264
35,47.26957143382536,44.39580012768179,46.016136353771046
36,47.77085663362132,44.61767424204683,46.19707033589311
37,47.977358194175366,44.39118999103335,46.35858760953212
38,47.62751208659702,44.316793360275334,46.374505692214996
39,48.521902796142996,44.53159818739917,46.65023072917132
40,49.62941180251345,46.682696577800776,48.76559831143118
41,49.70830091750504,47.172832625431205,48.91882082824749
42,49.741387139197705,47.24466696164737,48.84142839784177
43,49.84715826689845,46.89551114963381,49.05588248174601
44,50.27714893058026,46.86415870201654,49.194043428591684
45,50.9038571721582,46.934912002388785,49.51617893880104
46,52.761662502640796,48.82270959925402,52.367001434802084
47,53.2995083106613,48.94042325080832,52.534680686071134
48,53.48689684220139,49.09730323522557,52.55138186990966
49,53.69303281557895,48.87407699661332,52.420018975526816
50,54.440814379581795,48.5675869307063,52.342974769449874
