day,baseline,maximin,utilitarian
1,0.0,0.0,0.0
2,0.0855,0.105,0.0475
3,0.3775,0.3785,0.2425
4,0.634,0.595,0.4335
5,0.8495,0.8075,0.5715
6,1.043,1.0175,0.7275
7,1.2765,1.2265,0.986
8,1.4915,1.4755,1.2045
9,1.713,1.712,1.431
10,1.9336016096579476,1.9338122113904566,1.627004655975168
11,2.164486921529175,2.1216008209338124,1.7972064148991205
12,2.3712273641851107,2.3314520266803487,1.9943093636833937
13,2.596579476861167,2.530528476141611,2.214174857734092
14,2.808853118712274,2.7526936890713185,2.4645628556647696
15,3.0090543259557343,2.9461262185736277,2.720124159337817
16,3.2604272634791456,3.174854727945061,2.957928802588997
17,3.4715157680569684,3.352879027997887,3.138619201725998
18,3.6785350966429298,3.536714210248283,3.335490830636462
19,3.899287894201424,3.729001584786054,3.5242718446601944
20,4.114445574771109,3.9360802958267302,3.773462783171521
21,4.333672431332655,4.136291600633914,4.02217414818821
22,4.5610628513030145,4.36073553272039,4.271339739966082
23,4.772611139499234,4.5289345592212005,4.465234595816845
24,4.99591211037302,4.723093564088696,4.67495760316563
25,5.213592233009709,4.921038399134668,4.885811192764273
26,5.428717424629535,5.105462412114656,5.117580553985302
27,5.636177823198774,5.28532755820249,5.354308390022676
28,5.870522006141249,5.493377483443709,5.610557184750733
29,6.084485407066052,5.663907284768212,5.805278592375367
30,6.295954941116231,5.848233995584989,6.017008797653959
31,6.49615975422427,6.026490066225166,6.202932551319648
32,6.712749615975422,6.206953642384106,6.409970674486804
33,6.929779600205023,6.410981697171381,6.629432624113475
34,7.161190965092403,6.618028169014084,6.90389294403893
35,7.380903490759754,6.792112676056338,7.091849148418492
36,7.576488706365503,6.962253521126761,7.299878345498784
37,7.786960985626283,7.12281690140845,7.476885644768856
38,8.020020533880903,7.309295774647888,7.693430656934306
39,8.22741273100616,7.526734926052332,7.942909760589319
40,8.450668036998973,7.703852788959172,8.15202492211838
41,8.655704008221994,7.871190339275445,8.347040498442368
42,8.876156217882837,8.039677975848189,8.53582554517134
43,9.088900308324769,8.235767682576194,8.710903426791278
44,9.308838643371017,8.403680276020701,8.920872274143303
45,9.523124357656732,8.61172373766686,9.154716981132076
46,9.727506426735218,8.789103690685414,9.36741214057508
47,9.960925449871466,8.956063268892795,9.558466453674122
48,10.180462724935733,9.124780316344465,9.759744408945688
49,10.384575835475578,9.30579964850615,9.940575079872204
50,10.613881748071979,9.46572934973638,10.119488817891375
