day,baseline,maximin
1,8.038519259629815,8.04152076038019
2,9.343,9.3785
3,10.757,10.1405
4,11.081,10.7625
5,11.7945,10.772
6,12.077,10.54
7,12.9325,11.0365
8,13.759,11.692
9,14.818,12.3855
10,15.254431699687174,12.407744874715261
11,16.037539103232533,12.498861047835991
12,16.65172054223149,12.590546697038725
13,17.16788321167883,12.996583143507973
14,18.000521376433785,13.560364464692483
15,18.723149113660064,14.156605922551252
16,19.14792576419214,14.232224396607958
17,19.856441048034934,14.691454664057403
18,20.407751091703055,14.956294846705806
19,21.12991266375546,15.316373124592303
20,21.807860262008735,15.966731898238747
21,22.45603495357728,16.582625734813845
22,23.07866440294284,16.56140350877193
23,23.710809281267686,17.012426900584796
24,24.2937181663837,17.51169590643275
25,24.903791737408035,17.84722222222222
26,25.53423882286361,18.480263157894736
27,26.142129105322763,19.056410256410256
28,26.73955916473318,19.317757009345794
29,27.446055684454755,19.595794392523363
30,28.011600928074245,20.210280373831775
31,28.677494199535964,20.648753894080997
32,29.25812064965197,21.24532710280374
33,29.7877030162413,21.74980453479281
34,30.57134433962264,22.09659090909091
35,31.09257075471698,22.728084415584416
36,31.73820754716981,23.089285714285715
37,32.38266509433962,23.650162337662337
38,33.04893867924528,24.342532467532468
39,33.65191740412979,24.617142857142856
40,34.23715651135006,25.150082918739635
41,34.90979689366786,25.78026533996683
42,35.500597371565114,26.25207296849088
43,36.10991636798089,26.92620232172471
44,36.713859020310636,27.437810945273633
45,37.40694195092759,27.897670549084857
46,38.09500901984366,28.386420787929588
47,38.630186410102226,28.966471081307628
48,39.20384846662658,29.629505448449287
49,39.78713168971738,30.31601005867561
50,40.4792543595911,30.90695725062867
