Metric,Test Name,Value,Type
mean_gini_days,average,0.2964032941516359,Minimum
median_gini_days,optimist,0.2352216748768472,Minimum
stdev_gini_days,average,0.1111745673509676,Minimum
mean_min_days,majoritarian,34.684,Maximum
median_min_days,average,21.0,Maximum
stdev_min_days,optimist,19.40492120486365,Minimum
mean_max_days,veto,199.187,Maximum
median_max_days,average,200.0,Maximum
stdev_max_days,veto,11.548653705190162,Minimum
mean_total_days,optimist,512.099,Maximum
median_total_days,optimist,609.0,Maximum
stdev_total_days,veto,126.50104409908306,Minimum
mean_gini_berries,average,0.3597422772164525,Minimum
median_gini_berries,optimist,0.28515625,Minimum
stdev_gini_berries,average,0.1240546976483868,Minimum
mean_min_berries,majoritarian,5.035,Maximum
median_min_berries,average,3.0,Maximum
stdev_min_berries,optimist,3.1851053194354337,Minimum
mean_max_berries,veto,46.566,Maximum
median_max_berries,veto,47.0,Maximum
stdev_max_berries,majoritarian,4.472348589041545,Minimum
mean_total_berries,optimist,103.925,Maximum
median_total_berries,optimist,114.0,Maximum
stdev_total_berries,veto,26.325160932045563,Minimum
most_common,optimist,8.0,
