episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
47,251.0,9138.0,4873.25,19493.0,0.43657979787616064,5,46,26.75,107,0.3621495327102804,33,200,128.25,513,0.3026315789473685
48,53.0,7404.0,2406.5,9626.0,0.6261167670891336,1,42,15.0,60,0.575,9,200,79.0,316,0.5142405063291139
49,77.0,8808.0,2300.0,9200.0,0.7125,1,42,12.0,48,0.6458333333333334,9,200,64.25,257,0.5632295719844358
50,141.0,9390.0,2581.5,10326.0,0.675624636839047,3,44,15.0,60,0.5166666666666667,27,200,77.25,309,0.43446601941747576
51,42.0,10056.0,6573.0,26292.0,0.2869694203560018,0,45,32.75,131,0.2614503816793893,9,200,152.25,609,0.2352216748768472
52,99.0,11088.0,5355.75,21423.0,0.3883559725528637,1,44,29.5,118,0.27542372881355937,15,200,153.75,615,0.22560975609756095
53,89.0,7218.0,3173.75,12695.0,0.45567152422213475,2,41,25.25,101,0.34405940594059403,9,200,131.25,525,0.31285714285714283
54,41.0,8526.0,4039.0,16156.0,0.49390319385986625,1,46,25.0,100,0.42500000000000004,9,200,116.5,466,0.38412017167381973
55,36.0,7632.0,4917.0,19668.0,0.32885906040268453,0,42,30.0,120,0.275,9,200,152.25,609,0.2352216748768472
56,99.0,9960.0,6243.75,24975.0,0.30093093093093093,1,46,33.5,134,0.25373134328358204,15,200,153.75,615,0.22560975609756095
57,36.0,6738.0,1908.5,7634.0,0.6630861933455593,0,32,11.25,45,0.5388888888888889,9,200,73.0,292,0.5051369863013698
58,630.0,6060.0,4131.0,16524.0,0.2801379811183733,9,41,31.0,124,0.19354838709677424,56,200,164.0,656,0.16463414634146334
59,144.0,9204.0,6052.5,24210.0,0.295724907063197,2,47,33.25,133,0.25751879699248126,21,200,155.25,621,0.21618357487922713
60,110.0,12858.0,6084.5,24338.0,0.42372010847234776,2,55,32.0,128,0.32421875,15,200,144.75,579,0.2551813471502591
61,95.0,2934.0,988.25,3953.0,0.5837971161143435,1,18,8.0,32,0.453125,15,116,50.5,202,0.4108910891089109
62,171.0,7494.0,5090.25,20361.0,0.28816119051127154,3,42,31.0,124,0.2379032258064515,27,200,156.75,627,0.2069377990430623
