day,baseline,utilitarian,maximin,egalitarian,average,majoritarian,veto,optimist
1.0,29.165165165165167,28.666666666666664,28.96096096096096,28.936936936936938,28.972972972972972,28.810810810810807,28.82882882882883,28.954954954954957
2.0,28.600000000000005,27.268000000000004,28.366000000000007,28.258000000000003,28.396000000000004,27.316000000000003,27.382000000000005,28.384000000000004
3.0,29.442,27.834000000000003,29.268000000000004,29.112000000000002,29.394000000000005,27.990000000000002,27.612000000000002,29.502000000000002
4.0,30.104,28.748000000000005,29.846,29.624000000000002,29.984,28.790000000000003,28.166,29.912
5.0,30.118000000000002,29.098000000000003,29.986000000000004,29.662000000000003,30.064,29.032000000000004,28.432000000000002,29.986
6.0,29.304000000000002,28.398000000000003,29.37,29.334000000000003,29.364000000000004,28.32,28.326000000000004,29.466000000000005
7.0,28.358000000000004,27.578000000000007,28.478000000000005,28.616000000000003,28.310000000000002,27.260000000000005,27.422000000000004,28.616
8.0,27.520000000000003,26.758000000000006,27.376000000000005,27.994000000000003,27.994000000000003,26.164,26.734,27.934
9.0,26.780000000000005,26.73,26.802000000000003,28.208000000000002,28.143,25.661,25.904000000000003,27.700000000000003
10.0,29.39921227458907,30.09907927437971,29.632891936018346,31.995371299076005,31.2078020288535,29.028178054027336,28.73597677348846,31.710554822281395
11.0,29.55212550485085,30.12880059399845,29.845776175161266,31.839831181275247,31.233103154198744,28.829992613716087,28.627709670906118,31.797935403730488
12.0,30.112351277518762,29.996260898358457,29.99796116387514,31.45155224224924,30.74269807398484,28.444119399084997,28.638428399316584,31.736243722391862
13.0,29.78113609698044,29.612820497678676,29.787888975872995,31.13686184226426,30.25970727067051,28.181208815455584,28.280707019129476,31.33659998867116
14.0,29.229038857446593,29.114691594442043,29.130995902102235,30.867921404864006,29.99814483310807,27.403356416714473,27.588829925918333,30.77314235146265
15.0,29.157922343483335,29.256593883109446,29.19670883639364,31.082417749351965,30.10875319533408,27.375163145056057,27.26842606441891,30.550587212714408
16.0,34.11293207152091,33.662670847978006,34.01883914480285,35.88262498365853,34.17744393800653,32.04051645349075,32.65371644084174,35.5724649127924
17.0,34.0568203834917,33.69822315303158,33.83474637267604,35.72454801385607,34.174335073611054,32.164524176069165,32.746560870885304,35.409634563782184
18.0,34.108649243468044,33.43320603531924,34.01096396037513,35.81700264964076,33.91219126795079,31.569042125578626,32.671393687082215,35.108621210959626
19.0,34.307641527850265,33.10039050255328,34.137714092718724,35.68799309009507,33.73879472748685,30.97924233849531,32.59151900032198,35.334437898716494
20.0,33.83641897592128,32.98705067137159,33.75118676555055,35.1089730242644,33.21730345563427,30.505016733879216,32.11579048946128,34.76046522251711
21.0,34.06075605581806,33.37560641084119,33.620648750597525,35.627710931530245,33.32758434393347,30.306318683683912,31.985569431954303,34.550273371660595
22.0,38.992599303680315,38.04354474616505,37.73200056783522,40.14168176371836,37.70284553457406,35.446654814450966,37.00520728731418,39.27266888484785
23.0,39.015632718387764,37.59270770918808,38.02946456498297,40.20130235147591,37.74543554048499,35.4017310068476,37.03343357293855,38.699381727394936
24.0,39.116190701223275,37.831400889527416,38.0833455624636,40.22639443045639,37.44476089982316,35.24961670973039,37.33220439832228,38.6042048919033
25.0,39.25167888633028,37.6108125319135,38.067575676139626,40.2383495651295,37.05177812519004,34.92994669643714,37.195498439408695,38.1989407987885
26.0,39.09707819663715,37.23057646745031,37.71660639301384,40.330381031005686,36.68494940927213,34.36219116629889,36.71603352284363,37.765305932922224
27.0,39.299648299542596,37.680604138332086,37.96319553824371,40.818589179541064,37.58826159931782,34.6533132101555,36.86741469229459,38.05183035811589
28.0,43.828127686815485,41.99744970571632,42.01926080495975,44.883434947765444,40.57869756078104,39.75382916323457,40.85832414802331,42.27922278574212
29.0,44.03501675304143,42.331252818493425,42.14409779550333,45.23813417334155,40.31200368582029,39.6198350642887,40.66189965943463,42.36410483230289
30.0,44.31146518201842,42.09674228361103,42.87715329886352,45.3414798669282,40.20418124014091,39.49752906881554,40.99711776587419,42.016094791707104
31.0,43.831746575874625,42.02163338986989,42.40374555891091,45.34016087822885,39.79405535010355,39.43865326503707,41.11702669501708,41.40275385620534
32.0,43.43393721750018,41.840316565364205,42.36863610772868,45.10570669690483,39.8727138814108,38.803350169796865,40.95958115670524,41.430139357492344
33.0,43.7727399796968,42.64984719239513,42.56512157826165,46.103759596897284,41.03917995990914,39.11150411458781,41.1547528787404,43.021762226232795
34.0,48.17424247950826,46.16468082556936,45.896488630048864,49.29519669208774,44.74564704905861,42.415066245103816,44.778794647616174,46.31878864507394
35.0,47.790109869367335,45.94401665268708,46.00617872791744,49.74646585409654,44.967027121144866,42.38493089730427,45.10111253204745,46.545184212172884
36.0,47.88287321847176,45.78465034679978,45.99338484410285,49.52983550025621,44.68975284048885,41.96852260457254,45.026710889257174,46.036641376190204
37.0,47.997708321498436,45.584959459802675,45.97773035687873,49.35288889251047,44.18111602938536,42.10152717876073,44.95455571305532,46.28134237223885
38.0,47.79075053384544,45.54516761405459,45.747187570155376,49.08461295565652,44.18808631524962,41.179082903503875,44.74090449805063,46.222147963157774
39.0,48.25674895253954,46.25412707030915,46.28017392237969,50.319150814230554,45.29590930800865,41.72213964607489,45.54951745020254,46.85316417816415
40.0,52.69090338815737,49.02162958820258,49.295211692691744,53.29350671458586,48.67133949387481,44.978757346531694,48.295751650004554,49.25463080457033
41.0,53.029524952751466,49.11354087776628,49.64150723183956,53.68480933567724,48.494039279003275,44.40046833920306,48.2461791548435,49.370778995545834
42.0,52.74949623015982,49.02673141736125,49.98728839124968,53.80577136667405,48.486912017217044,44.239224268013814,48.19343067205004,48.35416921803346
43.0,52.41983429088689,48.95471388608072,49.98098138481744,53.48883494079986,47.88390184502549,43.86633997088758,48.24287568146644,48.41016604759119
44.0,52.41270271876676,48.84718844910639,49.57313084310036,53.509843753296394,48.06006907158186,43.55896101407753,47.64932156860622,48.32305308571999
45.0,53.36938252050159,49.78174848406203,49.737255321415574,55.23934554440609,49.44608144552316,44.10744026100458,48.58190589840042,49.36087700846766
46.0,56.11949705933226,53.06103785072272,52.45069417944787,57.86003930450865,51.999491772317604,47.4625585550198,50.503300597416796,51.87971245245475
47.0,56.52737199446459,52.71214162430253,53.037360242282006,57.79497427305909,52.273199872546634,47.1686780822649,50.622743495676744,51.76850637666601
48.0,56.58258951738449,52.52050676781562,53.29687960515591,57.75174097145427,51.74972436949051,47.56239605300566,50.17536361107168,51.400610270400186
