day,baseline,utilitarian,maximin,egalitarian,average,majoritarian,veto,optimist
1.0,0.006280889621087082,0.006442489000628271,0.0034218166735795474,0.005707762557077833,0.004249585406301604,0.011309151553053898,0.010104166666666803,0.0074154739680563075
2.0,0.02297202797202802,0.017383013055596308,0.013801734470845428,0.028823695944511396,0.00898013804761244,0.03162981402840814,0.02810240303849265,0.013211668545659583
3.0,0.06964540452414902,0.04543004957965069,0.04325543255432551,0.06502473206924964,0.04373341498264938,0.06779206859592701,0.058452846588439744,0.036353467561521136
4.0,0.07374435290991221,0.038611381661333155,0.05262011659853916,0.06683769916284099,0.04062166488794028,0.07403612365404633,0.05373499964496187,0.04774003744316646
5.0,0.07824224716116612,0.03562100488006048,0.04757220036016818,0.066094666576765,0.04550292708887693,0.07109396527969136,0.04473832301631964,0.04767224704862261
6.0,0.0849713349713348,0.028259032326219957,0.05541368743615904,0.06734506033953758,0.053228442991418046,0.07838983050847426,0.04104003389112476,0.05472408878028934
7.0,0.09082093236476463,0.0323627529189936,0.06389142495961786,0.08145792563600773,0.059078064288237364,0.09123257520176065,0.03725111224564226,0.06688565837293803
8.0,0.11293604651162781,0.04075416697809975,0.07901081239041474,0.09650282203329263,0.06649639208401803,0.1130561076288028,0.04034188673599148,0.08532612586811772
9.0,0.13384988797610142,0.056247661803217275,0.09786583090814105,0.10883437322745326,0.08347546459155031,0.13798176220724057,0.043468190240889326,0.10133574007220214
10.0,0.12264835653511197,0.07000016001337106,0.09256480189231175,0.10330858436622559,0.08514363712802342,0.12302641839139339,0.05101087467154941,0.08014238516826899
11.0,0.1300477387166643,0.06668971862390127,0.08849390091064557,0.10084998803599299,0.08140799918831387,0.1246629983917682,0.05372363227244459,0.07968119493251646
12.0,0.12358937397027225,0.06270527704508932,0.09232461977744766,0.10472773512519495,0.07850508819861379,0.13541274353480426,0.04770757429661754,0.08387324178108035
13.0,0.131681677865092,0.060851084731128324,0.0959768195966435,0.11186386889042077,0.08079580054666158,0.1447756034538139,0.057587230923804134,0.08873926575068358
14.0,0.14041563091049847,0.06876165994079186,0.11050589774156294,0.12034095214178486,0.07876389932777861,0.16422326921429442,0.061887487555828624,0.09796845968386525
15.0,0.15192053236966285,0.07085490095659153,0.12402034015824537,0.12679926394820273,0.08774178807361,0.1755174638897512,0.06409599191491688,0.10595617625921339
16.0,0.1110401405279493,0.06683802836693253,0.09837584986920134,0.11114068492221962,0.0990578965252864,0.12653486144652204,0.036660794744802994,0.09807624182066421
17.0,0.1126737207148909,0.056444494825560465,0.10348671582458602,0.10919689096813134,0.09008317520725817,0.12902480838765085,0.04212140706438072,0.09832628602072546
18.0,0.11606989281024815,0.06102373747867529,0.09726779175560107,0.10775103230508787,0.08953528584235149,0.13480289792212163,0.040543955603355775,0.09461141895443559
19.0,0.1181802417004707,0.06024695797064972,0.10412465548975969,0.10977690734450207,0.09649831243021789,0.14511764249343417,0.03914492541310355,0.09472381237906324
20.0,0.12271497397931452,0.05870167634435597,0.1172858200646052,0.11999320608922726,0.09139693584361597,0.15355958021034533,0.047352122076438796,0.10455442195226428
21.0,0.12949974392981556,0.06142624083719861,0.12031531390444261,0.13133839187503815,0.09782194048497272,0.16692267898560065,0.04729305701019704,0.11976270078768447
22.0,0.10835591912543019,0.0626336445674276,0.09936692953515425,0.11066810744825495,0.1018687751696623,0.12915342600572766,0.04510033619246889,0.10803740963677422
23.0,0.10921448984405835,0.062275110440390025,0.10677034480827041,0.1126429707679244,0.09431031098386389,0.13429593065654677,0.04530611693574338,0.11420876923809131
24.0,0.10919081868870628,0.05782618156252428,0.10891133239748241,0.11001764551698057,0.09824141185201363,0.13781805980001383,0.04158720001373739,0.11161319581016915
25.0,0.11445259869574409,0.055283691357468356,0.11539406401659846,0.11060964571412035,0.09768790808118544,0.15196152893519765,0.04152499031203272,0.11348740197398066
26.0,0.11835899504793601,0.0592751870685857,0.11886592358312087,0.11640657609595806,0.10224556472682189,0.15373642200319182,0.04236484194182788,0.11678358378972908
27.0,0.12182988539682316,0.0667694706030657,0.12149244294047357,0.1250688793925292,0.10804846938623602,0.15756224039219702,0.04942161137406553,0.12971200688802376
28.0,0.09349772690454605,0.07327675870488948,0.09904437690221846,0.11258716955616332,0.0972535706237343,0.1165713759586966,0.041938792589537366,0.10651597218937536
29.0,0.09372860019886553,0.06352508055495454,0.09597572264279153,0.11321514747799011,0.09269657208705762,0.11891851481339488,0.035511177800898075,0.10898500230753583
30.0,0.09438382602761486,0.06505832418181745,0.09848661320164287,0.11264298672187856,0.09049473747163694,0.12719269879105566,0.03409964316592018,0.10854166327905168
31.0,0.0997569114755863,0.071700608901893,0.10811829278292984,0.11528162684569287,0.09195398591806248,0.1270807162248011,0.04122056622991499,0.10957163482473731
32.0,0.1100052142084349,0.06604645770301176,0.11083402606203663,0.12500506158132252,0.09060103843056133,0.13444748734795064,0.040016670848946,0.11292261293930927
33.0,0.1099735488829543,0.07586555157964958,0.11484386004473213,0.12822759885347756,0.10425133079930515,0.13953968649946846,0.03520682635897532,0.12243611591784198
34.0,0.09334317956917393,0.06650446057731108,0.10423256574176931,0.11657463873198393,0.09755233734534663,0.11644976621441616,0.03459659955878136,0.10822874183378839
35.0,0.09788638311706777,0.06531129782658929,0.1086560306436446,0.10978395676783403,0.09602108127357734,0.12287801077941385,0.035460170433402105,0.11108217588017122
36.0,0.10237971048306704,0.06374834193792189,0.11443827131391782,0.11289299529454255,0.09454630237064232,0.1302035821798193,0.027984839067304756,0.10976449853097603
37.0,0.1046090614609092,0.06620795846122896,0.11261516835203222,0.11752614217779267,0.09557454143442645,0.13038229272287727,0.029118657191424813,0.11510248304741255
38.0,0.10501771951013894,0.07095497652367033,0.11414534401253662,0.12210162884236553,0.09596028535723766,0.13494452247121957,0.02441293141030698,0.11547310633831231
39.0,0.11055165477622375,0.08123844715721118,0.11836859459909421,0.12229221388524003,0.11306065893568795,0.13894450954212845,0.027867197843882918,0.1236242399533869
40.0,0.08971364707587792,0.07222306655001898,0.1028032319058283,0.11008122593486402,0.10153828828965161,0.12060414214033055,0.02727455946110191,0.11123911866472569
41.0,0.08583148706923982,0.07580900543169977,0.10468527844065734,0.10838410873141857,0.10182142648523529,0.12935401007873404,0.028364482005124758,0.10596774221167893
42.0,0.09146206714853289,0.07544414156575074,0.10425621228683735,0.11052464165986664,0.10006494206026839,0.13197542335747192,0.02362429076585104,0.10967338149006123
43.0,0.09460513225540668,0.07512535316257174,0.10985563293379541,0.11157979043020827,0.09996174799467461,0.14050867615036466,0.02388417027165035,0.11023945404955904
44.0,0.10557878856508629,0.07315390682131828,0.11626559308529916,0.11009063092469562,0.09979134722797389,0.13964719196193065,0.02204677901390517,0.11138705605642651
45.0,0.11164575889725237,0.0786674185778562,0.12167485015971602,0.11879282122219625,0.11079488308033447,0.14634602661851015,0.019953691163516307,0.11640404680223271
46.0,0.0984703503043538,0.07352391850902174,0.10469012526621846,0.113354180863245,0.09707526456638327,0.11802904126875768,0.019331768255336224,0.09993783737274065
47.0,0.09639729770121219,0.0735825565980599,0.1091611736994409,0.1141697427098709,0.09323744948185086,0.12194016473510616,0.013631684232160657,0.09580678147214017
48.0,0.09987111895163592,0.07660631727904454,0.10965362679510338,0.11301770084071161,0.090454846410293,0.12320808755690549,0.011268130339936233,0.10085999751576247
49.0,0.10640413744467714,0.08095556195363751,0.11127182173351824,0.11323206128274155,0.08745348800432451,0.1390373799744078,0.017979294508550847,0.09485682295340947
50.0,0.11893151425097903,0.08253015434464306,0.11456135826704372,0.1177635011680842,0.0904899975309752,0.14066027069773512,0.02127400550069858,0.09873139932013553
51.0,0.11592159302273242,0.08434804646387928,0.11240919225856172,0.12132308474398434,0.11053378664535929,0.13953039284024804,0.02042548296720792,0.10513005156234079
52.0,0.09354973311078973,0.06587693737244926,0.10276014746848783,0.10859101940722371,0.08832154776927004,0.1244857186087669,0.02125572132924125,0.09375918315538789
53.0,0.10153220236148575,0.06763069887917528,0.10261584294735071,0.110639986229089,0.08567548410292192,0.11954437554664632,0.026692771019240613,0.09662069339832158
54.0,0.10220921613572842,0.07024823710330685,0.1020406657624684,0.11032194892840397,0.08207523857611898,0.123323430701892,0.026567833974241672,0.09029715592611098
55.0,0.10832133840054858,0.07512463066706898,0.10110289820291629,0.11051683620218289,0.0871877532204759,0.1277554245724719,0.027429604892604154,0.09170873794244971
56.0,0.11398887817641556,0.07843297123225401,0.10692047915570835,0.11249477546584252,0.08865728871853618,0.12609922505401872,0.03119435554830008,0.09187874121702833
57.0,0.12396669400358795,0.07401740135817159,0.10758248869662346,0.12069306679661529,0.09378810996338705,0.14071872362545634,0.02807128093785649,0.10225870238375556
58.0,0.1196493356983519,0.05658014062998462,0.10230684172373672,0.11403720934254635,0.08169389846672348,0.12762260365006228,0.030257157265492163,0.09385874341864531
59.0,0.12303398566435653,0.05667966929069257,0.10351778822550028,0.11641337858392009,0.08036178710675168,0.11803993671480839,0.02838967173695872,0.09440390763167539
60.0,0.12557723753831906,0.05967778800472168,0.10621709529074463,0.11378803238204083,0.08291703258927074,0.12125211094219468,0.02664234125114473,0.09440677541321563
61.0,0.12830003763840958,0.0689926974888091,0.10689375706236182,0.11425889893448415,0.08389873941965864,0.1276999297934307,0.026314348043773084,0.10059116447016891
62.0,0.12957512879167443,0.06799170401861732,0.11063035062417548,0.11614389869525654,0.08469493449957533,0.12913453143046727,0.0217966285641773,0.09635506286962925
63.0,0.132192712254668,0.07116943014237398,0.1060954466069417,0.12127097452653346,0.08636432224384771,0.1347710035279508,0.02541559279780281,0.09502145238141102
64.0,0.1131691883693633,0.06513412871641222,0.09821347584666662,0.11274652066062574,0.07938448744603166,0.12530725749499605,0.02704030064253904,0.08370965683021092
65.0,0.11906350281555445,0.06929810735666253,0.10101018286231955,0.11397724062613745,0.07977862058232876,0.12824772998305844,0.03176425070409472,0.08406209227173345
66.0,0.11723046405631798,0.07192102519604027,0.10440761542562371,0.11200068829740739,0.07694176395329189,0.12491642216281074,0.029192552734861987,0.08502173185594897
67.0,0.11999447706338806,0.07556598587765229,0.10849849342441642,0.1138831956201849,0.07622781668313516,0.1338364812649966,0.03033483861211006,0.0925172568019601
68.0,0.12670906815419714,0.08109091656289857,0.11070098314677956,0.11826352744455271,0.07066374381580887,0.13131473073010058,0.029620497472674368,0.09668178771101976
69.0,0.133086535506999,0.07182510690510857,0.10499607943572276,0.12343527646273933,0.07761823481781427,0.12795914922848461,0.029830419361322136,0.09102900393654023
70.0,0.11087204762662561,0.06691162474221413,0.10377073441376106,0.11630478744567618,0.06907413888414449,0.12096567920116286,0.027656668688482267,0.08537447371297735
71.0,0.11373551230810075,0.07402288015684921,0.10228103341712025,0.11557688275158906,0.0704698815235556,0.12175658642117781,0.02863735411149304,0.09019662551521446
72.0,0.11928984614249893,0.07861671192404884,0.10713251096837673,0.115858463940264,0.06669330087687042,0.12810564657036894,0.03069086169791868,0.09151921856173595
73.0,0.11582971582265711,0.085848371233326,0.10793196644393022,0.11426473110889313,0.06783910040155217,0.1288265545075471,0.033732502682854104,0.09044711668131766
74.0,0.12183050641363224,0.09106521440172832,0.10769097090228219,0.12448877007873005,0.07148268997274543,0.12796393912222914,0.03373934038046644,0.09840062300067931
75.0,0.1259790776205918,0.07818111817724094,0.10639791320890146,0.12324343880901756,0.07765393078059568,0.1299323680345441,0.035444054233526145,0.10140574695132853
76.0,0.12165334554436047,0.07589105718937406,0.10103340530178428,0.12168080559551386,0.07037704252967658,0.12240616025166307,0.034259852373135,0.09431370950132067
77.0,0.12020604062291107,0.07866194835814322,0.10234060026800629,0.11654286072876419,0.07103071543387074,0.1226971315535963,0.03865650673994492,0.09950376983138942
78.0,0.11361133611695107,0.08460607260451347,0.10809131112548509,0.1155021339140303,0.06870587211888113,0.11758183110196696,0.03493823115265915,0.0942066177838281
79.0,0.12095224923935688,0.09247957805036999,0.10863907270386575,0.11448518134540397,0.06824154830057272,0.13200084888860886,0.03770591269351642,0.09290740605088854
80.0,0.12995794374400638,0.09469578322772221,0.1091791885354545,0.11379647382204805,0.06798669375203903,0.12744859378763063,0.04015361965979225,0.09753508738351102
81.0,0.1318314868694357,0.08563265362999428,0.09903965367608936,0.1182177685093535,0.07374425580349642,0.12796658385157333,0.038265489046901635,0.09579043374538032
82.0,0.12729165329729386,0.08559055982404695,0.09491488540600068,0.1167473838374824,0.07251881691051665,0.11627669672236118,0.04081674624753484,0.09119948442550818
83.0,0.12899240394564093,0.08961294735054359,0.10618291930379997,0.11456549895545987,0.07846482391984444,0.11475735910520424,0.04232524393566206,0.08605279017703915
84.0,0.13184019373772515,0.08976937509775174,0.1067852528948996,0.11521542949079167,0.07280810138206717,0.11956393373701202,0.04450926618140061,0.08968594783024564
85.0,0.1352938724673569,0.09656410545041672,0.10833265429694161,0.11624569245018668,0.07717319906864994,0.13042545699458086,0.04633374160791415,0.09732824981942545
86.0,0.14386871748505392,0.10076275448197647,0.10341636871400017,0.11555531016968734,0.08474214602726216,0.11692273494172167,0.04575768880146791,0.09919242619198498
87.0,0.12322673051611699,0.08692645163256807,0.09927893700582935,0.11995056348668731,0.08996807988074007,0.11868729834554115,0.049796695256357104,0.09657410067629124
88.0,0.10386890494241907,0.09203074001355915,0.0870246515335078,0.11227071709851,0.09580888634720819,0.11653444415591285,0.04915958321040881,0.09665225553326096
89.0,0.10641202470480549,0.09914093903832621,0.08847525312677984,0.1143416856153423,0.09704412926573669,0.1178841774897168,0.04903828035151725,0.10133232220455879
90.0,0.10390385332043262,0.10197164069497044,0.09092283367657594,0.1126796758591615,0.0925903641971555,0.12458499358430353,0.048070496180124156,0.09829663292361102
91.0,0.1072900777086847,0.10645512562808035,0.09255168914925571,0.11695888269214483,0.09694555277099415,0.1305138579134162,0.05180934523984404,0.09831271575496903
92.0,0.11394671425453429,0.11411226910494077,0.0928714568577429,0.11843052567562773,0.1027520237394477,0.1311774335197704,0.05445419768774529,0.10158019099932525
93.0,0.11811682781044985,0.08450065063953294,0.08284463099543538,0.11770708165660193,0.09904929482506342,0.12613417752666867,0.05253897402613816,0.0974463530821379
94.0,0.12293784135543406,0.08894697323015754,0.08554448868747322,0.11478777179184241,0.10327964353888675,0.11818558887256003,0.05001321203101661,0.10226036016177575
95.0,0.12530435290025488,0.09267742253612421,0.08486857707089679,0.11646501762039296,0.10122969584081276,0.11857737879941621,0.057557715191908665,0.10410464444086576
96.0,0.1260487682339011,0.09801063808661303,0.08920148436568365,0.11599260127128219,0.10080578384311067,0.11317215124188973,0.058788870094254486,0.09674653954936496
97.0,0.13438723446454315,0.1014808470655324,0.08626055212913086,0.11373867421078776,0.10406466224725475,0.12291668258537425,0.058511471064599085,0.09696346695432823
98.0,0.14326974153073646,0.101914936225739,0.08525738992256149,0.11275058452414188,0.1045896330932019,0.12655042373729142,0.05976148196596043,0.10223463913831998
99.0,0.13427397270159158,0.08522087370037479,0.08133092647209161,0.12135961878791135,0.10374908087497547,0.12041909191755962,0.05799438061895801,0.09480796632849842
100.0,0.12478325995610384,0.09262303733311694,0.07435014253836991,0.12408837233256653,0.10530730921374798,0.11549022008863363,0.059327409862912184,0.09362397525652999
101.0,0.12898853458003479,0.09780744584230971,0.07700035793913007,0.12501456636350872,0.1083760916226928,0.12695957103694178,0.06470963434067545,0.09798551262497979
