Metric,Test Name,Value,Type
gini_days_mean,average,0.35507399835754655,Minimum
gini_days_median,average,0.3557147390850977,Minimum
gini_days_stdev,optimist,0.13243264330341376,Minimum
gini_berries_mean,average,0.4430190882264082,Minimum
gini_berries_median,average,0.446078431372549,Minimum
gini_berries_stdev,average,0.1437562620011032,Minimum
min_days_mean,average,15.968,Maximum
min_days_median,average,15.0,Maximum
min_days_stdev,optimist,5.450407869686996,Minimum
min_berries_mean,average,1.455,Maximum
min_berries_median,average,1.0,Maximum
min_berries_stdev,optimist,1.0366260625672081,Minimum
max_days_mean,majoritarian,149.024,Maximum
max_days_median,majoritarian,200.0,Maximum
max_days_stdev,veto,67.72321339564914,Minimum
max_berries_mean,majoritarian,26.367,Maximum
max_berries_median,majoritarian,34.0,Maximum
max_berries_stdev,average,12.665140377460519,Minimum
total_days_mean,veto,252.452,Maximum
total_days_median,veto,251.0,Maximum
total_days_stdev,majoritarian,108.56468096924502,Minimum
total_berries_mean,veto,40.598,Maximum
total_berries_median,veto,41.0,Maximum
total_berries_stdev,majoritarian,20.652479873490375,Minimum
episode_length_mean,veto,63.113,Maximum
episode_length_median,average,33.0,Maximum
episode_length_stdev,average,60.50700028681332,Minimum
most_common,average,12.0,
