Metric,Test Name,Value,Type
gini_days_mean,average,0.35507399835754655,Minimum
gini_days_median,average,0.3557147390850977,Minimum
gini_days_stdev,utilitarian,0.12160064314783513,Minimum
gini_berries_mean,average,0.4430190882264082,Minimum
gini_berries_median,average,0.446078431372549,Minimum
gini_berries_stdev,egalitarian,0.12585991238571748,Minimum
min_days_mean,average,15.968,Maximum
min_days_median,egalitarian,15.0,Maximum
min_days_stdev,optimist,5.450407869686996,Minimum
min_berries_mean,average,1.455,Maximum
min_berries_median,baseline,1.0,Maximum
min_berries_stdev,optimist,1.0366260625672081,Minimum
max_days_mean,egalitarian,169.144,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,egalitarian,58.86153195376369,Minimum
max_berries_mean,egalitarian,31.946,Maximum
max_berries_median,baseline,37.0,Maximum
max_berries_stdev,egalitarian,12.333093253080884,Minimum
total_days_mean,egalitarian,296.383,Maximum
total_days_median,egalitarian,292.0,Maximum
total_days_stdev,baseline,105.71063946119754,Minimum
total_berries_mean,egalitarian,50.279,Maximum
total_berries_median,egalitarian,50.0,Maximum
total_berries_stdev,baseline,20.60428014661906,Minimum
episode_length_mean,egalitarian,74.09575,Maximum
episode_length_median,egalitarian,33.0,Maximum
episode_length_stdev,average,60.50700028681332,Minimum
most_common,egalitarian,12.0,
