day,baseline,utilitarian,maximin,egalitarian,average,majoritarian,veto,optimist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5796875,0.4232673267326733,0.35284810126582267,0.3684615384615384,0.2387096774193549,0.5826923076923077,0.5111940298507462,0.2516025641025641
3.0,0.5264227642276423,0.3078300921187307,0.2994233937397035,0.36899038461538447,0.272203245089667,0.5014312977099237,0.3717137293086662,0.23762968874700707
4.0,0.49879518072289164,0.25353470437018,0.2544404973357016,0.34596733027054627,0.31459475929311387,0.4234563971992361,0.20679398872886656,0.23132337246531498
5.0,0.42407407407407427,0.1889016018306635,0.24933274021352303,0.27539503386004516,0.21001631986944092,0.34585376727596984,0.17823579666809075,0.210991466883381
6.0,0.35031512605042026,0.13526685842122066,0.22399650959860407,0.18017072488105224,0.11876750700280114,0.28611017803157557,0.1573891625615762,0.20191062176165797
7.0,0.2771879854997411,0.09592145015105746,0.16768454593733417,0.1605793450881614,0.10817757009345819,0.2312916453100975,0.07628629648497198,0.18623900672529747
8.0,0.23582447362935177,0.09161490683229823,0.12918760469011725,0.15503168811215673,0.12199363943550012,0.21214408973252818,0.06717451523545703,0.186064883084053
9.0,0.23301618353192266,0.08092802338326655,0.13871896365599157,0.16527707596429164,0.13817370408513563,0.208679977814753,0.07099890630696315,0.18628254141634826
10.0,0.2086088845231191,0.08163195469067497,0.12429269406659205,0.15356237069173306,0.1491402077598203,0.15046161571513195,0.07628760947225288,0.12382635203373549
11.0,0.20121128602985938,0.07514502652627875,0.12858531353966285,0.14479931317990324,0.13226583811795267,0.14681139310504188,0.07937642297543457,0.1267061096546367
12.0,0.1883952361153658,0.06253265782695627,0.12502633586844292,0.13409419507171805,0.10215990589603519,0.13779144575129232,0.07701492205890781,0.12324462401764547
13.0,0.18016121875602154,0.05750786141988562,0.11159257826259394,0.12808891067623573,0.09661389152613897,0.13172996641228063,0.05994109423706573,0.1190243352103535
14.0,0.17652269537088405,0.057367432010264396,0.1095627355683233,0.12538580494068263,0.10216839122927723,0.13037359575207597,0.05794108837294565,0.11750271015119584
15.0,0.17644161807584058,0.058069439715430216,0.11059673636959344,0.1293085522240982,0.10842864882533676,0.13108842569439227,0.06058572504162507,0.1200766428903548
16.0,0.1562889189310821,0.06354216163855719,0.10563957608138064,0.12147766780298386,0.11398488925645744,0.10947496555989056,0.06615138318955105,0.10063000691791935
17.0,0.15494135065506942,0.06053563860246247,0.1072466039393154,0.11995578996466372,0.10684313728494432,0.10850601534148874,0.06754577036737519,0.09858074672594963
18.0,0.15185529717928836,0.05581336338934695,0.10352198980748373,0.1147266550737831,0.09049540717725302,0.10701242088110807,0.06706895275178737,0.09715607273744742
19.0,0.14707568394976933,0.05381635047542477,0.10115782813944807,0.11047139400816675,0.08525501219868992,0.10640023308607027,0.06154084561152162,0.09640372253838936
