Metric,Test Name,Value,Type
gini_days_mean,utilitarian,0.312796160989402,Minimum
gini_days_median,optimist,0.24484193454042702,Minimum
gini_days_stdev,egalitarian,0.11091645593735469,Minimum
gini_berries_mean,optimist,0.3656124740608495,Minimum
gini_berries_median,optimist,0.31055421867950067,Minimum
gini_berries_stdev,egalitarian,0.1198053685101775,Minimum
min_days_mean,utilitarian,30.721,Maximum
min_days_median,utilitarian,21.0,Maximum
min_days_stdev,baseline,13.30474679530908,Minimum
min_berries_mean,utilitarian,4.004,Maximum
min_berries_median,utilitarian,2.0,Maximum
min_berries_stdev,baseline,2.260414447280293,Minimum
max_days_mean,egalitarian,199.642,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,egalitarian,8.005618397470988,Minimum
max_berries_mean,baseline,48.699,Maximum
max_berries_median,baseline,49.0,Maximum
max_berries_stdev,egalitarian,4.636927873075028,Minimum
total_days_mean,optimist,508.984,Maximum
total_days_median,optimist,555.0,Maximum
total_days_stdev,egalitarian,110.97458446598212,Minimum
total_berries_mean,egalitarian,104.563,Maximum
total_berries_median,optimist,112.0,Maximum
total_berries_stdev,egalitarian,21.831138990662616,Minimum
episode_length_mean,optimist,127.246,Maximum
episode_length_median,maximin,200.0,Maximum
episode_length_stdev,utilitarian,81.95542864308024,Minimum
most_common,egalitarian,8.0,
