agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
2,baseline,16,50,0,7,0,0.0,0.0,483.0,1,-1.2,18,7
3,baseline,16,200,0,41,2,5.400000000000018,54.00000000000018,6822.0,0,1.0,29,41
0,majoritarian,17,200,1,54,3,13.200000000000042,138.0000000000004,16272.0,0,1.0,25,55
1,majoritarian,17,92,1,14,5,0.0,5.999999999999962,1500.0,3,-1.1,22,15
2,baseline,17,9,0,0,1,0.0,0.0,42.0,1,-1.2,6,0
3,baseline,17,86,2,13,11,0.0,11.99999999999998,1419.0,2,-1.2,23,15
0,majoritarian,18,200,1,41,4,5.400000000000009,60.000000000000085,7236.0,0,1.0,32,42
1,majoritarian,18,110,0,17,9,0.0,0.0,2439.0,2,-1.1,28,17
2,baseline,18,200,0,48,5,9.600000000000032,96.00000000000033,13656.0,0,1.0,26,48
3,baseline,18,9,0,0,1,0.0,0.0,42.0,1,-1.2,7,0
0,majoritarian,19,200,0,52,0,12.00000000000003,120.0000000000003,11328.0,0,1.0,11,52
1,majoritarian,19,9,1,0,0,0.0,5.000000000000001,53.0,4,-1.1,5,1
2,baseline,19,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,3,1
3,baseline,19,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,6,1
0,majoritarian,20,50,1,7,6,0.0,5.999999999999995,483.0,3,-1.1,23,8
1,majoritarian,20,63,1,9,4,0.0,5.000000000000001,476.0,0,-0.1999999999999999,23,10
2,baseline,20,200,13,36,0,2.3999999999999955,101.99999999999996,7422.0,0,2.0,47,49
3,baseline,20,146,1,23,8,0.0,5.999999999999977,2115.0,0,-1.0,33,24
0,majoritarian,21,9,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,6,1
1,majoritarian,21,9,0,0,0,0.0,0.0,36.0,2,-1.1,5,0
2,baseline,21,200,7,50,0,10.800000000000034,150.00000000000034,15132.0,0,1.0,16,57
3,baseline,21,194,0,31,12,0.0,0.0,4491.0,4,-1.2,25,31
0,majoritarian,22,21,2,2,0,0.0,11.0,143.0,4,-1.1,14,4
1,majoritarian,22,200,1,33,0,0.6000000000000019,12.00000000000002,1986.0,0,1.8,27,34
2,baseline,22,44,3,6,0,0.0,17.99999999999999,516.0,0,0.0,15,9
3,baseline,22,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
0,majoritarian,23,15,0,1,0,0.0,0.0,81.0,1,-1.1,8,1
1,majoritarian,23,15,2,1,1,0.0,11.0,92.0,0,-0.1999999999999999,7,3
2,baseline,23,200,1,48,0,9.600000000000032,102.00000000000033,10296.0,0,1.0,14,49
3,baseline,23,200,2,34,6,1.1999999999999875,23.99999999999988,4602.0,0,1.0,17,36
0,majoritarian,24,21,0,2,1,0.0,0.0,132.0,1,-1.1,12,2
1,majoritarian,24,27,2,3,2,0.0,11.000000000000002,200.0,0,-1.0,13,5
2,baseline,24,15,0,1,0,0.0,0.0,87.0,1,-1.2,12,1
3,baseline,24,200,0,42,1,6.000000000000035,60.00000000000034,9132.0,1,2.0,18,42
0,majoritarian,25,200,0,43,2,6.600000000000046,66.00000000000045,10428.0,1,1.8,26,43
1,majoritarian,25,158,0,25,3,0.0,0.0,2457.0,3,-1.1,28,25
2,baseline,25,200,0,34,4,1.1999999999999886,11.999999999999886,3222.0,0,1.0,27,34
3,baseline,25,45,1,6,3,0.0,5.000000000000005,347.0,0,-1.0,24,7
0,majoritarian,26,39,2,5,1,0.0,11.0,320.0,0,-0.1999999999999999,17,7
1,majoritarian,26,21,0,2,0,0.0,0.0,132.0,0,-1.0,7,2
2,baseline,26,200,16,36,1,2.399999999999988,119.99999999999989,11124.0,0,1.0,27,52
3,baseline,26,15,0,1,0,0.0,0.0,87.0,0,-1.0,9,1
0,majoritarian,27,200,1,49,2,10.200000000000042,108.0000000000004,15738.0,0,1.8,20,50
1,majoritarian,27,200,0,39,4,4.2000000000000055,42.00000000000005,5340.0,0,1.0,21,39
2,baseline,27,9,0,0,1,0.0,0.0,42.0,0,-1.0,6,0
3,baseline,27,62,2,9,8,0.0,11.999999999999991,951.0,2,-1.2,22,11
0,majoritarian,28,15,0,1,0,0.0,0.0,69.0,1,-1.1,10,1
1,majoritarian,28,45,1,6,1,0.0,5.000000000000002,335.0,0,-0.1999999999999999,16,7
2,baseline,28,200,19,38,0,3.599999999999986,149.99999999999986,16800.0,1,2.0,23,57
3,baseline,28,15,0,1,2,0.0,0.0,99.0,2,-1.2,8,1
0,majoritarian,29,200,0,46,0,8.400000000000027,84.00000000000027,10188.0,0,1.0,19,46
1,majoritarian,29,200,0,45,2,7.80000000000002,78.0000000000002,8262.0,0,1.0,26,45
2,baseline,29,63,0,9,0,0.0,0.0,393.0,2,-1.2,20,9
3,baseline,29,21,1,2,3,0.0,5.000000000000001,179.0,0,-1.0,10,3
0,majoritarian,30,200,0,39,20,4.200000000000018,42.00000000000018,6462.0,0,1.0,23,39
1,majoritarian,30,200,0,39,21,4.2,42.0,5364.0,0,1.0,33,39
2,baseline,30,57,0,8,2,0.0,0.0,396.0,2,-1.2,25,8
3,baseline,30,200,0,41,22,5.400000000000025,54.00000000000025,8232.0,2,0.8,30,41
0,majoritarian,31,21,0,2,0,0.0,0.0,144.0,1,-1.1,8,2
1,majoritarian,31,15,1,1,2,0.0,5.000000000000001,110.0,0,-1.0,8,2
2,baseline,31,9,0,0,1,0.0,0.0,42.0,1,-1.2,8,0
3,baseline,31,200,1,41,1,5.400000000000042,60.00000000000041,9684.0,0,2.0,19,42
0,majoritarian,32,15,0,1,0,0.0,0.0,69.0,1,-1.1,8,1
1,majoritarian,32,68,0,10,5,0.0,0.0,918.0,3,-1.1,19,10
2,baseline,32,200,22,39,0,4.200000000000007,174.00000000000006,18912.0,1,2.0,25,61
3,baseline,32,68,2,10,5,0.0,11.999999999999988,876.0,0,0.0,26,12
0,majoritarian,33,200,0,47,1,9.000000000000037,90.00000000000037,10692.0,1,1.8,26,47
1,majoritarian,33,75,1,11,2,0.0,5.000000000000005,566.0,0,-0.1999999999999999,26,12
2,baseline,33,33,0,4,1,0.0,0.0,222.0,0,-1.0,17,4
3,baseline,33,74,2,11,6,0.0,11.999999999999988,867.0,0,-1.0,31,13
0,majoritarian,34,200,1,40,1,4.799999999999991,53.9999999999999,5928.0,0,1.8,21,41
1,majoritarian,34,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,4,1
2,baseline,34,200,0,44,0,7.200000000000033,72.00000000000033,8022.0,1,2.0,18,44
3,baseline,34,15,1,1,1,0.0,5.000000000000001,122.0,0,-1.0,11,2
0,majoritarian,35,44,0,6,2,0.0,0.0,408.0,1,-1.1,19,6
1,majoritarian,35,44,1,6,2,0.0,5.9999999999999885,432.0,0,-0.1999999999999999,16,7
2,baseline,35,45,0,6,2,0.0,0.0,324.0,1,-1.2,23,6
3,baseline,35,200,0,41,1,5.400000000000031,54.00000000000031,8094.0,0,1.0,26,41
0,majoritarian,36,200,0,47,1,9.00000000000003,90.0000000000003,10602.0,0,1.0,23,47
1,majoritarian,36,200,0,42,2,6.00000000000002,60.00000000000019,7074.0,0,1.0,21,42
2,baseline,36,33,0,4,0,0.0,0.0,186.0,0,-1.0,15,4
3,baseline,36,27,1,3,4,0.0,5.000000000000001,248.0,0,-1.0,9,4
0,majoritarian,37,15,1,1,0,0.0,5.000000000000001,104.0,0,-1.0,7,2
1,majoritarian,37,9,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
2,baseline,37,200,16,37,1,2.9999999999999862,125.99999999999984,12876.0,0,1.0,16,53
3,baseline,37,9,2,0,0,0.0,11.0,83.0,0,0.0,5,2
0,majoritarian,38,200,0,45,8,7.800000000000031,78.0000000000003,9660.0,0,1.0,32,45
1,majoritarian,38,200,0,39,7,4.199999999999994,41.999999999999936,5412.0,1,1.8,30,39
2,baseline,38,15,0,1,1,0.0,0.0,87.0,1,-1.2,10,1
3,baseline,38,122,1,19,13,0.0,5.999999999999926,2169.0,2,-1.2,35,20
0,majoritarian,39,200,0,44,5,7.200000000000026,72.00000000000026,9966.0,0,1.0,21,44
1,majoritarian,39,33,0,4,1,0.0,0.0,174.0,3,-1.1,19,4
2,baseline,39,200,1,49,2,10.20000000000003,108.00000000000028,12294.0,0,2.0,24,50
3,baseline,39,20,0,2,1,0.0,0.0,186.0,0,-1.0,12,2
0,majoritarian,40,158,4,25,5,0.0,23.99999999999992,5253.0,0,-1.0,34,29
1,majoritarian,40,164,1,26,8,0.0,5.999999999999919,3498.0,3,-1.1,42,27
2,baseline,40,200,16,38,2,3.6000000000000254,132.00000000000023,9810.0,0,1.0,39,54
3,baseline,40,15,1,1,1,0.0,5.000000000000001,98.0,0,-1.0,10,2
0,majoritarian,41,15,0,1,0,0.0,0.0,87.0,1,-1.1,10,1
1,majoritarian,41,27,1,3,0,0.0,5.000000000000001,122.0,0,-1.0,15,4
2,baseline,41,200,15,36,0,2.4000000000000066,114.00000000000006,10596.0,0,1.0,26,51
3,baseline,41,116,1,18,2,0.0,5.99999999999999,1890.0,0,-1.0,24,19
0,majoritarian,42,15,1,1,0,0.0,5.000000000000001,80.0,0,-1.0,9,2
1,majoritarian,42,15,0,1,0,0.0,0.0,69.0,1,-1.1,8,1
2,baseline,42,200,17,36,0,2.3999999999999857,125.99999999999984,13662.0,0,2.0,13,53
3,baseline,42,9,2,0,1,0.0,11.0,71.0,0,0.0,4,2
0,majoritarian,43,200,1,42,6,6.000000000000048,66.00000000000047,10416.0,0,1.0,30,43
1,majoritarian,43,164,0,26,2,0.0,0.0,3156.0,3,-1.1,28,26
2,baseline,43,200,0,45,4,7.800000000000006,78.00000000000006,6960.0,0,1.0,27,45
3,baseline,43,33,0,4,3,0.0,0.0,216.0,3,-1.2,18,4
0,majoritarian,44,200,0,42,5,6.000000000000034,60.000000000000334,9120.0,0,1.0,22,42
1,majoritarian,44,21,0,2,0,0.0,0.0,126.0,3,-1.1,9,2
2,baseline,44,200,0,45,1,7.800000000000018,78.00000000000017,8100.0,1,2.0,16,45
3,baseline,44,21,1,2,1,0.0,5.000000000000001,95.0,0,-1.0,11,3
0,majoritarian,45,200,1,43,3,6.600000000000046,72.00000000000045,10164.0,0,1.0,28,44
1,majoritarian,45,80,0,12,8,0.0,0.0,1692.0,3,-1.1,33,12
2,baseline,45,200,0,50,7,10.800000000000027,108.00000000000028,11724.0,1,2.0,33,50
3,baseline,45,39,1,5,5,0.0,5.000000000000001,356.0,4,-1.2,23,6
0,majoritarian,46,200,0,43,1,6.6000000000000085,66.00000000000009,6774.0,0,1.0,28,43
1,majoritarian,46,200,0,41,1,5.399999999999999,53.99999999999999,4014.0,0,1.0,23,41
2,baseline,46,9,0,0,1,0.0,0.0,42.0,3,-1.2,6,0
3,baseline,46,50,1,7,2,0.0,5.9999999999999885,603.0,0,-1.0,20,8
0,majoritarian,47,200,0,42,3,6.000000000000004,60.00000000000004,7716.0,0,1.0,31,42
1,majoritarian,47,44,0,6,1,0.0,0.0,402.0,0,-1.0,18,6
2,baseline,47,200,0,46,1,8.400000000000013,84.00000000000013,8934.0,0,1.0,21,46
3,baseline,47,15,2,1,1,0.0,11.0,98.0,0,0.0,10,3
0,majoritarian,48,200,0,47,2,9.000000000000021,90.00000000000021,7776.0,1,1.8,25,47
1,majoritarian,48,45,0,6,1,0.0,0.0,282.0,4,-1.1,19,6
2,baseline,48,39,0,5,2,0.0,0.0,255.0,0,-1.0,16,5
3,baseline,48,50,2,7,2,0.0,11.99999999999998,807.0,0,0.0,22,9
0,majoritarian,49,200,1,42,2,6.000000000000012,66.00000000000011,6732.0,0,1.0,24,43
