      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   4.5135    0.0  3.1453  5.8817   True
     average  egalitarian   3.2733    0.0   1.905  4.6415   True
     average majoritarian   1.8397 0.0012  0.4715   3.208   True
     average      maximin   2.6432    0.0   1.275  4.0115   True
     average     optimist   3.5033    0.0   2.135  4.8715   True
     average  utilitarian   -0.601 0.8871 -1.9692  0.7672  False
     average         veto   3.7902    0.0   2.422  5.1585   True
    baseline  egalitarian  -1.2402 0.1087 -2.6085   0.128  False
    baseline majoritarian  -2.6738    0.0  -4.042 -1.3055   True
    baseline      maximin  -1.8703 0.0009 -3.2385  -0.502   True
    baseline     optimist  -1.0102 0.3288 -2.3785   0.358  False
    baseline  utilitarian  -5.1145    0.0 -6.4827 -3.7463   True
    baseline         veto  -0.7233 0.7492 -2.0915   0.645  False
 egalitarian majoritarian  -1.4335 0.0323 -2.8017 -0.0653   True
 egalitarian      maximin    -0.63 0.8596 -1.9982  0.7382  False
 egalitarian     optimist     0.23 0.9996 -1.1382  1.5982  False
 egalitarian  utilitarian  -3.8742    0.0 -5.2425  -2.506   True
 egalitarian         veto    0.517 0.9467 -0.8512  1.8852  False
majoritarian      maximin   0.8035 0.6337 -0.5647  2.1717  False
majoritarian     optimist   1.6635 0.0056  0.2953  3.0317   True
majoritarian  utilitarian  -2.4407    0.0  -3.809 -1.0725   True
majoritarian         veto   1.9505 0.0004  0.5823  3.3187   True
     maximin     optimist     0.86 0.5472 -0.5082  2.2282  False
     maximin  utilitarian  -3.2442    0.0 -4.6125  -1.876   True
     maximin         veto    1.147 0.1783 -0.2212  2.5152  False
    optimist  utilitarian  -4.1043    0.0 -5.4725  -2.736   True
    optimist         veto    0.287 0.9984 -1.0812  1.6552  False
 utilitarian         veto   4.3912    0.0   3.023  5.7595   True
----------------------------------------------------------------
