agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,veto,1,200,0,44,7,7.300000000000022,73.00000000000021,9318.0,0,1.0,21,44
1,veto,1,200,1,45,0,7.900000000000025,85.00000000000024,9042.0,0,1.0,19,46
2,baseline,1,200,0,44,3,7.30000000000003,73.0000000000003,8712.0,1,2.0,25,44
3,baseline,1,22,1,2,2,0.0,5.000000000000003,137.0,0,-1.0,15,3
0,veto,2,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
1,veto,2,200,0,41,3,5.399999999999992,53.99999999999992,5784.0,0,1.0,31,41
2,baseline,2,200,0,42,0,6.000000000000017,60.00000000000016,7698.0,0,1.0,23,42
3,baseline,2,80,0,12,4,0.0,0.0,870.0,4,-1.2,20,12
0,veto,3,62,0,9,0,0.0,0.0,675.0,1,-1.1,15,9
1,veto,3,200,1,43,2,6.600000000000012,72.00000000000011,5538.0,1,1.8,33,44
2,baseline,3,15,1,1,0,0.0,5.000000000000002,86.0,0,0.0,10,2
3,baseline,3,33,0,4,1,0.0,0.0,234.0,0,-1.0,17,4
0,veto,4,200,0,47,1,9.000000000000044,90.00000000000044,12912.0,0,1.0,21,47
1,veto,4,200,3,40,2,4.8000000000000105,66.0000000000001,6756.0,0,1.8,26,43
2,baseline,4,21,0,2,1,0.0,0.0,150.0,0,-1.0,6,2
3,baseline,4,57,3,8,4,0.0,17.000000000000004,527.0,0,0.0,20,11
0,veto,5,200,1,33,0,0.6000000000000001,12.000000000000002,1758.0,0,1.8,18,34
1,veto,5,45,0,6,0,0.0,0.0,426.0,0,-1.0,22,6
2,baseline,5,15,0,1,0,0.0,0.0,87.0,0,-1.0,9,1
3,baseline,5,45,2,6,0,0.0,11.000000000000004,311.0,0,0.0,23,8
0,veto,6,33,0,4,0,0.0,0.0,222.0,4,-1.1,10,4
1,veto,6,87,0,13,0,0.0,0.0,555.0,1,-1.1,26,13
2,baseline,6,200,12,36,0,2.3999999999999897,95.99999999999989,8754.0,0,1.0,30,48
3,baseline,6,9,2,0,0,0.0,11.0,71.0,2,-1.2,6,2
0,veto,7,200,0,43,0,6.600000000000008,66.00000000000007,7236.0,0,1.0,24,43
1,veto,7,200,2,39,0,4.199999999999991,53.99999999999992,5226.0,0,1.8,29,41
2,baseline,7,38,0,5,0,0.0,0.0,309.0,0,-1.0,12,5
3,baseline,7,21,0,2,1,0.0,0.0,102.0,3,-1.2,11,2
0,veto,8,200,0,48,0,9.600000000000014,96.00000000000011,7608.0,1,1.8,17,48
1,veto,8,200,3,46,0,8.40000000000002,102.0000000000002,7908.0,0,1.8,25,49
2,baseline,8,15,0,1,0,0.0,0.0,81.0,0,-1.0,7,1
3,baseline,8,15,2,1,0,0.0,11.0,116.0,2,-1.2,9,3
0,veto,9,200,0,49,0,10.200000000000042,102.0000000000004,11520.0,0,1.0,19,49
1,veto,9,21,0,2,1,0.0,0.0,138.0,1,-1.1,14,2
2,baseline,9,45,1,6,1,0.0,5.000000000000007,287.0,0,0.0,18,7
3,baseline,9,98,3,15,3,0.0,17.99999999999998,1653.0,0,-1.0,25,18
0,veto,10,92,11,14,2,0.0,65.99999999999994,3480.0,0,-1.0,24,25
1,veto,10,9,0,0,1,0.0,0.0,42.0,1,-1.1,5,0
2,baseline,10,200,16,37,0,3.0000000000000058,126.00000000000004,12480.0,1,2.0,24,53
3,baseline,10,39,1,5,2,0.0,5.000000000000001,374.0,0,-1.0,20,6
0,veto,11,200,1,38,4,3.5999999999999885,41.999999999999886,5550.0,0,1.8,26,39
1,veto,11,200,0,39,0,4.199999999999997,41.999999999999964,4698.0,0,1.0,27,39
2,baseline,11,200,0,39,2,4.20000000000001,42.0000000000001,6192.0,1,2.0,22,39
