agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,optimist,1,200,0,43,0,6.700000000000014,67.00000000000014,6246.0,0,1.0,28,43
1,optimist,1,87,0,13,0,0.0,0.0,1341.0,3,-1.1,26,13
2,baseline,1,28,0,3,2,0.0,0.0,165.0,0,-1.0,10,3
3,baseline,1,34,1,4,0,0.0,5.000000000000005,209.0,0,0.0,14,5
0,optimist,2,200,0,44,0,7.200000000000028,72.00000000000027,9120.0,1,1.8,15,44
1,optimist,2,200,1,46,0,8.40000000000003,90.0000000000003,9348.0,0,1.8,18,47
2,baseline,2,21,1,2,1,0.0,5.000000000000003,119.0,0,0.0,11,3
3,baseline,2,21,1,2,1,0.0,5.000000000000002,179.0,0,-1.0,12,3
0,optimist,3,9,0,0,1,0.0,0.0,42.0,0,-1.0,6,0
1,optimist,3,21,0,2,0,0.0,0.0,108.0,1,-1.1,13,2
2,baseline,3,200,15,36,0,2.399999999999987,113.99999999999989,11226.0,0,1.0,19,51
3,baseline,3,21,1,2,0,0.0,5.000000000000002,149.0,0,-1.0,9,3
0,optimist,4,38,1,5,1,0.0,5.99999999999999,363.0,0,-0.1999999999999999,15,6
1,optimist,4,200,0,41,0,5.400000000000001,54.00000000000001,4926.0,0,1.0,29,41
2,baseline,4,27,0,3,0,0.0,0.0,159.0,1,-1.2,15,3
3,baseline,4,195,5,31,1,0.0,29.000000000000057,7736.0,0,-1.0,35,36
0,optimist,5,200,0,45,3,7.800000000000042,78.00000000000041,12438.0,0,1.0,14,45
1,optimist,5,200,1,46,0,8.40000000000002,90.00000000000018,10146.0,0,1.0,18,47
2,baseline,5,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,5,1
3,baseline,5,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
0,optimist,6,200,1,47,1,9.000000000000018,96.00000000000016,9924.0,0,1.8,19,48
1,optimist,6,39,0,5,0,0.0,0.0,195.0,3,-1.1,18,5
2,baseline,6,86,1,13,1,0.0,5.999999999999989,831.0,0,0.0,16,14
3,baseline,6,21,0,2,2,0.0,0.0,144.0,3,-1.2,12,2
0,optimist,7,200,0,43,4,6.600000000000022,66.00000000000021,8376.0,0,1.0,20,43
1,optimist,7,200,0,44,0,7.200000000000001,72.0,6240.0,0,1.0,24,44
2,baseline,7,63,0,9,3,0.0,0.0,357.0,0,-1.0,23,9
3,baseline,7,21,0,2,2,0.0,0.0,132.0,0,-1.0,10,2
0,optimist,8,50,0,7,8,0.0,0.0,771.0,2,-1.1,21,7
1,optimist,8,200,1,44,1,7.200000000000029,78.00000000000028,9402.0,0,1.0,27,45
2,baseline,8,200,3,36,7,2.399999999999987,41.999999999999865,4968.0,0,2.0,40,39
3,baseline,8,200,0,34,9,1.1999999999999913,11.999999999999911,2418.0,3,1.5,32,34
0,optimist,9,15,0,1,1,0.0,0.0,63.0,3,-1.1,9,1
1,optimist,9,33,0,4,0,0.0,0.0,240.0,1,-1.1,16,4
2,baseline,9,200,10,45,0,7.800000000000042,138.0000000000004,16638.0,0,1.0,24,55
3,baseline,9,164,1,26,9,0.0,5.99999999999994,3624.0,0,-1.0,33,27
0,optimist,10,110,2,17,10,0.0,11.999999999999972,1251.0,0,-0.1999999999999999,26,19
1,optimist,10,200,2,41,0,5.399999999999998,65.99999999999997,5412.0,0,1.0,32,43
2,baseline,10,75,0,11,8,0.0,0.0,561.0,3,-1.2,27,11
3,baseline,10,200,6,32,4,0.0,35.99999999999991,7674.0,2,-0.1999999999999999,49,38
0,optimist,11,200,1,48,0,9.60000000000003,102.00000000000028,10452.0,0,1.8,11,49
1,optimist,11,33,0,4,0,0.0,0.0,222.0,3,-1.1,14,4
2,baseline,11,15,0,1,1,0.0,0.0,87.0,0,-1.0,9,1
3,baseline,11,15,0,1,0,0.0,0.0,63.0,0,-1.0,8,1
0,optimist,12,200,1,45,0,7.800000000000034,84.00000000000034,10896.0,0,1.0,17,46
1,optimist,12,21,0,2,0,0.0,0.0,120.0,3,-1.1,13,2
2,baseline,12,200,1,48,1,9.600000000000016,102.00000000000014,7938.0,0,1.0,19,49
3,baseline,12,15,0,1,1,0.0,0.0,75.0,0,-1.0,10,1
0,optimist,13,200,1,46,9,8.400000000000025,90.00000000000024,9912.0,0,1.0,35,47
1,optimist,13,200,2,44,1,7.200000000000025,84.00000000000024,10338.0,0,1.0,35,46
2,baseline,13,200,1,48,6,9.600000000000042,102.0000000000004,12222.0,0,2.0,33,49
3,baseline,13,80,0,12,5,0.0,0.0,756.0,3,-1.2,30,12
0,optimist,14,20,0,2,2,0.0,0.0,192.0,0,-1.0,9,2
1,optimist,14,200,1,45,4,7.800000000000006,84.00000000000006,8124.0,0,1.0,39,46
2,baseline,14,200,0,45,0,7.800000000000033,78.00000000000033,9432.0,0,1.0,31,45
3,baseline,14,110,0,17,4,0.0,0.0,1347.0,4,-1.2,38,17
0,optimist,15,200,0,37,33,2.999999999999986,29.999999999999854,5412.0,4,1.9,36,37
