      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   19.138    0.0 15.8887 22.3873   True
     average  egalitarian   18.895    0.0 15.6457 22.1443   True
     average majoritarian   18.252    0.0 15.0027 21.5013   True
     average      maximin   12.509    0.0  9.2597 15.7583   True
     average     optimist   18.413    0.0 15.1637 21.6623   True
     average  utilitarian    15.73    0.0 12.4807 18.9793   True
     average         veto   18.472    0.0 15.2227 21.7213   True
    baseline  egalitarian   -0.243    1.0 -3.4923  3.0063  False
    baseline majoritarian   -0.886 0.9917 -4.1353  2.3633  False
    baseline      maximin   -6.629    0.0 -9.8783 -3.3797   True
    baseline     optimist   -0.725 0.9976 -3.9743  2.5243  False
    baseline  utilitarian   -3.408  0.032 -6.6573 -0.1587   True
    baseline         veto   -0.666 0.9986 -3.9153  2.5833  False
 egalitarian majoritarian   -0.643 0.9989 -3.8923  2.6063  False
 egalitarian      maximin   -6.386    0.0 -9.6353 -3.1367   True
 egalitarian     optimist   -0.482 0.9998 -3.7313  2.7673  False
 egalitarian  utilitarian   -3.165 0.0627 -6.4143  0.0843  False
 egalitarian         veto   -0.423 0.9999 -3.6723  2.8263  False
majoritarian      maximin   -5.743    0.0 -8.9923 -2.4937   True
majoritarian     optimist    0.161    1.0 -3.0883  3.4103  False
majoritarian  utilitarian   -2.522  0.265 -5.7713  0.7273  False
majoritarian         veto     0.22    1.0 -3.0293  3.4693  False
     maximin     optimist    5.904    0.0  2.6547  9.1533   True
     maximin  utilitarian    3.221  0.054 -0.0283  6.4703  False
     maximin         veto    5.963    0.0  2.7137  9.2123   True
    optimist  utilitarian   -2.683  0.194 -5.9323  0.5663  False
    optimist         veto    0.059    1.0 -3.1903  3.3083  False
 utilitarian         veto    2.742 0.1716 -0.5073  5.9913  False
----------------------------------------------------------------
