day,baseline,maximin
1,0.0,0.0
2,0.137,0.187
3,0.5605,0.7344999999999999
4,0.9805,1.2945
5,1.5365,2.0214999999999996
6,2.2325,2.8565
7,3.1149999999999998,3.681
8,4.077999999999999,4.3925
9,4.7805,5.0965
10,5.443798904958668,5.819661421273779
11,5.953754130656517,6.4605230851412125
12,6.673327317835566,7.228693221036925
13,7.483930241880069,7.969271903966879
14,8.373920931641065,8.711384032093374
15,9.092569642593524,9.419468185042541
16,9.890237077424873,10.238420601137793
17,10.338936573972799,10.869353572066938
18,11.011928597261765,11.586485391724546
19,11.816214814999816,12.261668749846296
20,12.583258357337133,13.004788233236452
21,13.28002476995281,13.697234173022826
22,14.190574660392254,14.568917146133575
23,14.673228534623838,15.148440209432962
24,15.335222631262472,15.861752823726672
25,16.103756840018235,16.527410356536024
26,16.823042540757527,17.224515138000513
27,17.566224848367447,17.914799780972658
28,18.454139319708432,18.882973399002644
29,18.903999163445647,19.505837640971485
30,19.57817848871047,20.160244749943544
31,20.317588651186085,20.831102207395404
32,21.019426418864356,21.43688358794241
33,21.81949763465969,22.126146683396424
34,22.724316931249135,23.110215086144567
35,23.20238752403278,23.683171388229997
36,23.86116449699222,24.37642900552421
37,24.556770924875757,25.009896424732442
38,25.267741787987926,25.6564084684673
39,26.110627735665652,26.440608398478627
40,27.012080747120773,27.39586740913189
41,27.486364223953398,28.020187614719195
42,28.148901143140527,28.644710266668504
43,28.830572190711667,29.24558680518584
44,29.516836357803303,29.927395500988847
45,30.376024360271273,30.703029610452305
46,31.29746085924147,31.669186992142922
47,31.76751181410535,32.258683520803736
48,32.39922822385866,32.91691360257667
49,33.031923233809515,33.56236712030625
50,33.69902449187747,34.18718385677447
