day,baseline,egalitarian,maximin,utilitarian,all_principles
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.1,0.051,0.099,0.067,0.09
3.0,0.424,0.227,0.336,0.308,0.422
4.0,0.595,0.429,0.405,0.612,0.492
5.0,0.78,0.597,0.6,0.858,0.636
6.0,0.984,0.813,0.803,1.044,0.841
7.0,1.162,0.966,1.013,1.24,1.02
8.0,1.347,1.122,1.211,1.479,1.213
9.0,1.564,1.309,1.382,1.74,1.398
10.0,1.813953488372093,1.5761802575107295,1.585139318885449,1.9635995955510617,1.5978142076502733
11.0,1.9788359788359788,1.7553648068669527,1.7760577915376676,2.19211324570273,1.7060109289617487
12.0,2.149206349206349,1.9484978540772533,2.0,2.386248736097068,1.8852459016393444
13.0,2.3322751322751323,2.124463519313305,2.2321981424148607,2.6066734074823055,2.0907103825136613
14.0,2.5238095238095237,2.2843347639484977,2.486068111455108,2.8240647118301316,2.3191256830601095
15.0,2.7386243386243385,2.444206008583691,2.6615067079463364,3.0950455005055613,2.512568306010929
16.0,2.9865771812080535,2.7677496991576414,2.9003181336161186,3.3428863868986696,2.767857142857143
17.0,3.151006711409396,2.9614921780986765,3.1134676564156947,3.5435005117707266,2.888095238095238
18.0,3.2997762863534676,3.138387484957882,3.323435843054083,3.7553735926305016,3.0464285714285713
19.0,3.4854586129753913,3.3297232250300843,3.545068928950159,3.9795291709314227,3.216666666666667
20.0,3.6588366890380315,3.5186522262334536,3.7804878048780486,4.20777891504606,3.45
21.0,3.8322147651006713,3.7089371980676327,3.972428419936373,4.45957011258956,3.6164874551971327
22.0,4.141997593261131,3.9973992197659296,4.237306843267108,4.684917355371901,3.865979381443299
23.0,4.30806257521059,4.174252275682705,4.427152317880795,4.912190082644628,3.9961340206185567
24.0,4.445246690734056,4.371911573472041,4.661147902869757,5.103305785123967,4.144329896907217
25.0,4.637785800240674,4.560468140442133,4.86644591611479,5.318181818181818,4.371134020618556
26.0,4.799037304452467,4.750325097529259,5.0927152317880795,5.536157024793388,4.60180412371134
27.0,4.9891696750902526,4.943569553805775,5.288079470198675,5.760330578512397,4.775749674054759
28.0,5.232233502538071,5.243016759776537,5.5190582959641254,5.957512953367876,4.98639455782313
29.0,5.3921319796954315,5.421787709497207,5.716367713004484,6.170984455958549,5.118367346938776
30.0,5.538071065989848,5.615921787709497,5.930493273542601,6.382383419689119,5.27891156462585
31.0,5.727157360406092,5.800279329608938,6.132286995515695,6.587564766839378,5.482993197278912
32.0,5.913705583756345,6.0027932960893855,6.356502242152466,6.82279792746114,5.696598639455782
33.0,6.101651842439645,6.1988795518207285,6.596629213483146,7.008290155440415,5.891334250343879
34.0,6.390604026845637,6.493372606774669,6.843498273878021,7.241415192507804,6.111432706222866
35.0,6.551677852348993,6.687776141384389,7.028768699654775,7.430801248699272,6.262357414448669
36.0,6.724832214765101,6.863033873343151,7.2025316455696204,7.667013527575442,6.4638783269961975
37.0,6.8765100671140935,7.029455081001473,7.384349827387802,7.86576482830385,6.679340937896071
38.0,7.05503355704698,7.235640648011782,7.628308400460299,8.067637877211238,6.897338403041825
39.0,7.306930693069307,7.4708520179372195,7.84375,8.2875,7.096569250317662
40.0,7.524193548387097,7.705521472392638,8.038238702201623,8.493222106360793,7.3120936280884266
41.0,7.719758064516129,7.874233128834356,8.215527230590961,8.706986444212722,7.491547464239272
42.0,7.925403225806452,8.069018404907975,8.398609501738123,8.915537017726798,7.708712613784135
43.0,8.127016129032258,8.266871165644172,8.607184241019699,9.103232533889468,7.927178153446034
44.0,8.379032258064516,8.480061349693251,8.837775202780996,9.32221063607925,8.120936280884266
45.0,8.62020202020202,8.669242658423492,9.064027939464493,9.53340292275574,8.296875
46.0,8.825819672131148,8.872641509433961,9.254098360655737,9.744502617801047,8.533685601056803
47.0,9.006147540983607,9.044025157232705,9.433255269320844,9.963350785340314,8.746367239101717
48.0,9.204918032786885,9.2562893081761,9.614754098360656,10.151832460732985,8.92338177014531
49.0,9.420081967213115,9.426100628930818,9.813817330210773,10.363350785340314,9.132100396301189
