,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0.05,11.500000000000005,0,2.0,0.2565789473684211,11.0,4.065789473684211,0.23529411764705888,0.7894736842105263,4.1,1.2894736842105259,0.9499999999999995,1.0936632973161375,2,0
0,2,50,0.05,14.775000000000006,0,2.0,0.4277456647398844,16.0,5.335260115606936,0.23780487804878048,2.3179190751445087,6.500000000000002,1.788439306358381,1.299999999999999,2.4184702244925407,2,0
0,3,50,0.05,16.725000000000005,0,2.0,0.255,15.0,6.255,0.13636363636363646,0.885,5.299999999999999,2.0029999999999997,1.6999999999999988,1.5776793969849243,0,0
0,4,50,0.05,17.875000000000004,0,2.0,0.325,15.0,6.075,0.10106382978723394,1.29,5.200000000000002,1.8949999999999994,1.6999999999999993,1.352537688442211,0,0
0,5,50,0.05,13.475000000000009,0,2.0,0.24873096446700507,11.0,5.081218274111675,0.11111111111111116,0.6700507614213198,3.9,1.3360406091370551,1.0999999999999988,0.885071998342484,2,0
0,6,50,0.05,16.57500000000001,0,2.0,0.37583892617449666,14.0,4.570469798657718,0.23913043478260865,0.785234899328859,5.500000000000002,1.6295302013422817,1.0999999999999999,1.6802031561763107,1,0
0,7,50,0.05,10.175000000000004,0,1.0,0.32142857142857145,9.0,2.357142857142857,0.33333333333333337,0.3333333333333333,4.099999999999999,1.1154761904761903,0.8,0.8379503729202517,2,0
0,8,50,0.05,16.275000000000006,0,2.0,0.265,13.0,5.77,0.07558139534883712,1.19,4.299999999999998,1.711999999999999,1.499999999999999,0.9594532663316571,0,0
0,9,50,0.05,17.625000000000007,0,2.0,0.325,15.0,5.62,0.10869565217391308,0.725,4.8,1.6219999999999992,1.2999999999999987,1.147051256281406,0,0
0,10,50,0.05,10.225000000000003,0,2.0,0.27450980392156865,13.0,4.281045751633987,0.23484848484848486,1.6339869281045751,4.899999999999999,1.4065359477124177,1.0999999999999996,1.118641210870312,3,0
0,11,50,0.05,14.625000000000004,0,2.0,0.38095238095238093,9.0,2.630952380952381,0.3157894736842105,0.5238095238095238,4.299999999999999,1.2797619047619047,0.9499999999999996,1.0888625932300624,1,0
0,12,50,0.05,12.900000000000007,0,2.0,0.272,11.0,3.368,0.19444444444444442,0.496,4.6,1.2079999999999997,0.8999999999999988,1.164129032258064,1,0
0,13,50,0.05,15.325000000000006,0,2.0,0.27167630057803466,13.0,5.283236994219653,0.1428571428571428,0.9421965317919075,4.699999999999998,1.757225433526011,1.5,1.2300201640005366,1,0
0,14,50,0.05,11.950000000000006,0,2.0,0.4811320754716981,10.0,3.358490566037736,0.26428571428571423,0.3867924528301887,4.299999999999999,1.440566037735849,1.0,1.3595768194070075,1,0
0,15,50,0.05,17.850000000000005,0,2.0,0.29,15.0,6.09,0.07978723404255317,0.86,4.900000000000002,1.9039999999999992,1.7999999999999992,1.3839035175879393,0,0
0,16,50,0.05,14.450000000000005,0,2.0,0.35658914728682173,9.0,3.5891472868217056,0.23780487804878048,0.6666666666666666,3.1999999999999993,1.291472868217054,1.0,0.6984423449612396,1,0
0,17,50,0.05,12.900000000000002,0,1.0,0.27358490566037735,9.0,3.188679245283019,0.20833333333333326,0.3018867924528302,3.5999999999999988,1.3386792452830187,1.0999999999999994,0.7997277628032339,1,0
0,18,50,0.05,18.65000000000001,0,2.0,0.43,17.0,6.085,0.1100000000000001,0.58,6.000000000000003,1.9009999999999991,1.599999999999998,1.4653256281407039,0,0
0,19,50,0.05,14.725000000000007,0,2.0,0.32954545454545453,12.0,5.125,0.1402439024390243,1.0511363636363635,4.1999999999999975,1.6249999999999993,1.499999999999999,0.8939999999999989,1,0
0,20,50,0.05,11.950000000000008,0,2.0,0.2138728323699422,12.0,4.520231213872832,0.17647058823529416,0.9942196531791907,4.399999999999999,1.2994219653179186,0.8999999999999997,1.235174082537975,1,0
0,21,50,0.05,12.175000000000004,0,1.0,0.2631578947368421,6.0,1.8421052631578947,0.26428571428571423,0.2631578947368421,2.9999999999999996,1.1438596491228068,1.0999999999999996,0.45107769423558874,1,0
0,22,50,0.05,5.950000000000005,0,2.0,0.25609756097560976,8.0,2.207317073170732,0.3214285714285714,0.25609756097560976,3.599999999999999,1.0499999999999998,0.8,0.617839506172839,3,0
0,23,50,0.05,13.125000000000007,0,1.0,0.21965317919075145,14.0,4.69364161849711,0.16891891891891886,0.884393063583815,5.1,1.4034682080924852,1.0999999999999992,1.1323134829950259,1,0
0,24,50,0.05,17.675000000000008,0,2.0,0.29,14.0,6.17,0.09042553191489366,1.055,4.9,1.951999999999999,1.5999999999999988,1.2334633165829143,0,0
0,25,50,0.05,14.050000000000004,0,2.0,0.20689655172413793,5.0,1.5517241379310345,0.32894736842105265,0.20689655172413793,2.5999999999999996,0.9568965517241378,0.7999999999999998,0.39477616454930403,1,0
0,26,50,0.05,10.950000000000008,0,2.0,0.24183006535947713,12.0,4.4640522875816995,0.23529411764705888,1.4248366013071896,4.3999999999999995,1.5163398692810455,1.1,1.289007567939456,2,0
0,27,50,0.05,18.22500000000001,0,3.0,0.37,15.0,6.03,0.08333333333333326,0.86,5.1000000000000005,1.867999999999999,1.5999999999999996,1.2550512562814065,0,0
0,28,50,0.05,14.775000000000007,0,1.0,0.22,12.0,4.96,0.08783783783783794,0.665,3.199999999999998,1.2259999999999995,0.9000000000000001,0.7229386934673354,0,0
