,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
104,0,1,28,1,4,3,0.5000000000000002,11.0,0,0.0,17,5
105,1,1,28,1,3,1,0.0,5.000000000000003,3,-1.2,15,4
258,0,2,39,1,13,0,4.700000000000004,53.00000000000003,0,1.0,16,14
259,1,2,39,1,5,1,0.0,5.000000000000006,0,-1.0,17,6
408,0,3,38,1,12,2,4.2000000000000055,48.00000000000005,0,1.0,26,13
409,1,3,38,2,5,5,0.0,11.999999999999988,0,0.0,25,7
608,2,4,50,0,10,2,1.7999999999999985,17.999999999999982,0,1.0,22,10
609,3,4,50,0,10,2,1.7999999999999967,17.999999999999964,4,0.8,25,10
808,2,5,50,2,12,0,2.9999999999999987,41.99999999999998,0,2.0,27,14
809,3,5,50,0,8,2,0.5999999999999975,5.999999999999975,1,0.8,31,8
1008,2,6,50,1,13,2,3.5999999999999983,41.99999999999998,0,1.0,24,14
1009,3,6,50,0,8,0,0.5999999999999985,5.999999999999985,2,0.8,26,8
1044,2,7,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,7,1
1045,3,7,9,2,0,0,0.0,11.0,0,0.0,5,2
1080,2,8,9,0,2,0,1.0999999999999996,10.999999999999996,0,0.0,8,2
1081,3,8,9,0,0,1,0.0,0.0,3,-1.2,6,0
1280,2,9,50,0,12,4,2.9999999999999973,29.99999999999997,2,1.5,24,12
1281,3,9,50,0,8,6,0.599999999999998,5.99999999999998,4,1.5,29,8
1410,0,10,33,0,10,1,3.4999999999999982,34.99999999999998,0,0.0,22,10
1411,1,10,33,1,4,1,0.0,5.000000000000004,4,-1.2,19,5
1492,0,11,21,0,10,0,4.7,47.0,1,1.0,16,10
1493,1,11,21,2,2,2,0.0,11.000000000000002,0,0.0,15,4
1550,0,12,15,1,2,2,0.5000000000000003,11.000000000000002,0,1.0,10,3
1551,1,12,15,2,1,0,0.0,11.0,0,0.0,12,3
1750,2,13,50,0,11,1,2.399999999999998,23.99999999999998,0,1.0,21,11
1751,3,13,50,1,10,1,1.7999999999999985,23.999999999999982,0,2.0,19,11
1832,0,14,21,1,3,2,0.5000000000000003,11.000000000000002,0,1.0,14,4
