      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -0.0087 0.2061 -0.0194   0.002  False
     average  egalitarian  -0.1223    0.0  -0.133 -0.1116   True
     average majoritarian  -0.0053  0.812  -0.016  0.0054  False
     average      maximin   0.0189    0.0  0.0082  0.0296   True
     average     optimist     0.03    0.0   0.019  0.0409   True
     average  utilitarian  -0.0088 0.2012 -0.0195  0.0019  False
     average         veto   0.0074 0.4114 -0.0033  0.0181  False
    baseline  egalitarian  -0.1135    0.0 -0.1242 -0.1028   True
    baseline majoritarian   0.0035 0.9769 -0.0072  0.0142  False
    baseline      maximin   0.0276    0.0  0.0169  0.0383   True
    baseline     optimist   0.0387    0.0  0.0278  0.0497   True
    baseline  utilitarian     -0.0    1.0 -0.0107  0.0107  False
    baseline         veto   0.0162 0.0001  0.0055  0.0269   True
 egalitarian majoritarian    0.117    0.0  0.1063  0.1277   True
 egalitarian      maximin   0.1411    0.0  0.1304  0.1518   True
 egalitarian     optimist   0.1522    0.0  0.1413  0.1632   True
 egalitarian  utilitarian   0.1135    0.0  0.1028  0.1242   True
 egalitarian         veto   0.1297    0.0   0.119  0.1404   True
majoritarian      maximin   0.0241    0.0  0.0134  0.0348   True
majoritarian     optimist   0.0353    0.0  0.0243  0.0462   True
majoritarian  utilitarian  -0.0035 0.9754 -0.0142  0.0072  False
majoritarian         veto   0.0127 0.0078   0.002  0.0234   True
     maximin     optimist   0.0111 0.0432  0.0002  0.0221   True
     maximin  utilitarian  -0.0276    0.0 -0.0383 -0.0169   True
     maximin         veto  -0.0114 0.0267 -0.0221 -0.0007   True
    optimist  utilitarian  -0.0388    0.0 -0.0497 -0.0278   True
    optimist         veto  -0.0226    0.0 -0.0335 -0.0116   True
 utilitarian         veto   0.0162 0.0001  0.0055  0.0269   True
----------------------------------------------------------------
