      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -0.0006 0.0549 -0.0011     0.0  False
     average  egalitarian  -0.0011    0.0 -0.0017 -0.0005   True
     average majoritarian  -0.0008 0.0003 -0.0014 -0.0003   True
     average      maximin  -0.0009 0.0001 -0.0015 -0.0003   True
     average     optimist  -0.0005 0.1307 -0.0011  0.0001  False
     average  utilitarian  -0.0005 0.2574  -0.001  0.0001  False
     average         veto  -0.0006 0.0549 -0.0011     0.0  False
    baseline  egalitarian  -0.0005 0.0851 -0.0011     0.0  False
    baseline majoritarian  -0.0003 0.8481 -0.0008  0.0003  False
    baseline      maximin  -0.0003 0.6634 -0.0009  0.0002  False
    baseline     optimist   0.0001    1.0 -0.0005  0.0006  False
    baseline  utilitarian   0.0001 0.9985 -0.0005  0.0007  False
    baseline         veto      0.0    1.0 -0.0006  0.0006  False
 egalitarian majoritarian   0.0003 0.8481 -0.0003  0.0008  False
 egalitarian      maximin   0.0002  0.956 -0.0004  0.0008  False
 egalitarian     optimist   0.0006 0.0494     0.0  0.0012   True
 egalitarian  utilitarian   0.0007 0.0121  0.0001  0.0012   True
 egalitarian         veto   0.0005 0.0851    -0.0  0.0011  False
majoritarian      maximin  -0.0001    1.0 -0.0006  0.0005  False
majoritarian     optimist   0.0003 0.7217 -0.0003  0.0009  False
majoritarian  utilitarian   0.0004 0.4467 -0.0002   0.001  False
majoritarian         veto   0.0003 0.8481 -0.0003  0.0008  False
     maximin     optimist   0.0004 0.5126 -0.0002   0.001  False
     maximin  utilitarian   0.0004 0.2574 -0.0001   0.001  False
     maximin         veto   0.0003 0.6634 -0.0002  0.0009  False
    optimist  utilitarian   0.0001    1.0 -0.0005  0.0007  False
    optimist         veto  -0.0001    1.0 -0.0006  0.0005  False
 utilitarian         veto  -0.0001 0.9985 -0.0007  0.0005  False
----------------------------------------------------------------
