episode,total_norms,cooperative_norms,proportion,reward,numerosity,fitness
1,13,0,0.0,5485.399999999995,26635,826288.05
2,16,1,6.25,1933.5000000000002,11286,289808.9400000001
3,35,2,5.714285714285714,8744.299999999996,41402,1181764.3799999997
4,13,1,7.6923076923076925,272.0,1930,3138.06
5,21,1,4.761904761904762,5232.399999999996,25887,189488.5199999997
6,15,1,6.666666666666667,362.30000000000007,2472,3423.719999999999
7,15,1,6.666666666666667,2914.299999999999,17133,87096.29999999997
8,21,0,0.0,4837.499999999999,25965,1550860.3200000003
9,21,1,4.761904761904762,7836.299999999997,39563,1973416.1400000001
10,20,2,10.0,420.5,2807,5050.6500000000015
11,34,0,0.0,2377.7999999999993,13366,169707.75000000003
12,23,1,4.3478260869565215,8109.499999999998,34847,1832794.109999999
13,15,0,0.0,3605.4999999999977,15064,44029.10999999997
14,6,0,0.0,67.2,500,153.0
15,19,1,5.263157894736842,706.4000000000001,4453,14889.929999999998
16,12,0,0.0,4902.5999999999985,21890,517557.92999999993
17,14,0,0.0,6379.699999999998,30347,2707990.4999999986
18,16,1,6.25,871.3999999999999,5816,19355.370000000003
19,5,0,0.0,51.6,408,7.199999999999998
20,14,0,0.0,167.39999999999998,1446,862.8000000000001
21,6,0,0.0,42.0,397,543.1499999999999
22,24,0,0.0,3531.9999999999977,20731,52317.42
23,13,0,0.0,1701.5,17655,48943.50000000001
24,42,2,4.761904761904762,5612.7000000000035,33200,346836.8700000006
25,28,1,3.571428571428571,7187.199999999995,35589,1577308.109999998
26,4,0,0.0,26.900000000000002,204,98.39999999999999
27,1,0,0.0,3.0,73,5.4
28,8,0,0.0,9296.199999999997,46075,8141151.509999999
29,27,3,11.11111111111111,9381.499999999996,47242,2265941.7299999995
30,15,1,6.666666666666667,351.9,2222,2455.56
31,13,1,7.6923076923076925,1066.0999999999997,6134,56776.49999999998
32,19,0,0.0,680.0000000000002,5353,10399.260000000004
33,16,0,0.0,5804.300000000005,26165,1063200.5699999991
34,8,0,0.0,34.5,267,197.55
35,15,0,0.0,145.9,1188,1721.5200000000002
36,3,0,0.0,17.0,254,20.099999999999998
37,2,0,0.0,813.0,5258,26553.450000000073
38,8,1,12.5,61.5,596,118.67999999999999
