agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,average,17,200,0,43,0,6.600000000000019,66.00000000000018,7506.0,0,1.0,41,43
1,average,17,200,0,35,0,1.7999999999999954,17.999999999999954,2256.0,0,1.0,42,35
2,average,17,200,0,37,0,2.999999999999986,29.999999999999854,4530.0,0,1.0,48,37
3,average,17,99,0,15,1,0.0,0.0,651.0,3,-1.1,35,15
0,average,18,200,1,42,0,6.00000000000002,66.0000000000002,7500.0,0,1.5,23,43
1,average,18,75,0,11,3,0.0,0.0,597.0,3,-1.1,27,11
2,average,18,27,0,3,0,0.0,0.0,129.0,2,-1.1,18,3
3,average,18,200,0,37,1,2.9999999999999885,29.999999999999883,3858.0,0,1.0,32,37
0,average,19,200,0,47,0,9.000000000000028,90.00000000000028,9582.0,1,1.8,30,47
1,average,19,200,0,38,0,3.5999999999999894,35.99999999999989,4194.0,0,1.0,28,38
2,average,19,62,1,9,0,0.0,5.999999999999989,585.0,0,-0.5,16,10
3,average,19,15,0,1,0,0.0,0.0,75.0,1,-1.1,9,1
0,average,20,200,0,44,0,7.200000000000011,72.0000000000001,7254.0,0,1.0,19,44
1,average,20,188,0,30,0,0.0,0.0,2274.0,3,-1.1,22,30
2,average,20,27,0,3,0,0.0,0.0,153.0,3,-1.1,13,3
3,average,20,21,0,2,0,0.0,0.0,108.0,2,-1.1,11,2
0,average,21,200,0,44,0,7.20000000000002,72.0000000000002,8454.0,0,1.0,19,44
1,average,21,200,0,38,0,3.6000000000000063,36.000000000000064,5820.0,0,1.0,24,38
2,average,21,21,1,2,0,0.0,5.000000000000003,131.0,0,-1.0,10,3
3,average,21,27,0,3,0,0.0,0.0,153.0,2,-1.1,16,3
0,average,22,21,0,2,0,0.0,0.0,90.0,4,-1.1,10,2
1,average,22,39,0,5,0,0.0,0.0,225.0,1,-1.1,16,5
2,average,22,39,0,5,0,0.0,0.0,273.0,1,-1.1,10,5
3,average,22,15,0,1,0,0.0,0.0,57.0,1,-1.1,6,1
0,average,23,200,0,42,0,6.000000000000022,60.00000000000022,7410.0,0,1.0,24,42
1,average,23,200,0,34,0,1.199999999999989,11.99999999999989,2700.0,1,1.8,32,34
2,average,23,200,0,35,0,1.7999999999999954,17.999999999999954,2196.0,0,1.0,29,35
3,average,23,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,4,1
0,average,24,200,1,43,0,6.600000000000018,72.00000000000017,7620.0,0,1.5,15,44
1,average,24,200,0,35,0,1.7999999999999865,17.999999999999865,3438.0,0,1.0,19,35
2,average,24,21,0,2,0,0.0,0.0,114.0,3,-1.1,11,2
3,average,24,21,0,2,0,0.0,0.0,96.0,1,-1.1,15,2
0,average,25,200,1,44,0,7.200000000000032,78.00000000000031,9690.0,0,1.5,25,45
1,average,25,15,0,1,1,0.0,0.0,63.0,3,-1.1,10,1
2,average,25,122,1,19,0,0.0,5.999999999999936,1851.0,2,-1.1,29,20
3,average,25,51,0,7,1,0.0,0.0,345.0,0,-1.0,21,7
0,average,26,200,0,42,1,6.000000000000006,60.00000000000006,6696.0,0,1.0,32,42
1,average,26,200,0,35,1,1.7999999999999927,17.999999999999925,2640.0,0,1.0,36,35
2,average,26,200,0,34,0,1.1999999999999875,11.999999999999876,3612.0,2,0.9,45,34
3,average,26,39,1,5,2,0.0,5.000000000000001,278.0,0,-0.5,20,6
0,average,27,200,1,43,0,6.6000000000000165,72.00000000000016,7002.0,0,1.5,17,44
1,average,27,200,0,35,0,1.7999999999999932,17.99999999999993,2376.0,3,0.9,18,35
2,average,27,15,0,1,0,0.0,0.0,63.0,0,-1.0,6,1
3,average,27,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,3,1
0,average,28,200,0,43,0,6.6000000000000165,66.00000000000016,7680.0,0,1.0,24,43
1,average,28,200,1,36,0,2.39999999999999,29.9999999999999,3318.0,0,1.5,40,37
2,average,28,176,0,28,1,0.0,0.0,1524.0,2,-1.1,30,28
3,average,28,27,1,3,0,0.0,5.000000000000004,140.0,0,-0.5,11,4
0,average,29,200,0,42,0,6.000000000000008,60.00000000000008,6096.0,1,1.8,19,42
1,average,29,200,0,34,2,1.1999999999999955,11.999999999999956,2220.0,0,1.0,30,34
2,average,29,15,0,1,0,0.0,0.0,75.0,0,-1.0,9,1
3,average,29,200,0,36,0,2.39999999999999,23.9999999999999,3504.0,0,1.0,45,36
0,average,30,200,0,44,0,7.200000000000029,72.00000000000028,8844.0,1,1.8,18,44
1,average,30,51,0,7,0,0.0,0.0,231.0,3,-1.1,21,7
2,average,30,200,1,35,0,1.7999999999999865,23.999999999999865,4236.0,0,1.0,22,36
3,average,30,15,1,1,1,0.0,5.000000000000002,92.0,0,-1.0,12,2
0,average,31,200,1,44,0,7.200000000000019,78.00000000000018,8166.0,0,1.5,18,45
1,average,31,200,0,37,0,2.9999999999999885,29.999999999999883,4542.0,0,1.0,20,37
2,average,31,15,0,1,0,0.0,0.0,63.0,3,-1.1,10,1
3,average,31,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,5,1
0,average,32,200,0,41,0,5.400000000000002,54.00000000000002,4884.0,0,1.0,24,41
1,average,32,200,0,37,0,2.99999999999999,29.999999999999897,3414.0,1,1.8,37,37
2,average,32,200,0,34,0,1.199999999999987,11.99999999999987,2838.0,0,1.0,26,34
3,average,32,39,0,5,1,0.0,0.0,183.0,0,-1.0,20,5
0,average,33,200,0,42,0,6.000000000000024,60.000000000000234,8244.0,0,1.0,17,42
1,average,33,200,0,39,0,4.199999999999992,41.99999999999992,5076.0,0,1.0,19,39
2,average,33,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,7,1
3,average,33,21,0,2,0,0.0,0.0,102.0,1,-1.1,15,2
0,average,34,200,0,45,0,7.800000000000024,78.00000000000023,8436.0,1,1.8,33,45
1,average,34,200,1,38,1,3.599999999999988,41.99999999999987,4080.0,0,1.5,33,39
2,average,34,200,0,37,0,2.9999999999999862,29.99999999999986,5994.0,0,1.0,27,37
3,average,34,45,0,6,1,0.0,0.0,264.0,3,-1.1,19,6
0,average,35,200,1,44,0,7.2000000000000295,78.00000000000028,8778.0,4,0.9,18,45
1,average,35,15,0,1,1,0.0,0.0,69.0,3,-1.1,11,1
2,average,35,200,1,33,2,0.5999999999999879,11.999999999999876,4080.0,0,1.0,29,34
3,average,35,20,1,2,1,0.0,5.999999999999997,174.0,0,-0.5,15,3
0,average,36,200,0,45,0,7.800000000000026,78.00000000000026,8718.0,0,1.0,24,45
1,average,36,45,0,6,1,0.0,0.0,258.0,3,-1.1,20,6
2,average,36,140,1,22,0,0.0,5.999999999999936,1920.0,0,-1.0,29,23
3,average,36,33,1,4,1,0.0,5.000000000000003,197.0,0,-0.5,17,5
0,average,37,200,0,40,0,4.8000000000000105,48.0000000000001,5778.0,0,1.0,23,40
1,average,37,200,0,37,1,2.999999999999993,29.99999999999993,3210.0,0,1.0,32,37
2,average,37,15,0,1,0,0.0,0.0,75.0,3,-1.1,6,1
3,average,37,200,0,37,0,2.9999999999999885,29.999999999999883,4758.0,0,1.0,38,37
0,average,38,200,0,50,0,10.800000000000034,108.00000000000034,11916.0,0,1.0,19,50
1,average,38,9,0,0,0,0.0,0.0,36.0,3,-1.1,6,0
2,average,38,194,1,31,3,0.0,5.9999999999998685,5169.0,2,-1.1,19,32
3,average,38,9,0,0,1,0.0,0.0,42.0,1,-1.1,7,0
0,average,39,15,0,1,0,0.0,0.0,75.0,2,-1.1,6,1
1,average,39,33,0,4,1,0.0,0.0,174.0,3,-1.1,12,4
2,average,39,15,0,1,0,0.0,0.0,69.0,2,-1.1,7,1
3,average,39,39,0,5,0,0.0,0.0,255.0,1,-1.1,13,5
0,average,40,200,0,45,0,7.800000000000017,78.00000000000016,7212.0,0,1.0,23,45
1,average,40,51,0,7,1,0.0,0.0,351.0,3,-1.1,19,7
2,average,40,21,1,2,0,0.0,5.000000000000003,131.0,0,-1.0,8,3
3,average,40,110,0,17,1,0.0,0.0,1119.0,2,-1.1,31,17
0,average,41,200,0,43,2,6.600000000000033,66.00000000000033,9222.0,0,1.0,20,43
1,average,41,15,0,1,1,0.0,0.0,93.0,3,-1.1,8,1
2,average,41,21,0,2,0,0.0,0.0,108.0,2,-1.1,17,2
3,average,41,200,0,32,0,0.0,0.0,2262.0,1,-0.1,26,32
0,average,42,200,0,43,0,6.600000000000015,66.00000000000014,6576.0,1,1.8,29,43
1,average,42,200,0,38,2,3.59999999999999,35.99999999999989,3894.0,1,1.8,38,38
2,average,42,200,0,37,0,2.999999999999989,29.999999999999886,3210.0,0,1.0,33,37
3,average,42,26,0,3,1,0.0,0.0,189.0,0,-1.0,16,3
0,average,43,200,0,44,0,7.200000000000016,72.00000000000016,7488.0,1,1.8,20,44
1,average,43,200,0,35,0,1.7999999999999885,17.999999999999883,3924.0,0,1.0,32,35
2,average,43,200,0,34,0,1.1999999999999915,11.999999999999917,2484.0,0,1.0,26,34
3,average,43,15,0,1,0,0.0,0.0,63.0,0,-1.0,10,1
0,average,44,200,1,46,0,8.400000000000025,90.00000000000024,9522.0,0,1.5,30,47
1,average,44,200,0,40,0,4.7999999999999945,47.99999999999994,5244.0,1,1.8,33,40
2,average,44,128,1,20,0,0.0,5.9999999999999485,1464.0,2,-1.1,27,21
3,average,44,21,0,2,1,0.0,0.0,120.0,0,-1.0,12,2
0,average,45,200,0,42,0,6.000000000000017,60.00000000000016,7248.0,0,1.0,32,42
1,average,45,200,0,38,0,3.5999999999999885,35.999999999999886,4602.0,1,1.8,39,38
2,average,45,189,0,30,0,0.0,0.0,1458.0,3,-1.1,28,30
3,average,45,15,0,1,0,0.0,0.0,57.0,2,-1.1,11,1
0,average,46,200,0,44,0,7.200000000000012,72.00000000000011,7812.0,0,1.0,31,44
1,average,46,200,0,37,1,2.9999999999999867,29.999999999999865,3624.0,0,1.0,32,37
2,average,46,200,0,34,0,1.1999999999999869,11.999999999999869,3918.0,1,1.8,35,34
3,average,46,39,0,5,2,0.0,0.0,273.0,3,-1.1,17,5
0,average,47,200,0,43,1,6.600000000000016,66.00000000000016,7302.0,0,1.0,21,43
1,average,47,200,0,35,3,1.7999999999999932,17.99999999999993,2220.0,1,1.8,30,35
2,average,47,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
3,average,47,200,0,36,0,2.399999999999986,23.99999999999986,3708.0,0,1.0,37,36
0,average,48,200,1,48,0,9.600000000000026,102.00000000000026,10104.0,0,1.5,25,49
1,average,48,200,1,33,0,0.5999999999999915,11.999999999999917,3060.0,0,1.5,26,34
2,average,48,27,0,3,0,0.0,0.0,171.0,2,-1.1,13,3
3,average,48,15,0,1,0,0.0,0.0,63.0,1,-1.1,11,1
0,average,49,200,1,45,0,7.800000000000022,84.00000000000021,8802.0,0,1.5,33,46
1,average,49,9,0,0,1,0.0,0.0,42.0,3,-1.1,6,0
2,average,49,182,1,29,1,0.0,5.999999999999891,3345.0,4,-1.1,37,30
3,average,49,110,0,17,1,0.0,0.0,981.0,0,-1.0,27,17
0,average,50,200,2,45,0,7.80000000000002,90.00000000000018,8610.0,0,1.5,24,47
1,average,50,200,0,37,1,2.999999999999988,29.99999999999988,4464.0,0,1.0,29,37
2,average,50,15,0,1,0,0.0,0.0,57.0,2,-1.1,10,1
3,average,50,200,1,35,0,1.799999999999986,23.99999999999986,5088.0,0,1.5,29,36
0,average,51,200,0,43,0,6.600000000000014,66.00000000000013,7572.0,0,1.0,26,43
1,average,51,15,0,1,1,0.0,0.0,93.0,3,-1.1,11,1
2,average,51,200,0,38,0,3.5999999999999903,35.9999999999999,4218.0,0,1.0,31,38
3,average,51,200,0,39,2,4.1999999999999895,41.99999999999989,4992.0,0,1.0,34,39
0,average,52,200,0,46,0,8.400000000000036,84.00000000000036,10914.0,0,1.0,10,46
1,average,52,21,0,2,0,0.0,0.0,126.0,3,-1.1,9,2
2,average,52,15,0,1,0,0.0,0.0,75.0,0,-1.0,9,1
3,average,52,15,0,1,0,0.0,0.0,57.0,4,-1.1,11,1
0,average,53,200,0,43,0,6.600000000000013,66.00000000000013,7836.0,0,1.0,16,43
1,average,53,200,0,39,0,4.199999999999988,41.99999999999987,4596.0,1,1.8,24,39
2,average,53,38,1,5,0,0.0,5.999999999999997,297.0,0,-0.5,20,6
3,average,53,15,0,1,0,0.0,0.0,63.0,3,-1.1,8,1
0,average,54,200,0,39,0,4.1999999999999895,41.99999999999989,4254.0,1,1.8,29,39
1,average,54,200,1,37,0,2.999999999999989,35.999999999999886,3852.0,0,1.5,32,38
2,average,54,200,0,38,0,3.599999999999987,35.99999999999987,4692.0,0,1.0,21,38
3,average,54,39,0,5,1,0.0,0.0,243.0,4,-1.1,21,5
0,average,55,200,0,43,0,6.600000000000009,66.00000000000009,5736.0,0,1.0,27,43
1,average,55,200,0,38,0,3.5999999999999885,35.999999999999886,4764.0,1,1.8,30,38
2,average,55,200,0,34,0,1.19999999999999,11.9999999999999,2676.0,0,1.0,28,34
3,average,55,21,0,2,0,0.0,0.0,96.0,1,-1.1,10,2
0,average,56,200,0,45,0,7.800000000000031,78.0000000000003,9840.0,0,1.0,10,45
1,average,56,200,0,35,0,1.7999999999999878,17.999999999999876,3084.0,0,1.0,18,35
2,average,56,9,0,0,0,0.0,0.0,36.0,3,-1.1,8,0
3,average,56,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,8,1
