df_label,total_norms_mean,total_norms_median,total_norms_stdev,total_norms_summary,cooperative_norms_mean,cooperative_norms_median,cooperative_norms_stdev,cooperative_norms_summary,proportion_mean,proportion_median,proportion_stdev,proportion_summary,reward_mean,reward_median,reward_stdev,reward_summary,numerosity_mean,numerosity_median,numerosity_stdev,numerosity_summary,fitness_mean,fitness_median,fitness_stdev,fitness_summary
baseline,16.473,15.0,7.950627867249447,23.52237213275055,0.231,0.0,0.49988887654046565,-0.26888887654046567,1.4666073397593604,0.0,3.405650293814925,-1.9390429540555645,4657.743300000001,4286.25,3629.54675137758,5314.446548622422,22299.856,23247.5,15107.312622565933,30440.043377434067,1168987.6456499998,365248.19999999995,1767823.7955294917,-233587.94987949193
utilitarian,18.223,17.0,8.223557496479119,26.999442503520882,0.138,0.0,0.39384147967311806,-0.25584147967311804,0.5640842237441174,0.0,1.656001550674307,-1.0919173269301896,5919.805299999999,6164.299999999996,2961.9321752181463,9122.17312478185,30410.696,33037.5,13528.726162250352,49919.469837749646,1479983.65023,908200.9050000003,1582056.4642414118,806128.0909885883
maximin,17.198,15.5,9.290377124051913,23.407622875948086,0.675,0.0,0.8161133751146595,-0.1411133751146595,4.182401979350811,0.0,5.59419888104961,-1.411796901698799,3493.9593,2488.8999999999996,3294.538291555895,2688.3210084441052,18319.038,14847.0,15955.995150469238,17210.042849530764,789497.2694699999,122700.01499999998,1320165.2538339777,-407967.9693639778
egalitarian,13.5,13.0,6.728839222130165,19.771160777869834,1.247,1.0,1.131932980468487,1.1150670195315129,9.542668207994874,9.090909090909092,7.922868378700956,10.71070892020301,3776.7686999999996,2831.999999999999,3615.578297444997,2993.1904025550016,19797.629,16173.0,18276.60420397037,17694.02479602963,1733303.0434499998,339834.0449999997,2334955.089049167,-261818.00059916754
average,17.071,16.0,7.81761306755931,25.253386932440687,0.203,0.0,0.4899296184463958,-0.2869296184463958,1.02818247139905,0.0,2.6039369146678353,-1.5757544432687853,4642.390066666666,4674.216666666667,2917.08370095274,6399.523032380594,24749.636,26867.5,14010.997414533129,37606.13858546687,1089662.0498,457401.6249999999,1454677.3733385727,92386.301461427
