Metric,Test Name,Value,Type
gini_days_mean,average,0.31452023632189263,Minimum
gini_days_median,average,0.30841790319038803,Minimum
gini_days_stdev,veto,0.10366688756380255,Minimum
gini_days_summary,average,0.5164101043523287,Minimum
gini_berries_mean,average,0.37494732546285486,Minimum
gini_berries_median,average,0.3797109082397004,Minimum
gini_berries_stdev,veto,0.10826464911451457,Minimum
gini_berries_summary,average,0.64281522908909,Minimum
min_days_mean,optimist,30.496,Maximum
min_days_median,average,21.0,Maximum
min_days_stdev,veto,9.210683617011968,Minimum
min_days_summary,average,28.21866289293424,Maximum
min_berries_mean,optimist,4.143,Maximum
min_berries_median,average,2.0,Maximum
min_berries_stdev,veto,1.5265367058522747,Minimum
min_berries_summary,average,2.216627021722975,Maximum
max_days_mean,optimist,190.587,Maximum
max_days_median,average,200.0,Maximum
max_days_stdev,optimist,32.9570416997278,Minimum
max_days_summary,optimist,357.62995830027216,Maximum
max_berries_mean,veto,39.47,Maximum
max_berries_median,veto,42.0,Maximum
max_berries_stdev,optimist,8.295197061811992,Minimum
max_berries_summary,veto,72.21241917114396,Maximum
total_days_mean,optimist,432.834,Maximum
total_days_median,average,460.0,Maximum
total_days_stdev,veto,110.41650904402597,Minimum
total_days_summary,average,715.3309651799458,Maximum
total_berries_mean,average,78.639,Maximum
total_berries_median,average,87.5,Maximum
total_berries_stdev,veto,22.060981639784547,Minimum
total_berries_summary,average,131.94405924887465,Maximum
episode_length_mean,optimist,108.2085,Maximum
episode_length_median,optimist,86.0,Maximum
episode_length_stdev,veto,79.83495480679031,Minimum
most_common,average,16.0,
most_common_summary,average,6.0,
