      Multiple Comparison of Means - Tukey HSD, FWER=0.01       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.0527    0.0  0.0317  0.0736   True
     average  egalitarian    0.116    0.0   0.095   0.137   True
     average majoritarian   0.0609    0.0  0.0399  0.0819   True
     average      maximin   0.0266 0.0002  0.0057  0.0476   True
     average     optimist   0.1241    0.0  0.1031   0.145   True
     average  utilitarian  -0.0086 0.8369 -0.0296  0.0124  False
     average         veto    0.036    0.0   0.015   0.057   True
    baseline  egalitarian   0.0633    0.0  0.0424  0.0843   True
    baseline majoritarian   0.0083 0.8631 -0.0127  0.0292  False
    baseline      maximin   -0.026 0.0003  -0.047 -0.0051   True
    baseline     optimist   0.0714    0.0  0.0504  0.0924   True
    baseline  utilitarian  -0.0612    0.0 -0.0822 -0.0403   True
    baseline         veto  -0.0167 0.0948 -0.0376  0.0043  False
 egalitarian majoritarian  -0.0551    0.0 -0.0761 -0.0341   True
 egalitarian      maximin  -0.0894    0.0 -0.1103 -0.0684   True
 egalitarian     optimist   0.0081 0.8767 -0.0129   0.029  False
 egalitarian  utilitarian  -0.1246    0.0 -0.1456 -0.1036   True
 egalitarian         veto    -0.08    0.0  -0.101  -0.059   True
majoritarian      maximin  -0.0343    0.0 -0.0553 -0.0133   True
majoritarian     optimist   0.0631    0.0  0.0422  0.0841   True
majoritarian  utilitarian  -0.0695    0.0 -0.0905 -0.0485   True
majoritarian         veto  -0.0249 0.0007 -0.0459 -0.0039   True
     maximin     optimist   0.0974    0.0  0.0765  0.1184   True
     maximin  utilitarian  -0.0352    0.0 -0.0562 -0.0142   True
     maximin         veto   0.0094 0.7644 -0.0116  0.0303  False
    optimist  utilitarian  -0.1326    0.0 -0.1536 -0.1117   True
    optimist         veto  -0.0881    0.0  -0.109 -0.0671   True
 utilitarian         veto   0.0446    0.0  0.0236  0.0656   True
----------------------------------------------------------------
