      Multiple Comparison of Means - Tukey HSD, FWER=0.01       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   -0.741 0.0002 -1.3214 -0.1606   True
     average  egalitarian   -0.842    0.0 -1.4224 -0.2616   True
     average majoritarian    -0.53  0.028 -1.1104  0.0504  False
     average      maximin   -0.718 0.0003 -1.2984 -0.1376   True
     average     optimist   -1.335    0.0 -1.9154 -0.7546   True
     average  utilitarian    0.429 0.1531 -0.1514  1.0094  False
     average         veto    0.692 0.0007  0.1116  1.2724   True
    baseline  egalitarian   -0.101 0.9987 -0.6814  0.4794  False
    baseline majoritarian    0.211 0.9056 -0.3694  0.7914  False
    baseline      maximin    0.023    1.0 -0.5574  0.6034  False
    baseline     optimist   -0.594 0.0074 -1.1744 -0.0136   True
    baseline  utilitarian     1.17    0.0  0.5896  1.7504   True
    baseline         veto    1.433    0.0  0.8526  2.0134   True
 egalitarian majoritarian    0.312 0.5534 -0.2684  0.8924  False
 egalitarian      maximin    0.124 0.9953 -0.4564  0.7044  False
 egalitarian     optimist   -0.493 0.0554 -1.0734  0.0874  False
 egalitarian  utilitarian    1.271    0.0  0.6906  1.8514   True
 egalitarian         veto    1.534    0.0  0.9536  2.1144   True
majoritarian      maximin   -0.188 0.9473 -0.7684  0.3924  False
majoritarian     optimist   -0.805    0.0 -1.3854 -0.2246   True
majoritarian  utilitarian    0.959    0.0  0.3786  1.5394   True
majoritarian         veto    1.222    0.0  0.6416  1.8024   True
     maximin     optimist   -0.617 0.0044 -1.1974 -0.0366   True
     maximin  utilitarian    1.147    0.0  0.5666  1.7274   True
     maximin         veto     1.41    0.0  0.8296  1.9904   True
    optimist  utilitarian    1.764    0.0  1.1836  2.3444   True
    optimist         veto    2.027    0.0  1.4466  2.6074   True
 utilitarian         veto    0.263 0.7514 -0.3174  0.8434  False
----------------------------------------------------------------
