day,baseline,maximin
1,8.83391695847924,8.794897448724361
2,10.74,10.767
3,12.6645,11.309
4,13.408,12.082
5,14.7555,11.9765
6,15.3725,12.255
7,16.5445,13.0175
8,18.0415,13.9395
9,19.185,14.769
10,20.113065326633166,15.481729284611426
11,21.270854271356782,16.004117344312917
12,22.10753768844221,16.471950591868247
13,23.001507537688443,17.152856407617087
14,24.11608040201005,18.02676273803397
15,25.080904522613064,18.9861039629439
16,25.867305751765894,19.61288632792038
17,26.868314833501515,20.40387637506548
18,27.902119071644805,21.169722367731797
19,28.814833501513622,21.966998428496595
20,29.68869828456105,22.708748035620744
21,30.771442986881937,23.744368779465688
22,31.62878787878788,24.601369141653503
23,32.53686868686869,25.321748288572934
24,33.55959595959596,26.367035281727226
25,34.67777777777778,27.296471827277514
26,35.57676767676767,28.162190626645604
27,36.52323232323232,29.059505002632964
28,37.5959595959596,29.791974656810982
29,38.647474747474746,30.793558606124606
30,39.57222222222222,31.68690601900739
31,40.53636363636364,32.480464625131994
32,41.47878787878788,33.48996832101373
33,42.47070707070707,34.45377707342842
34,43.49141414141414,35.07997881355932
35,44.56919191919192,35.93061440677966
36,45.59191919191919,36.84427966101695
37,46.53686868686869,37.83262711864407
38,47.49040404040404,38.59957627118644
39,48.45151515151515,39.61791202967674
40,49.49873673572511,40.34446210916799
41,50.47549267306721,41.29888712241653
42,51.52400202122284,42.31160572337043
43,52.48610409297625,43.16481187069422
44,53.45123799898939,44.1293057763646
45,54.460838807478524,45.04453870625663
46,55.493178372915615,45.820689655172416
47,56.37594744820616,46.93580901856764
48,57.41687721071248,47.94005305039788
49,58.39009600808489,48.711936339522545
50,59.37392622536635,49.820159151193636
