day,baseline,egalitarian,maximin,utilitarian
1,7.111055527763882,7.147073536768384,7.1830915457728866,7.180090045022511
2,6.558500000000001,6.717500000000001,6.810500000000001,6.717500000000001
3,6.4045000000000005,6.557500000000001,6.623500000000001,6.701500000000001
4,6.292500000000001,6.616500000000001,6.6165,6.7665
5,6.381500000000001,6.699500000000001,6.735500000000001,6.813500000000001
6,6.440500000000001,6.611500000000001,6.752500000000001,6.665500000000001
7,6.4125000000000005,6.502500000000001,6.679500000000001,6.421500000000001
8,6.225500000000002,6.492500000000001,6.615500000000001,6.2555000000000005
9,5.996965098634296,6.428643981716609,6.514906518443659,5.924744130042145
10,6.088649544324774,6.808963997060986,6.835677749360615,6.529151291512917
11,6.074626865671643,6.778839088905218,6.798593350383633,6.383763837638377
12,6.10945273631841,6.775165319617929,6.746163682864451,6.4686346863468644
13,5.915422885572141,6.740631888317415,6.69373401534527,6.29667896678967
14,5.810945273631843,6.7766348273328445,6.625959079283889,6.191143911439116
15,5.773457311918852,6.6870799103808825,6.509446254071661,5.836601307189543
16,6.000000000000003,7.099260823653644,7.077396657871593,6.615667074663404
17,5.905172413793106,7.005279831045408,7.140845070422536,6.614443084455325
18,5.862068965517244,7.025343189017953,7.096830985915494,6.517747858017137
19,5.620689655172416,7.178458289334743,7.126760563380283,6.296205630354958
20,5.698275862068968,7.198521647307288,6.936507936507938,6.266257668711657
21,5.471615720524019,7.100427350427351,6.89620938628159,5.9248
22,5.872235872235875,7.613409415121256,7.390644753476613,6.903719912472648
23,5.786240786240789,7.594285714285715,7.4070796460177,6.743982494529543
24,5.523341523341527,7.5114285714285725,7.4538558786346405,6.597374179431073
25,5.422604422604426,7.462857142857144,7.614412136536031,6.542669584245078
26,5.261083743842368,7.585714285714287,7.545685279187818,6.5296703296703305
27,5.298994974874375,7.607503607503609,7.332896461336828,6.192411924119242
28,6.0806451612903265,7.866156787762908,7.804123711340206,7.029411764705883
29,5.9274193548387135,8.013384321223711,7.969072164948454,6.985239852398525
30,5.822580645161294,8.022944550669218,7.793814432989691,6.848708487084871
31,5.620967741935488,8.021032504780116,7.855670103092783,6.778597785977861
32,5.298387096774198,8.149425287356323,7.674176776429809,6.6044776119402995
33,5.235537190082648,8.104448742746616,7.495511669658887,6.276190476190476
34,6.068965517241384,8.726342710997443,8.608695652173912,7.0184049079754605
35,6.0206896551724185,8.892583120204604,8.492753623188406,6.901840490797546
36,6.055172413793108,8.828644501278772,8.405797101449274,7.153374233128834
37,5.8827586206896605,8.549872122762148,8.304347826086955,7.03680981595092
38,5.544827586206901,8.461538461538462,8.394160583941606,6.666666666666667
39,5.673758865248232,8.408268733850129,8.309278350515463,6.765624999999999
40,5.6179775280898925,9.5700325732899,9.134426229508195,7.839999999999999
41,5.831460674157309,9.371335504885993,9.118032786885244,7.8599999999999985
42,5.977528089887645,9.426710097719868,9.121311475409835,7.579999999999999
43,5.786516853932591,9.364820846905536,8.84918032786885,7.299999999999999
44,5.460674157303377,9.65472312703583,8.819999999999999,7.404255319148935
45,5.367816091954028,9.771523178807945,8.989208633093522,7.386666666666665
46,6.1052631578947425,10.070312499999998,10.330275229357795,8.315789473684207
47,6.368421052631586,10.242187499999998,10.211009174311924,8.789473684210524
48,6.105263157894743,10.249999999999998,10.229357798165136,8.631578947368418
49,5.947368421052639,10.093749999999998,10.275229357798164,8.57894736842105
50,5.473684210526323,10.289062499999996,9.805555555555554,8.444444444444441
