df_label,mean_gini_days,median_gini_days,stdev_gini_days,mean_min_days,median_min_days,stdev_min_days,mean_max_days,median_max_days,stdev_max_days,mean_total_days,median_total_days,stdev_total_days,mean_gini_berries,median_gini_berries,stdev_gini_berries,mean_min_berries,median_min_berries,stdev_min_berries,mean_max_berries,median_max_berries,stdev_max_berries,mean_total_berries,median_total_berries,stdev_total_berries
baseline,0.37037778712575187,0.37282608695652175,0.13365087495715328,23.252,15.0,17.00958029528718,199.462,200.0,9.178278531227782,446.346,454.0,139.35000074168175,0.44060050441881266,0.4423076923076923,0.1451689568374338,2.827,2.0,2.8665812893215303,47.717,48.0,4.923937058508786,93.367,97.0,28.264132255779092
egalitarian,0.29469601047999405,0.25,0.13242571979149928,34.571,21.0,33.052161871871625,194.98,200.0,21.562851308594524,511.386,543.0,152.67201363625145,0.34779288108232953,0.31167153996101365,0.14315414156535927,4.685,3.0,5.626493795645067,42.516,44.0,7.00548505250142,101.85,109.0,32.10508115915978
maximin,0.3121277926015269,0.3091203733453283,0.10995875239181822,23.281,15.0,17.611706652428982,194.548,200.0,28.473820510329386,505.625,492.5,127.14950795175093,0.36370375027314233,0.37149532710280375,0.11535429744957883,2.795,2.0,2.9698139326891835,43.866,45.0,7.338385101362282,103.978,104.0,26.514270167638454
utilitarian,0.3139543959322733,0.2995342678256981,0.11147482513957843,24.808,21.0,19.15667283517976,199.272,200.0,10.675203790840527,512.744,514.0,114.46738944890483,0.38053807309114945,0.3723672663448881,0.12288798181052701,2.991,2.0,3.276530887181541,46.707,47.0,4.981964569421482,105.024,106.0,22.810211084725406
average,0.2964032941516359,0.28410409164511685,0.11117456735096765,30.787,21.0,23.045709703451003,190.884,200.0,33.98351693723625,495.89,502.0,145.03891266203766,0.3597422772164525,0.35754870129870125,0.12405469764838689,3.898,3.0,3.81026431026958,41.447,43.0,7.822044194158927,95.994,100.0,28.436113949985792
majoritarian,0.3745955624609826,0.4044715447154471,0.16910624265721155,34.684,15.0,47.22889700927508,199.027,200.0,12.56025600977269,421.269,384.0,167.52624176731442,0.4445208053279089,0.4692651098901099,0.18163350094790445,5.035,2.0,8.466726667399891,45.21,45.0,4.472348589041545,84.515,78.0,33.53789745296454
veto,0.307870085122412,0.29678362573099415,0.12553201837518826,34.275,21.0,32.61559676216506,199.187,200.0,11.548653705190162,509.934,513.0,126.50104409908306,0.37645975998545955,0.3698958333333333,0.1280992974724491,4.558,3.0,5.498078288353565,46.566,47.0,5.857811703866723,103.054,106.0,26.325160932045563
optimist,0.31677404801672027,0.2352216748768472,0.12822141168927984,19.672,15.0,19.404921204863655,198.041,200.0,16.967534181966936,512.099,609.0,136.49683727319686,0.36196013160648105,0.28515625,0.14098409465437187,2.443,1.0,3.1851053194354337,43.669,44.0,5.503974267084898,103.925,114.0,28.438286008673433
