Metric,Test Name,Value,Type
gini_days_mean,utilitarian,0.29469601047999405,Minimum
gini_days_median,optimist,0.2352216748768472,Minimum
gini_days_stdev,maximin,0.10995875239181822,Minimum
gini_berries_mean,utilitarian,0.34779288108232953,Minimum
gini_berries_median,optimist,0.28515625,Minimum
gini_berries_stdev,maximin,0.11535429744957883,Minimum
min_days_mean,majoritarian,34.684,Maximum
min_days_median,utilitarian,21.0,Maximum
min_days_stdev,baseline,17.00958029528718,Minimum
min_berries_mean,majoritarian,5.035,Maximum
min_berries_median,utilitarian,3.0,Maximum
min_berries_stdev,baseline,2.8665812893215303,Minimum
max_days_mean,baseline,199.462,Maximum
max_days_median,baseline,200.0,Maximum
max_days_stdev,baseline,9.178278531227782,Minimum
max_berries_mean,baseline,47.717,Maximum
max_berries_median,baseline,48.0,Maximum
max_berries_stdev,majoritarian,4.472348589041545,Minimum
total_days_mean,egalitarian,512.744,Maximum
total_days_median,optimist,609.0,Maximum
total_days_stdev,egalitarian,114.46738944890483,Minimum
total_berries_mean,egalitarian,105.024,Maximum
total_berries_median,optimist,114.0,Maximum
total_berries_stdev,egalitarian,22.810211084725406,Minimum
episode_length_mean,egalitarian,128.186,Maximum
episode_length_median,utilitarian,200.0,Maximum
episode_length_stdev,veto,81.22351286733803,Minimum
most_common,baseline,7.0,
