Metric,Test Name,Value,Type
gini_days_mean,average,0.3251308305342433,Minimum
gini_days_median,optimist,0.32546305777413703,Minimum
gini_days_stdev,optimist,0.11277021678685262,Minimum
gini_berries_mean,optimist,0.38822951620050017,Minimum
gini_berries_median,optimist,0.3883928571428571,Minimum
gini_berries_stdev,optimist,0.1237344397598252,Minimum
min_days_mean,average,26.57,Maximum
min_days_median,average,21.0,Maximum
min_days_stdev,optimist,11.113852469630714,Minimum
min_berries_mean,average,3.251,Maximum
min_berries_median,average,2.0,Maximum
min_berries_stdev,optimist,1.836085567235419,Minimum
max_days_mean,veto,197.727,Maximum
max_days_median,average,200.0,Maximum
max_days_stdev,veto,17.772516235281184,Minimum
max_berries_mean,veto,46.201,Maximum
max_berries_median,veto,48.0,Maximum
max_berries_stdev,majoritarian,7.063128753448275,Minimum
total_days_mean,optimist,492.711,Maximum
total_days_median,optimist,490.0,Maximum
total_days_stdev,optimist,130.2397092320958,Minimum
total_berries_mean,optimist,101.884,Maximum
total_berries_median,optimist,105.0,Maximum
total_berries_stdev,optimist,27.89811550712429,Minimum
episode_length_mean,optimist,123.17775,Maximum
episode_length_median,optimist,200.0,Maximum
episode_length_stdev,average,78.83029792475241,Minimum
most_common,optimist,15.0,
