,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
0,1.0,0.0,0.0720360180090045,0.0,0.0,0.7000000000000001,7.432216108054027,15.432216108054027,0.057628814407203605,1.0,1999
1,1.0,1.0,0.029514757378689346,0.0,0.0,0.7000000000000001,7.177088544272136,15.177088544272136,0.023611805902951477,1.0,1999
2,1.0,2.0,0.053526763381690844,0.0,0.0,0.7000000000000001,7.321160580290145,15.321160580290146,0.04282141070535268,1.0,1999
3,1.0,3.0,0.018509254627313655,0.0,0.0,0.7000000000000001,7.111055527763882,15.111055527763883,-0.03196598299149575,1.0,1999
4,2.0,0.0,0.244,0.0725,0.0,0.6435500000000001,7.899500000000001,23.325,0.24960000000000002,1.2635,2000
5,2.0,1.0,0.104,0.0395,0.0005,0.6237500000000001,6.861500000000001,21.987,0.1063,1.3005,2000
6,2.0,2.0,0.158,0.0435,0.012,0.6261500000000001,7.209500000000001,22.521,0.1589,1.332,2000
7,2.0,3.0,0.068,0.016,0.0025,0.6096500000000001,6.504500000000001,21.612,0.0654,1.637,2000
8,3.0,0.0,0.2765,0.3515,0.002,0.7109500000000001,8.7685,31.9135,0.41420000000000007,1.7835,2000
9,3.0,1.0,0.164,0.154,0.025,0.5924500000000001,6.908500000000001,28.7695,0.1932,1.807,2000
10,3.0,2.0,0.221,0.164,0.055,0.5984500000000001,7.3105,29.8165,0.27765,1.852,2000
11,3.0,3.0,0.13,0.071,0.0145,0.5426500000000001,6.206500000000001,27.8185,0.14730000000000001,2.1435,2000
12,4.0,0.0,0.255,0.6095,0.002,0.76575,9.1875,41.098,0.39245,2.674,2000
13,4.0,1.0,0.2585,0.2665,0.0255,0.5599500000000001,7.1505,35.917,0.24930000000000002,2.768,2000
14,4.0,2.0,0.2955,0.294,0.056,0.57645,7.5375,37.354,0.2592,2.792,2000
15,4.0,3.0,0.2095,0.161,0.0145,0.4966500000000001,6.2235000000000005,34.042,0.20405,3.1255,2000
16,5.0,0.0,0.2355,0.8135,0.002,0.78815,9.2945,50.3925,0.30185,3.2055,2000
17,5.0,1.0,0.2645,0.4455,0.0265,0.56735,7.260500000000001,43.1655,0.27770000000000006,3.401,2000
18,5.0,2.0,0.372,0.4,0.0595,0.54005,7.6325,44.9865,0.2155,3.3895,2000
19,5.0,3.0,0.2875,0.275,0.0145,0.4650500000000001,6.375500000000001,40.4175,0.23500000000000004,3.81,2000
20,6.0,0.0,0.2355,1.0075,0.003,0.8045500000000001,9.4585,59.842,0.30345000000000005,3.4615,2000
21,6.0,1.0,0.2805,0.595,0.0295,0.55705,7.253500000000001,50.41,0.24015,3.858,2000
22,6.0,2.0,0.3995,0.533,0.062,0.51985,7.595500000000001,52.579,0.21525,3.854,2000
23,6.0,3.0,0.3365,0.3905,0.0145,0.43435000000000007,6.362500000000001,46.78,0.2008,4.3685,2000
24,7.0,0.0,0.2435,1.219,0.004,0.83145,9.7755,69.5965,0.33220000000000005,3.6845,2000
25,7.0,1.0,0.1505,0.8725,0.0355,0.62355,7.1385000000000005,57.5305,0.33490000000000003,4.2135,2000
26,7.0,2.0,0.368,0.7015,0.0705,0.52095,7.417500000000001,59.9935,0.23055,4.147,2000
27,7.0,3.0,0.232,0.644,0.017,0.4864500000000001,6.256500000000001,53.0365,0.30755,4.767,2000
28,8.0,0.0,0.2515,1.4455,0.0045,0.86735,10.1825,79.749,0.33195,3.944,2000
29,8.0,1.0,0.152,1.021,0.0445,0.6126500000000001,7.038500000000001,64.533,0.23105,4.537,2000
30,8.0,2.0,0.2955,0.912,0.091,0.5472500000000001,7.245500000000001,67.23,0.28435000000000005,4.5505,2000
31,8.0,3.0,0.1365,0.8595,0.024,0.5157500000000002,5.976500000000001,59.013,0.2733,5.1645,2000
32,9.0,0.0,0.261,1.672,0.006,0.9037999999999999,10.602,90.255,0.32665000000000005,4.385,2000
33,9.0,1.0,0.1485,1.172,0.0585,0.6102000000000001,6.962500000000001,71.4595,0.155,4.99,2000
34,9.0,2.0,0.215,1.1155,0.113,0.5798500000000001,7.012,74.233,0.1674,5.0585,2000
35,9.0,3.0,0.1355,0.9795,0.031,0.4984000000000001,5.767500000000001,64.7775,0.085,5.659,2000
36,10.0,0.0,0.2961287078934138,1.869281045751634,0.008547008547008548,0.9216189039718451,10.992961287078934,101.50175967823027,0.3317244846656612,4.996983408748115,1989
37,10.0,1.0,0.1708758731864589,1.370231058570661,0.053197205803331545,0.622192369693713,7.247178936055885,81.09779688339603,0.20386888769478775,5.692101020956475,1861
