day,baseline,egalitarian,maximin,utilitarian
1,7.360180090045023,7.435217608804402,7.474237118559279,7.423211605802901
2,7.506500000000001,7.698500000000001,7.842500000000001,7.515500000000001
3,8.5525,9.0805,8.5345,8.6335
4,8.8305,9.6405,8.9385,9.0375
5,9.0305,9.8675,9.1145,9.2165
6,9.1885,10.0015,9.1315,9.3325
7,9.1185,10.2795,9.3975,9.3255
8,9.3005,10.662499999999998,9.3995,9.4295
9,9.6045,11.433499999999999,9.5785,9.7085
10,9.994258872651358,12.0130005200208,10.073941866394696,10.12621359223301
11,10.102818371607516,12.130005200208007,10.313105558388576,10.343382728666326
12,10.342901878914406,12.406136245449817,10.503314635390106,10.358201328564128
13,10.445198329853861,12.679147165886633,10.65068842427333,10.526315789473683
14,10.647703549060541,13.055122204888193,10.773584905660377,10.688298415942768
15,10.95876826722338,13.338013520540818,11.043855175930645,10.911088400613181
16,11.429125138427462,13.754938601174583,11.369783412572634,11.30157894736842
17,11.671650055370984,13.837693539775756,11.533016376122555,11.571052631578945
18,11.837763012181615,13.96849973304858,11.819862651875328,11.663684210526315
19,12.057032115171646,14.272290443139342,11.95456946645536,11.819473684210523
20,12.28959025470653,14.588894821142546,12.060750132065502,11.975263157894734
21,12.669994453688293,14.839037433155072,12.239257294429706,12.096417281348785
22,13.33547632963179,15.074715755278822,12.726622662266225,12.51216873985938
23,13.503214494447688,15.166215484569564,12.913043478260866,12.59275283937263
24,13.755113968439503,15.348673524634533,13.118326912493117,12.887506760411027
25,13.99649327878433,15.505143475906866,13.30049532195927,12.912925905895072
26,14.209818819403852,15.642122360584722,13.44303797468354,13.071389940508377
27,14.585722644821526,15.820249052517584,13.542968749999996,13.360869565217385
28,15.078644888082268,16.056284153005453,13.903281519861826,13.675055928411627
29,15.276467029643067,16.095628415300535,14.084628670120894,13.772371364653237
30,15.474289171203862,16.308743169398895,14.321243523316056,14.037472035794178
31,15.708408953418019,16.45956284153004,14.523316062176159,14.211968680089477
32,16.000604960677546,16.63333333333332,14.535405872193431,14.302572706935115
33,16.33191489361701,16.85589041095889,14.702325581395343,14.521665728756323
34,16.765071472964564,16.856749311294752,15.027413587604284,15.130409356725139
35,17.02175264139216,16.901377410468303,15.328963051251483,15.18654970760233
36,17.121814791796137,17.00881542699723,15.544696066746118,15.460233918128644
37,17.359850839030443,17.122865013774085,15.721809169764553,15.52690058479531
38,17.679925419515214,17.39559228650136,16.008054522924404,15.554970760233907
39,18.02746566791509,17.579966795794117,16.283582089552233,15.96973293768545
40,18.354245880861836,17.64872364039954,16.80783817951959,16.46022031823744
41,18.5443599493029,17.654273029966685,17.006321112515792,16.510104102878124
42,18.83713561470214,17.8429522752497,17.163084702907703,16.818126148193496
43,19.034854245880847,17.951720310765797,17.49810366624525,16.975505205143893
44,19.236375158428373,18.137069922308527,17.7914032869785,16.967544396815665
45,19.415345592897893,18.2869855394883,18.227791878172578,17.37165941578619
46,19.728087012156095,18.32367688022282,18.67181467181466,17.700127064803034
47,19.833653230966075,18.309749303621146,18.826254826254814,17.75222363405335
48,19.88547664747279,18.43286908077992,18.965250965250952,18.109275730622603
49,20.10620601407548,18.532590529247887,19.26254826254825,18.165184243964404
50,20.280870121561083,18.525348189415016,19.63320463320462,18.22109275730621
