day,baseline,egalitarian,maximin,utilitarian
1,0.0,0.0,0.0,0.0
2,0.163,0.1815,0.1595,0.152
3,0.7015,0.784,0.734,0.702
4,1.1655,1.222,1.2925,1.142
5,1.6115,1.8544999999999998,1.9695,1.6179999999999999
6,2.29,2.5989999999999998,2.8085000000000004,2.292
7,3.1675,3.417,3.702,2.9930000000000003
8,4.1385000000000005,4.1240000000000006,4.376,3.8294999999999995
9,4.8465,4.895,5.0725,4.5184999999999995
10,5.607832550379359,5.839955232586157,5.861457542924556,5.572082815146989
11,6.108896213348729,6.439009957218224,6.506653351520342,6.071719194403325
12,6.843659269838566,7.1593090596539835,7.290785727407546,6.755923677132752
13,7.689989240873157,7.964551780393516,8.084894120905892,7.533570591706647
14,8.527917813228788,8.726301795572255,8.827489633341408,8.339452168109442
15,9.205897483234807,9.40319773197406,9.493136971118906,9.015275679155685
16,10.143483842665034,10.338082745989475,10.538143716529246,10.07910246860708
17,10.701139313434034,10.943074061662195,11.16880764549368,10.597768894679472
18,11.42793938491062,11.647433219632012,11.899012428427355,11.278273337486269
19,12.251192511946947,12.41704569609263,12.679928251061513,12.02218622742068
20,12.990973454885612,13.158865115451103,13.392232809858129,12.784119498851478
21,13.699706762794406,13.827404223812891,14.074073632871713,13.46072989133636
22,14.68200186018184,14.833595304362607,15.202317127768275,14.525083517809467
23,15.281807768753481,15.43941765073939,15.839121982718066,15.06639656322359
24,15.997321345225213,16.168902215283207,16.56015960466736,15.735216694040798
25,16.82052132880464,16.940742482032586,17.29814789249734,16.488535075969423
26,17.53606824685046,17.64898028921997,17.990560828106624,17.25187000357627
27,18.250785630197562,18.320534829912788,18.7100382483235,17.923743358599612
28,19.238149978932576,19.23786473284634,19.849255600619298,19.00162352441876
29,19.846398418520096,19.85995753133657,20.48032565265224,19.532631445040355
30,20.557232202730766,20.55607777387832,21.178301321672606,20.231984934205848
31,21.351300282299885,21.33211083821025,21.918002872274734,20.94022252635861
32,22.08610962304852,22.025457550443,22.63564846120181,21.697784094286334
33,22.79836061198826,22.658662338723982,23.357723767092075,22.39303891995415
34,23.7392070162509,23.60145178254227,24.416675161132197,23.500621470417286
35,24.326029218308236,24.24236486246555,25.05215161632372,24.095107562000596
36,25.05438237232166,24.925807061866763,25.755866860374567,24.71584992654455
37,25.93433510504688,25.6660297295655,26.52863798651666,25.47979741198622
38,26.654235248400855,26.348930268764907,27.253275576592564,26.213807599808376
39,27.369939374977747,27.05632934786516,28.01607154570834,26.913707526614356
40,28.265927328853667,27.964319170275154,29.033647019621863,28.07256837419468
41,28.88151586113311,28.60840017518683,29.68485152715764,28.672599995035405
42,29.556882203610364,29.287698504550722,30.41546779524484,29.33420799650088
43,30.41322547077201,30.030166136562173,31.152605910934643,30.03157520399365
44,31.1557283275915,30.708432492127844,31.903705515845743,30.836551008784944
45,31.851778470554272,31.390468049121775,32.66830260120315,31.593726596037342
46,32.771700208844,32.27717392590455,33.60179796766772,32.624872683678085
47,33.396990475753284,32.9185220746708,34.27645925569495,33.14766572524787
48,34.06848580254771,33.609255103701635,34.979455483438535,33.82528755260242
49,34.87316823617213,34.313992247768645,35.69977509281555,34.57653307454284
50,35.58430080743526,34.983425572549635,36.455437384569414,35.2759512013232
