episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
1,87.0,3978.0,2100.75,8403.0,1,37,26.5,106,16,200,154.0,616
2,165.0,7014.0,3372.75,13491.0,3,42,22.5,90,27,200,115.0,460
3,36.0,398.0,176.5,706.0,0,8,3.5,14,9,39,24.0,96
4,254.0,7668.0,3627.25,14509.0,6,43,24.5,98,39,200,124.0,496
5,87.0,2718.0,801.5,3206.0,1,34,11.0,44,15,200,70.25,281
6,144.0,4632.0,2823.0,11292.0,2,41,28.5,114,21,200,155.25,621
7,228.0,5478.0,2452.5,9810.0,4,41,28.0,112,33,200,158.25,633
8,102.0,6156.0,3766.5,15066.0,2,41,30.0,120,21,200,155.25,621
9,36.0,440.0,229.25,917.0,0,10,4.25,17,9,51,29.75,119
10,42.0,7704.0,3452.25,13809.0,0,42,21.75,87,9,200,112.0,448
11,69.0,5898.0,3417.75,13671.0,1,39,27.75,111,15,200,153.75,615
12,84.0,659.0,307.25,1229.0,2,11,5.75,23,21,45,36.0,144
13,132.0,5766.0,3573.0,14292.0,2,39,28.5,114,21,200,155.25,621
14,129.0,6906.0,3750.75,15003.0,3,40,29.75,119,27,200,156.75,627
15,69.0,6030.0,3536.25,14145.0,1,40,28.75,115,15,200,153.75,615
16,198.0,6990.0,3891.0,15564.0,4,41,29.75,119,33,200,158.25,633
17,798.0,6804.0,3004.5,12018.0,22,46,33.75,135,141,200,185.25,741
18,99.0,6318.0,2619.0,10476.0,3,41,21.75,87,27,200,116.25,465
19,129.0,2982.0,981.5,3926.0,3,34,13.5,54,27,200,85.0,340
20,41.0,5526.0,2084.75,8339.0,1,36,18.5,74,9,200,107.5,430
21,59.0,189.0,128.5,514.0,1,5,3.25,13,9,39,21.0,84
22,68.0,4758.0,1604.5,6418.0,2,39,17.75,71,15,200,101.5,406
23,228.0,5898.0,2783.25,11133.0,4,40,24.5,98,33,200,133.0,532
24,87.0,7302.0,3806.25,15225.0,1,42,29.5,118,15,200,153.75,615
25,98.0,669.0,315.75,1263.0,2,15,7.5,30,15,99,48.0,192
26,315.0,6636.0,2698.5,10794.0,7,40,22.75,91,51,200,128.5,514
27,86.0,1617.0,599.75,2399.0,2,19,8.25,33,15,62,41.75,167
28,150.0,8436.0,2599.5,10398.0,4,42,19.0,76,33,200,107.75,431
29,213.0,7362.0,3588.0,14352.0,5,42,24.25,97,39,200,125.5,502
30,41.0,4488.0,2071.75,8287.0,1,40,26.25,105,9,200,148.0,592
