i,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
7219,2,15,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
7793,3,15,200,0,45,42,7.800000000000027,78.00000000000027,8970.0,0,1.0,28,45
7869,0,16,21,0,2,1,0.0,0.0,138.0,4,-1.1,11,2
7880,1,16,26,0,3,2,0.0,0.0,285.0,4,-1.1,13,3
7852,2,16,15,0,1,0,0.0,0.0,93.0,0,-1.0,8,1
7905,3,16,50,0,7,1,0.0,0.0,621.0,1,-1.1,21,7
8536,0,17,200,0,44,2,7.200000000000019,72.00000000000018,9102.0,0,1.0,25,44
8537,1,17,200,1,37,29,2.9999999999999885,35.999999999999886,5964.0,0,1.0,35,38
8036,2,17,33,1,4,1,0.0,5.000000000000001,191.0,0,-0.1999999999999999,13,5
8538,3,17,200,1,37,33,2.99999999999999,35.99999999999989,3594.0,0,1.8,32,38
8619,0,18,21,0,2,0,0.0,0.0,126.0,0,-1.0,13,2
8812,1,18,200,1,46,2,8.400000000000023,90.00000000000023,8502.0,0,1.0,24,47
8621,2,18,21,0,2,0,0.0,0.0,132.0,3,-1.1,11,2
8644,3,18,32,0,4,1,0.0,0.0,258.0,1,-1.1,14,4
9419,0,19,200,0,40,3,4.800000000000016,48.00000000000016,7518.0,2,0.9,27,40
9420,1,19,200,0,39,45,4.199999999999988,41.99999999999987,5574.0,0,1.0,26,39
8847,2,19,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
9421,3,19,200,0,45,47,7.800000000000026,78.00000000000026,9414.0,0,1.0,26,45
9491,0,20,21,0,2,0,0.0,0.0,114.0,4,-1.1,12,2
9850,1,20,200,5,43,0,6.600000000000022,96.00000000000024,8898.0,0,1.8,26,48
9851,2,20,200,4,39,0,4.200000000000007,66.00000000000006,7752.0,0,1.0,23,43
9457,3,20,9,2,0,0,0.0,11.0,77.0,0,-0.1999999999999999,6,2
10150,0,21,200,0,33,0,0.5999999999999971,5.999999999999971,2028.0,0,1.0,15,33
10013,1,21,63,0,9,0,0.0,0.0,339.0,0,-1.0,15,9
9941,2,21,27,1,3,1,0.0,5.000000000000003,176.0,0,-0.1999999999999999,13,4
9887,3,21,9,2,0,0,0.0,11.0,89.0,2,-1.1,7,2
10639,0,22,200,0,41,0,5.400000000000037,54.00000000000036,8676.0,0,1.0,22,41
10640,1,22,200,1,38,1,3.6000000000000223,42.00000000000022,8232.0,1,1.8,24,39
10378,2,22,69,1,10,2,0.0,5.000000000000001,551.0,0,-1.0,27,11
10234,3,22,21,0,2,2,0.0,0.0,150.0,2,-1.1,8,2
11318,0,23,200,0,45,0,7.800000000000006,78.00000000000006,6330.0,0,1.0,34,45
11319,1,23,200,1,43,4,6.600000000000006,72.00000000000006,8154.0,0,1.0,37,44
11320,2,23,200,1,34,7,1.1999999999999948,17.999999999999947,2328.0,1,1.8,44,35
10960,3,23,80,1,12,7,0.0,5.999999999999993,804.0,0,-0.1999999999999999,32,13
11927,0,24,200,0,43,13,6.600000000000026,66.00000000000026,9060.0,0,1.0,20,43
11928,1,24,200,1,41,0,5.400000000000025,60.00000000000025,8244.0,0,1.8,23,42
11929,2,24,200,1,40,14,4.799999999999996,53.99999999999996,4176.0,0,1.8,26,41
11356,3,24,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,6,1
11994,0,25,21,1,2,0,0.0,5.000000000000001,143.0,0,-0.1999999999999999,15,3
12174,1,25,200,1,44,1,7.200000000000016,78.00000000000016,8100.0,0,1.0,20,45
11983,2,25,15,0,1,0,0.0,0.0,87.0,2,-1.1,10,1
11965,3,25,9,1,1,0,0.6,11.999999999999998,71.0,0,-1.0,7,2
12603,0,26,200,0,39,0,4.199999999999989,41.999999999999886,5292.0,1,1.8,21,39
12604,1,26,200,0,37,2,2.99999999999999,29.999999999999897,4134.0,0,1.0,39,37
12246,2,26,21,0,2,1,0.0,0.0,144.0,2,-1.1,13,2
12210,3,26,9,2,0,0,0.0,11.0,89.0,3,-1.1,6,2
13140,0,27,200,0,42,0,6.000000000000019,60.000000000000185,8178.0,0,1.0,20,42
13141,1,27,200,2,40,0,4.800000000000019,60.00000000000019,7770.0,0,1.8,30,42
12997,2,27,128,1,20,5,0.0,5.999999999999989,1206.0,0,-0.1999999999999999,32,21
12640,3,27,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,4,1
13766,0,28,200,0,41,0,5.4,54.0,6240.0,1,0.9,31,41
13767,1,28,200,0,36,34,2.3999999999999906,23.999999999999904,3174.0,4,1.1,31,36
13248,2,28,27,0,3,1,0.0,0.0,111.0,0,-1.0,9,3
13768,3,28,200,0,43,31,6.60000000000002,66.0000000000002,6324.0,0,1.0,31,43
13801,0,29,9,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
14185,1,29,200,1,43,25,6.600000000000024,72.00000000000023,8940.0,4,1.1,17,44
13803,2,29,9,0,0,0,0.0,0.0,36.0,3,-1.1,7,0
14186,3,29,200,6,42,24,6.000000000000016,96.00000000000016,9936.0,0,1.0,19,48
14615,0,30,200,0,42,2,6.00000000000003,60.0000000000003,9408.0,3,0.9,21,42
14244,1,30,15,0,1,3,0.0,0.0,81.0,4,-1.1,6,1
14245,2,30,15,0,1,0,0.0,0.0,69.0,2,-1.1,9,1
14616,3,30,200,1,42,2,6.000000000000006,66.00000000000006,8400.0,3,0.9,19,43
15039,0,31,200,0,37,0,2.999999999999988,29.99999999999988,5538.0,0,1.0,17,37
15040,1,31,200,0,36,3,2.399999999999987,23.99999999999987,5238.0,2,1.9,24,36
14651,2,31,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
14670,3,31,15,0,1,0,0.0,0.0,87.0,1,-1.1,8,1
15403,0,32,200,0,48,0,9.600000000000025,96.00000000000024,9312.0,1,1.8,23,48
15252,1,32,68,1,10,0,0.0,5.999999999999984,684.0,0,-0.1999999999999999,22,11
15289,2,32,86,1,13,5,0.0,5.999999999999975,963.0,0,-1.0,30,14
15076,3,32,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
15921,0,33,200,0,48,1,9.60000000000004,96.0000000000004,12240.0,1,1.8,20,48
15922,1,33,200,2,44,3,7.200000000000018,84.00000000000017,9912.0,1,1.8,26,46
15534,2,33,33,0,4,0,0.0,0.0,180.0,0,-1.0,9,4
15694,3,33,86,2,13,6,0.0,11.999999999999988,939.0,0,-0.1999999999999999,17,15
16410,0,34,200,0,45,0,7.800000000000042,78.00000000000041,10056.0,0,1.0,20,45
16411,1,34,200,1,43,5,6.600000000000012,72.00000000000011,7512.0,0,1.0,35,44
16005,2,34,21,1,2,0,0.0,5.000000000000002,119.0,0,-0.1999999999999999,10,3
16147,3,34,68,0,10,4,0.0,0.0,600.0,2,-1.1,24,10
17024,0,35,200,0,39,0,4.1999999999999975,41.99999999999997,5640.0,0,1.0,30,39
17025,1,35,200,0,35,38,1.7999999999999892,17.99999999999989,3036.0,4,1.1,24,35
16470,2,35,15,0,1,0,0.0,0.0,81.0,1,-1.1,9,1
17026,3,35,200,1,41,40,5.400000000000021,60.0000000000002,6636.0,0,1.0,30,42
17461,0,36,200,0,39,0,4.199999999999993,41.99999999999993,4416.0,0,1.0,15,39
17462,1,36,200,1,35,1,1.7999999999999914,23.999999999999915,2952.0,0,1.0,24,36
17116,2,36,27,2,3,1,0.0,11.000000000000004,182.0,0,-0.1999999999999999,14,5
17062,3,36,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,6,1
18069,0,37,200,0,42,2,6.000000000000028,60.00000000000027,9486.0,1,0.9,19,42
18070,1,37,200,1,39,38,4.200000000000019,48.000000000000185,7182.0,0,1.0,24,40
17497,2,37,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
18071,3,37,200,0,43,38,6.600000000000007,66.00000000000006,6768.0,3,1.9,23,43
18494,0,38,200,0,46,0,8.400000000000029,84.00000000000028,11118.0,0,1.0,16,46
18495,1,38,200,1,40,0,4.8000000000000185,54.00000000000018,7284.0,0,1.0,21,41
18106,2,38,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
18125,3,38,15,0,1,0,0.0,0.0,87.0,2,-1.1,9,1
19156,0,39,200,1,45,14,7.800000000000043,84.00000000000043,13554.0,0,1.8,25,46
19157,1,39,200,1,41,6,5.399999999999993,59.99999999999993,5814.0,0,1.0,33,42
19158,2,39,200,0,39,10,4.199999999999993,41.99999999999993,4338.0,2,0.9,35,39
18747,3,39,63,1,9,5,0.0,5.000000000000004,500.0,0,-1.0,18,10
19794,0,40,200,0,41,3,5.399999999999997,53.999999999999964,5094.0,1,1.8,26,41
19795,1,40,200,1,41,2,5.400000000000038,60.00000000000037,9378.0,0,1.0,30,42
19796,2,40,200,0,40,6,4.8,47.99999999999999,6162.0,1,1.8,35,40
19310,3,40,38,2,5,4,0.0,11.999999999999996,369.0,4,-1.1,21,7
20409,0,41,200,0,41,0,5.400000000000013,54.00000000000013,7344.0,0,1.0,27,41
20410,1,41,200,0,37,37,2.999999999999988,29.99999999999988,4374.0,0,1.0,34,37
19855,2,41,15,0,1,1,0.0,0.0,99.0,0,-1.0,8,1
20411,3,41,200,0,42,39,6.00000000000002,60.0000000000002,6882.0,0,1.0,33,42
20662,0,42,200,0,34,0,1.2,11.999999999999998,1788.0,1,1.8,13,34
20482,1,42,21,0,2,0,0.0,0.0,126.0,0,-1.0,11,2
20483,2,42,21,1,2,1,0.0,5.000000000000003,143.0,0,-0.1999999999999999,12,3
20447,3,42,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,6,1
21103,0,43,200,0,44,1,7.200000000000007,72.00000000000007,7638.0,1,1.8,18,44
21104,1,43,200,1,37,2,2.999999999999987,35.99999999999987,4554.0,0,1.0,21,38
20745,2,43,21,1,2,0,0.0,5.000000000000002,101.0,0,-0.1999999999999999,10,3
20746,3,43,21,0,2,4,0.0,0.0,156.0,2,-1.1,8,2
21711,0,44,200,1,41,9,5.400000000000012,60.000000000000114,6996.0,0,1.8,22,42
21712,1,44,200,1,38,1,3.5999999999999863,41.99999999999986,4806.0,0,1.0,27,39
21713,2,44,200,0,40,10,4.799999999999996,47.99999999999996,3420.0,0,1.0,23,40
21140,3,44,9,2,0,1,0.0,11.0,77.0,2,-1.1,8,2
22326,0,45,200,0,42,0,6.000000000000029,60.00000000000029,9126.0,3,0.9,23,42
22327,1,45,200,0,37,45,3.0000000000000244,30.00000000000024,8202.0,0,1.0,15,37
21772,2,45,15,0,1,0,0.0,0.0,75.0,0,-1.0,7,1
22328,3,45,200,1,47,43,9.000000000000023,96.00000000000024,9846.0,0,1.8,17,48
22751,0,46,200,0,46,0,8.400000000000027,84.00000000000027,10002.0,0,1.0,13,46
22752,1,46,200,2,39,2,4.200000000000016,54.00000000000016,7836.0,0,1.0,20,41
22382,2,46,15,0,1,0,0.0,0.0,75.0,0,-1.0,9,1
22364,3,46,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,6,2
23359,0,47,200,0,41,0,5.4,53.99999999999999,6798.0,1,1.8,26,41
23360,1,47,200,0,36,40,2.3999999999999866,23.999999999999865,4662.0,4,1.1,28,36
22787,2,47,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
23361,3,47,200,1,44,37,7.200000000000005,78.00000000000004,6102.0,0,1.0,27,45
23992,0,48,200,0,39,0,4.199999999999995,41.99999999999994,6210.0,0,1.0,31,39
23993,1,48,200,0,38,25,3.5999999999999885,35.999999999999886,4356.0,0,1.0,33,38
23492,2,48,33,0,4,0,0.0,0.0,186.0,0,-1.0,12,4
23994,3,48,200,1,35,28,1.7999999999999914,23.999999999999915,2904.0,0,1.8,38,36
24411,0,49,200,1,44,1,7.20000000000002,78.00000000000018,8496.0,0,1.8,24,45
24028,1,49,9,0,0,1,0.0,0.0,42.0,4,-1.1,7,0
24029,2,49,9,0,0,1,0.0,0.0,42.0,2,-1.1,7,0
24412,3,49,200,2,40,3,4.800000000000007,60.00000000000007,7608.0,0,1.0,20,42
25055,0,50,200,0,35,0,1.799999999999986,17.999999999999858,5166.0,1,1.8,33,35
25056,1,50,200,0,37,26,2.99999999999999,29.999999999999897,4044.0,4,0.9,48,37
24591,2,50,45,1,6,1,0.0,5.000000000000003,311.0,0,-0.1999999999999999,23,7
25057,3,50,200,1,35,31,1.79999999999999,23.9999999999999,2958.0,0,1.8,42,36
25104,0,51,15,0,1,0,0.0,0.0,87.0,0,-1.0,9,1
25290,1,51,200,1,48,0,9.600000000000025,102.00000000000024,9474.0,0,1.0,18,49
25092,2,51,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
25093,3,51,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,6,1
25903,0,52,200,1,43,17,6.600000000000036,72.00000000000036,9978.0,0,1.8,23,44
25904,1,52,200,1,39,1,4.19999999999999,47.9999999999999,5202.0,0,1.0,25,40
25905,2,52,200,0,42,16,5.999999999999997,59.99999999999997,4566.0,0,1.0,33,42
25350,3,52,15,1,1,3,0.0,5.000000000000002,116.0,0,-1.0,12,2
26358,0,53,200,1,43,29,6.600000000000038,72.00000000000037,9306.0,0,1.0,25,44
25939,1,53,9,0,0,1,0.0,0.0,42.0,1,-1.1,6,0
26359,2,53,200,0,43,26,6.600000000000014,66.00000000000013,6480.0,0,1.0,30,43
26049,3,53,45,0,6,3,0.0,0.0,432.0,0,-1.0,15,6
26628,0,54,200,0,50,0,10.80000000000004,108.0000000000004,13782.0,1,1.8,14,50
26441,1,54,21,0,2,1,0.0,0.0,132.0,0,-1.0,11,2
26455,2,54,27,2,3,0,0.0,11.0,224.0,2,-1.1,13,5
26443,3,54,21,1,2,1,0.0,5.000000000000003,149.0,0,-1.0,13,3
26698,0,55,21,0,2,0,0.0,0.0,150.0,4,-1.1,8,2
26879,1,55,200,1,44,0,7.2000000000000135,78.00000000000013,7362.0,0,1.0,23,45
26700,2,55,21,1,2,0,0.0,5.000000000000002,119.0,0,-1.0,10,3
26664,3,55,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,6,1
27344,0,56,200,0,45,0,7.80000000000003,78.0000000000003,9582.0,1,1.8,15,45
27345,1,56,200,1,41,3,5.400000000000012,60.000000000000114,7686.0,0,1.0,21,42
27010,2,56,33,0,4,1,0.0,0.0,162.0,0,-1.0,13,4
27011,3,56,33,0,4,5,0.0,0.0,294.0,2,-1.1,9,4
27845,0,57,200,0,44,28,7.2000000000000215,72.00000000000021,8796.0,0,1.0,24,44
27379,1,57,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,6,1
27846,2,57,200,0,40,25,4.800000000000005,48.00000000000005,5220.0,0,1.0,30,40
27630,3,57,92,0,14,1,0.0,0.0,1032.0,3,-1.1,25,14
27898,0,58,15,1,1,0,0.0,5.000000000000001,104.0,0,-1.0,9,2
27899,1,58,15,0,1,1,0.0,0.0,93.0,1,-1.1,10,1
28085,2,58,200,9,34,0,1.1999999999999948,65.99999999999994,7116.0,0,1.0,20,43
27882,3,58,9,2,1,0,0.6,17.999999999999996,83.0,3,-1.1,7,3
28531,0,59,200,0,44,0,7.200000000000043,72.00000000000043,9432.0,1,1.8,18,44
28532,1,59,200,1,45,0,7.800000000000017,84.00000000000016,9882.0,0,1.0,18,46
28208,2,59,38,2,5,2,0.0,11.999999999999988,399.0,0,-0.1999999999999999,16,7
28121,3,59,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
29139,0,60,200,0,43,25,6.600000000000035,66.00000000000034,10032.0,0,1.0,22,43
29140,1,60,200,1,38,0,3.60000000000002,42.00000000000019,7290.0,0,1.0,23,39
29141,2,60,200,0,41,29,5.400000000000016,54.00000000000015,6624.0,0,1.0,26,41
28568,3,60,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,7,1
29218,0,61,27,0,3,0,0.0,0.0,201.0,0,-1.0,13,3
29392,1,61,200,1,50,0,10.800000000000033,114.00000000000033,11232.0,1,1.8,26,51
29195,2,61,15,1,1,0,0.0,5.000000000000002,92.0,0,-1.0,12,2
29177,3,61,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,4,2
29637,0,62,200,1,33,0,0.6,11.999999999999998,1626.0,0,1.8,16,34
29458,1,62,21,0,2,0,0.0,0.0,114.0,0,-1.0,12,2
29446,2,62,15,2,1,0,0.0,11.0,122.0,2,-1.1,9,3
29428,3,62,9,2,0,1,0.0,11.0,95.0,2,-1.1,6,2
30280,0,63,200,0,43,15,6.600000000000032,66.00000000000031,9432.0,0,1.0,24,43
30281,1,63,200,0,45,2,7.800000000000029,78.00000000000028,9720.0,1,1.8,34,45
30282,2,63,200,1,41,15,5.400000000000002,60.000000000000014,4434.0,0,1.0,36,42
29817,3,63,45,1,6,2,0.0,5.000000000000001,365.0,0,-1.0,21,7
30907,0,64,200,0,42,0,6.000000000000004,60.00000000000004,5628.0,0,1.0,23,42
30908,1,64,200,0,39,33,4.2,42.0,6312.0,0,1.0,31,39
30389,2,64,27,0,3,1,0.0,0.0,147.0,1,-1.1,11,3
30909,3,64,200,1,37,37,2.999999999999988,35.99999999999988,5124.0,0,1.0,26,38
31516,0,65,200,0,41,0,5.4,54.0,4788.0,3,0.9,27,41
31517,1,65,200,0,39,37,4.199999999999988,41.99999999999987,5592.0,0,1.0,30,39
30944,2,65,9,0,0,0,0.0,0.0,36.0,3,-1.1,6,0
31518,3,65,200,2,38,40,3.599999999999985,47.99999999999985,5268.0,0,1.8,33,40
31630,0,66,33,0,4,0,0.0,0.0,192.0,0,-1.0,16,4
31965,1,66,200,3,46,1,8.400000000000029,102.00000000000028,11202.0,1,1.8,22,49
31966,2,66,200,2,44,0,7.2000000000000215,84.00000000000021,9162.0,1,1.8,22,46
31578,3,66,15,2,1,1,0.0,11.0,140.0,2,-1.1,9,3
32229,0,67,200,0,33,0,0.6,5.999999999999999,1704.0,0,1.0,16,33
32062,1,67,33,0,4,0,0.0,0.0,168.0,0,-1.0,15,4
32038,2,67,21,1,2,1,0.0,5.000000000000003,125.0,0,-0.1999999999999999,11,3
32002,3,67,9,2,0,0,0.0,11.0,83.0,2,-1.1,6,2
32286,0,68,15,0,1,0,0.0,0.0,63.0,4,-1.1,8,1
32480,1,68,200,1,44,0,7.200000000000027,78.00000000000026,8994.0,0,1.0,18,45
32301,2,68,21,0,2,1,0.0,0.0,120.0,4,-1.1,12,2
32289,3,68,15,2,1,1,0.0,11.0,140.0,2,-1.1,7,3
33123,0,69,200,0,47,29,9.000000000000043,90.00000000000043,11346.0,0,1.0,27,47
33124,1,69,200,2,40,1,4.80000000000002,60.0000000000002,8268.0,0,1.0,31,42
33125,2,69,200,1,43,29,6.600000000000033,72.00000000000033,8406.0,0,1.8,26,44
32660,3,69,45,0,6,2,0.0,0.0,276.0,2,-1.1,16,6
33364,0,70,200,0,47,0,9.000000000000044,90.00000000000044,12210.0,0,1.0,10,47
33159,1,70,9,0,0,0,0.0,0.0,36.0,2,-1.1,6,0
33185,2,70,21,1,2,1,0.0,5.0,149.0,0,-1.0,9,3
33161,3,70,9,1,0,1,0.0,5.000000000000001,53.0,0,-1.0,6,1
33977,0,71,200,1,43,27,6.600000000000043,72.00000000000043,9894.0,0,1.0,38,44
33610,1,71,62,0,9,6,0.0,0.0,933.0,0,-1.0,33,9
33978,2,71,200,0,43,21,6.6000000000000085,66.00000000000009,6930.0,0,1.0,34,43
33882,3,71,152,0,24,4,0.0,0.0,1608.0,3,-1.1,36,24
34585,0,72,200,0,41,0,5.400000000000008,54.00000000000008,6924.0,3,0.9,27,41
34586,1,72,200,0,36,43,2.399999999999988,23.99999999999988,3972.0,0,1.0,27,36
34013,2,72,9,0,0,1,0.0,0.0,42.0,1,-1.1,6,0
34587,3,72,200,1,44,42,7.200000000000011,78.0000000000001,7914.0,0,1.0,25,45
34644,0,73,15,0,1,1,0.0,0.0,93.0,4,-1.1,8,1
35016,1,73,200,4,46,0,8.40000000000002,108.0000000000002,10032.0,0,1.0,21,50
35017,2,73,200,5,39,0,4.200000000000001,72.0,7668.0,1,1.8,24,44
34647,3,73,15,3,1,0,0.0,17.0,188.0,3,-1.1,9,4
35648,0,74,200,1,45,26,7.800000000000047,84.00000000000045,11778.0,0,1.8,29,46
35649,1,74,200,1,41,3,5.40000000000003,60.00000000000029,9486.0,0,1.0,26,42
35650,2,74,200,1,39,28,4.200000000000031,48.00000000000031,6798.0,2,1.1,32,40
35149,3,74,33,0,4,3,0.0,0.0,234.0,2,-1.1,14,4
36293,0,75,200,0,39,6,4.199999999999994,41.999999999999936,5970.0,0,1.0,27,39
36294,1,75,200,0,41,2,5.400000000000034,54.00000000000034,8478.0,0,1.0,28,41
36295,2,75,200,1,39,7,4.199999999999996,47.99999999999995,5556.0,0,1.8,27,40
35830,3,75,45,2,6,3,0.0,11.000000000000002,401.0,0,-1.0,15,8
36808,0,76,200,0,44,19,7.200000000000023,72.00000000000023,8250.0,3,1.9,28,44
36618,1,76,105,0,16,0,0.0,0.0,810.0,1,-1.1,23,16
36809,2,76,200,0,41,21,5.399999999999997,53.999999999999964,4158.0,0,1.0,30,41
36331,3,76,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
37416,0,77,200,0,44,10,7.200000000000035,72.00000000000034,10824.0,0,1.0,20,44
37417,1,77,200,2,38,0,3.6000000000000405,48.000000000000405,9870.0,0,1.8,18,40
37418,2,77,200,0,37,16,2.999999999999992,29.99999999999992,3570.0,2,0.9,22,37
36845,3,77,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,6,1
37847,0,78,200,0,37,0,2.999999999999992,29.99999999999992,6240.0,0,1.0,12,37
37848,1,78,200,0,36,2,2.3999999999999866,23.999999999999865,5940.0,0,1.0,22,36
37453,2,78,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
37490,3,78,21,0,2,0,0.0,0.0,108.0,1,-1.1,9,2
37881,0,79,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
38265,1,79,200,3,47,0,9.000000000000023,108.0000000000002,11394.0,0,1.0,18,50
