df_label,gini_days_mean,gini_days_median,gini_days_stdev,gini_days_summary,gini_berries_mean,gini_berries_median,gini_berries_stdev,gini_berries_summary,min_days_mean,min_days_median,min_days_stdev,min_days_summary,min_berries_mean,min_berries_median,min_berries_stdev,min_berries_summary,max_days_mean,max_days_median,max_days_stdev,max_days_summary,max_berries_mean,max_berries_median,max_berries_stdev,max_berries_summary,total_days_mean,total_days_median,total_days_stdev,total_days_summary,total_berries_mean,total_berries_median,total_berries_stdev,total_berries_summary,episode_length_mean,episode_length_median,episode_length_stdev
baseline,0.38394496623636626,0.38624111737319283,0.13165049856666644,0.6385355850428927,0.4333911916755475,0.4375,0.1376213259460036,0.7332698657295439,16.928,9.0,13.780228978892575,12.147771021107426,2.064,1.0,2.2434208113809,0.8205791886190998,179.182,200.0,49.06983518134868,330.1121648186513,35.475,39.0,11.663679368724795,62.8113206312752,380.335,370.5,166.57974542718748,584.2552545728125,69.121,64.5,34.08237032494904,99.53862967505094,95.08375,51.0,83.91104517173501
utilitarian,0.3304101740086469,0.33663125875907757,0.13165285770680654,0.535388575060918,0.37500422742981515,0.3814144736842105,0.14343760238861814,0.6129810987254075,25.413,15.0,27.89599644425016,12.517003555749838,3.234,2.0,4.68713272835464,0.5468672716453602,161.025,200.0,55.39820697763003,305.62679302236995,29.284,35.0,12.053490392024653,52.230509607975335,379.3,335.0,195.36916110048972,518.9308388995103,65.823,56.0,39.1333245212835,82.6896754787165,94.825,57.0,79.47843154133119
maximin,0.3672696693782802,0.3810572687224669,0.10999910033443104,0.6383278377663161,0.4202069335432049,0.43181818181818177,0.11923196382637183,0.7327931515350149,18.67,15.0,13.104534666627,20.565465333373,2.087,1.0,2.138224263963676,0.9487757360363243,185.966,200.0,41.77592694449846,344.19007305550156,37.947,41.0,9.495175056277233,69.45182494372277,424.787,447.0,142.87245420013323,728.9145457998668,79.513,86.0,29.064352178701103,136.4486478212989,106.19675,68.0,85.37846865671133
egalitarian,0.4073516390992281,0.40970149253731347,0.10198850045817681,0.7150646311783648,0.47957056658557745,0.47159090909090906,0.11011728258018207,0.8410441930963045,18.949,15.0,12.574120546086215,21.374879453913785,1.963,1.0,2.1545935285508664,0.8084064714491337,196.922,200.0,21.765607220053795,375.15639277994626,42.907,44.0,5.720058572258686,81.18694142774132,402.185,430.0,111.42555554911732,720.7594444508826,77.141,83.0,21.899422451373088,138.24157754862694,100.54625,57.0,83.75446294648043
average,0.31452023632189263,0.30841790319038803,0.10652803515995193,0.5164101043523287,0.37494732546285486,0.3797109082397004,0.11184300461346534,0.64281522908909,23.289,21.0,16.07033710706576,28.21866289293424,2.805,2.0,2.588372978277025,2.216627021722975,174.162,200.0,54.92914496846795,319.2328550315321,35.004,40.0,11.473343959875935,63.53065604012406,427.384,460.0,172.05303482005422,715.3309651799458,78.639,87.5,34.19494075112535,131.94405924887465,106.846,69.0,82.10884087257205
majoritarian,0.42235412500559233,0.43023255813953487,0.11842462268925041,0.7341620604558767,0.47132146784654466,0.46875,0.12876039347528215,0.8113110743712626,13.881,9.0,16.722274769703834,6.158725230296167,1.671,1.0,2.9528763059902254,-0.2818763059902252,189.479,200.0,35.91413905948998,353.5648609405101,37.646,40.0,8.715195846258341,68.93080415374166,381.281,406.0,139.31219590160413,647.9688040983958,69.558,73.0,27.138370016033146,115.41962998396684,95.32025,45.0,85.32830081319689
veto,0.34919626671588844,0.36391606361118556,0.1508355716931432,0.5622767586339308,0.4032977873510623,0.4115773115773116,0.17125944419013625,0.6436156547382377,30.496,15.0,36.028322525813266,9.46767747418673,4.143,2.0,6.15926030359876,-0.016260303598760295,190.587,200.0,32.9570416997278,357.62995830027216,37.754,40.0,8.295197061811992,69.458802938188,432.834,430.0,167.2226894648925,695.6113105351076,77.524,77.5,30.625076641852168,124.39892335814784,108.2085,86.0,82.08416705047382
optimist,0.44813958682690863,0.45500392657308336,0.10366688756380255,0.7994766258361894,0.5151321328713462,0.5263238916256158,0.10826464911451457,0.9331913753824473,13.488,9.0,9.210683617011968,13.277316382988031,1.504,1.0,1.5265367058522747,0.9774632941477253,189.994,200.0,35.37305778720886,354.6209422127912,39.47,42.0,9.257580828856035,72.21241917114396,339.656,323.0,110.41650904402597,552.239490955974,62.424,62.0,22.060981639784547,102.36301836021546,84.914,44.0,79.83495480679031
