day,baseline,egalitarian,maximin,utilitarian,all_principles,multiobjective_mp
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.16000000000000003,0.076,0.18900000000000003,0.155,0.15500000000000003,0.185
3.0,0.6729999999999999,0.471,0.7290000000000001,0.629,0.623,0.768
4.0,0.975,0.9219999999999999,1.135,1.254,1.1300000000000001,1.246
5.0,1.3790000000000002,1.418,1.619,1.9779999999999998,1.818,1.8610000000000002
6.0,1.873,2.274,2.16,2.807,2.398,2.6750000000000003
7.0,2.591,3.051,2.915,3.4899999999999998,3.269,3.473
8.0,3.5260000000000002,3.739,3.916,4.2860000000000005,3.9379999999999997,4.245
9.0,4.286,4.529,4.636,4.916,4.567,4.9559999999999995
10.0,5.358308374349669,5.4037199633731925,5.591612695215792,5.970260996338666,5.656109009055168,5.741655393263493
11.0,5.85038704543166,5.977961733832417,6.030839902401816,6.63794446589035,6.318093263833832,6.318926803756223
12.0,6.483884987135346,6.697753524409952,6.708103208280011,7.392347295459285,6.981695111306292,7.093979572079884
13.0,7.276897562028747,7.495495838062652,7.567756953398001,8.09403193007954,7.7229305174676455,7.967588953845491
14.0,8.134184768023196,8.20458186542472,8.477705030249028,8.800389084632885,8.376655912917379,8.760254755649372
15.0,8.85366958460477,8.892398389867376,9.146329680039464,9.505720409624704,9.046151326510167,9.456475580639774
16.0,9.907589500151456,9.970772486560655,10.167811706933406,10.695999732522456,10.384406778849197,10.321793884798725
17.0,10.40221805522263,10.610539922968005,10.780908844046124,11.339361573914477,11.057357780206786,10.93970090347997
18.0,11.065964919140049,11.338559322460407,11.44500406421705,12.065434543623528,11.74425298382855,11.742504602619423
19.0,11.872045917315672,12.086112182486287,12.252298967130772,12.778501434411817,12.389988157057525,12.559213237540844
20.0,12.641507982987886,12.773026917878077,13.051658242176476,13.453302157042092,13.07454471770146,13.31075047084386
21.0,13.360140800358977,13.510387630962414,13.723360280817278,14.170058065127595,13.711529477394414,14.012572901294774
22.0,14.471321934462578,14.631419835329076,14.788242967892991,15.396178750905598,14.937541129800058,15.025714791880937
23.0,15.020631031252847,15.25545848583381,15.387580305812712,16.04636820995088,15.59353768301883,15.714001842079185
24.0,15.672684221356299,15.988705713498792,16.0941198448142,16.740717070839054,16.341231296404242,16.471869828368742
25.0,16.45251304548004,16.755919369507332,16.902501468503512,17.451566354792163,17.002071670216214,17.263680184314875
26.0,17.338182151901233,17.435887283907647,17.65953478212246,18.12622140550217,17.680126434989546,17.94796387346365
27.0,18.04270111850298,18.12283052538724,18.4184661925681,18.782695085512845,18.339744132494115,18.75060606160813
28.0,19.05161876100749,19.265076146642688,19.373017529189518,19.927045484533394,19.572624528860057,19.632889068848943
29.0,19.66613016829519,19.955714852279176,19.96245959211069,20.65208711382704,20.243502611332524,20.33272254129208
30.0,20.311911119779055,20.627216105309497,20.701153779005416,21.372539045985107,20.961919010134928,21.11882193017383
31.0,21.09307264932803,21.345065632796526,21.431566263696336,22.031497047357355,21.64632710900338,21.87675260183013
32.0,21.82914648060174,22.05100830064639,22.191729905430385,22.732699329328188,22.375917969972626,22.57724375758768
33.0,22.58013338558351,22.709845131532532,22.967688854095243,23.472283708952425,23.06055224361417,23.292691059473682
34.0,23.679441426327713,23.831769333433765,24.075632316571326,24.575965428883087,23.977320352125094,24.241286123444702
35.0,24.32747063777446,24.51800557184397,24.790927549957214,25.21102051664667,24.621035580386295,24.982765262938326
36.0,25.05462186539433,25.22884070428232,25.499259743583966,25.96415878727577,25.318276307932443,25.787406701763082
37.0,25.767469133035675,25.955784039091075,26.193836564938593,26.64040749910763,26.108176501164735,26.53589263130068
38.0,26.52908289601386,26.657685065683356,26.95925004140748,27.3322515354687,26.786418221953145,27.26886967751402
39.0,27.319937372729854,27.41229197553038,27.731660390207715,28.099119878758945,27.547640630190127,27.976851386488693
40.0,28.20944017229666,28.40952888716399,28.682644795858096,29.052438372529064,28.44727364246484,28.89424469243771
41.0,28.85238992960436,29.095937859777287,29.38790038467326,29.726879657821918,29.05390015018974,29.641773805305696
42.0,29.58061310292044,29.760534528265097,30.03405112158754,30.42350741337656,29.814287635640813,30.382715791336786
43.0,30.312112572247244,30.52332652039619,30.833894786845686,31.077012162914027,30.583273367901374,31.136589400225294
44.0,31.173191281277838,31.18767914715302,31.578593255293203,31.798793910411163,31.31969778354459,31.90743318542151
45.0,31.995009007501228,31.92897885102891,32.38791614300627,32.644723171781436,32.011175595883216,32.61402896380144
46.0,32.850581221095425,32.91844920814285,33.37899659803244,33.697699538097005,32.92334646427387,33.468619296300226
47.0,33.50385415875475,33.63457673536648,33.99929842298398,34.33910588224442,33.510378251957135,34.21392397052247
48.0,34.19986986938329,34.34835780727766,34.752529646301106,35.04668993619234,34.22776260636021,34.93778123017087
49.0,34.98289907635447,34.99456588008667,35.42708780737493,35.758078478519266,34.981899050448206,35.73808423663403
50.0,35.70424855669328,35.65158682656403,36.14915146491991,36.49110762206411,35.76951509002325,36.47267887903597
51.0,36.49372060112912,36.44793532873294,36.977275874648015,37.405007910632655,36.486226724116044,37.212829202467574
52.0,37.46908492339732,37.5302495148194,38.014356688256186,38.23420869971164,37.446565667007704,38.120376794938046
53.0,38.11041276387873,38.22432000702571,38.71685549151369,38.93718499704928,38.014957894961285,38.88495490447699
54.0,38.83048604098077,38.92289894874298,39.480917200942656,39.616167589369425,38.65132452135298,39.63910490989759
55.0,39.52114951442566,39.61542053297804,40.18482705666971,40.34637500254777,39.59136432759082,40.364755154167746
56.0,40.26409094331267,40.35932976814903,40.92549347853624,41.08581887927668,40.285916483760175,41.102229210297494
57.0,40.99409996191987,41.13860229209927,41.76407088283647,41.88367008812777,41.02182085882673,41.876536667251465
58.0,41.984849046574936,42.11632174401325,42.63155721903757,42.73207086017658,41.86808730955835,42.69379063695768
59.0,42.60960425238541,42.79734241453717,43.3623253320729,43.37357310568497,42.469062983868234,43.398694034556726
60.0,43.31069832870764,43.46325590888225,44.09417235725037,44.04227586736813,43.237341869583844,44.14776296508258
61.0,44.02614097747352,44.16097589502018,44.8031300356723,44.868432768414486,44.04587052042032,44.91917856648666
62.0,44.84347789866334,44.89363717832835,45.50008742295401,45.53747227631558,44.74764117537279,45.68409705893643
63.0,45.621436119379666,45.73731979019557,46.39588677814792,46.356475504418064,45.45904173534733,46.376597681480895
64.0,46.56000439846704,46.62964028203846,47.35064996914532,47.28276671111452,46.28996811955352,47.23369275149852
