agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms
0,utilitarian,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
1,utilitarian,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
2,baseline,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
3,baseline,1,2,0,0,0,0.7000000000000001,7.0,15.0,0,0,1
0,utilitarian,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,2
1,utilitarian,1,3,0,0,0,0.6000000000000001,6.000000000000001,21.0,0,0,2
2,baseline,1,3,1,0,0,0.6000000000000001,12.000000000000002,27.0,0,1,2
3,baseline,1,3,1,0,0,0.6000000000000001,12.000000000000002,27.0,0,1,1
0,utilitarian,1,4,0,0,0,0.5000000000000001,5.000000000000001,26.0,0,0,3
1,utilitarian,1,4,1,0,0,0.5000000000000001,11.0,32.0,0,0.8,3
2,baseline,1,4,0,2,0,1.7000000000000002,17.0,44.0,1,1,3
3,baseline,1,4,0,0,1,0.5000000000000001,5.000000000000001,32.0,4,0.5,2
0,utilitarian,1,5,1,0,0,0.40000000000000013,10.0,36.0,0,0.8,4
1,utilitarian,1,5,0,1,0,1.0,10.0,42.0,1,0.8,4
2,baseline,1,5,0,2,0,1.6,16.0,60.0,0,0,4
3,baseline,1,5,0,0,1,0.40000000000000013,4.000000000000001,36.0,0,0,3
0,utilitarian,1,6,0,1,0,0.9,9.0,45.0,1,0.8,5
1,utilitarian,1,6,1,1,0,0.9,15.0,57.0,0,0.8,4
2,baseline,1,6,0,2,0,1.5,15.0,75.0,0,0,5
3,baseline,1,6,0,0,1,0.30000000000000016,3.0000000000000013,39.0,0,0,4
0,utilitarian,1,7,0,1,0,0.8,8.0,53.0,0,0,5
1,utilitarian,1,7,0,1,1,0.8,8.0,65.0,3,0.5,5
2,baseline,1,7,0,3,0,2.0,20.0,89.0,0,0,5
3,baseline,1,7,1,0,1,0.20000000000000015,8.000000000000002,47.0,0,1,4
0,utilitarian,1,8,1,1,0,0.7000000000000001,13.0,66.0,0,0.8,6
1,utilitarian,1,8,0,1,1,0.7000000000000001,7.0,72.0,0,0,6
2,baseline,1,8,1,3,0,1.9,25.0,114.0,0,1,6
3,baseline,1,8,1,0,1,0.10000000000000014,7.000000000000002,54.0,0,0,5
0,utilitarian,1,9,0,2,0,1.2,11.999999999999998,78.0,1,0.8,7
1,utilitarian,1,9,0,1,1,0.6000000000000001,6.000000000000001,78.0,0,0,6
2,baseline,1,9,0,4,0,2.4,23.999999999999996,138.0,1,1,7
3,baseline,1,9,0,1,1,0.6000000000000002,6.000000000000002,60.0,1,1,6
0,utilitarian,1,10,0,2,0,1.0999999999999999,10.999999999999998,89.0,0,0,7
1,utilitarian,1,10,1,1,1,0.5000000000000001,11.0,89.0,0,0.8,6
2,baseline,1,10,0,4,0,2.3,22.999999999999996,161.0,0,0,7
3,baseline,1,10,0,1,1,0.5000000000000002,5.000000000000002,65.0,0,0,7
0,utilitarian,1,11,0,2,0,0.9999999999999999,9.999999999999998,99.0,0,0,7
1,utilitarian,1,11,0,2,1,1.0,10.0,99.0,1,0.8,6
2,baseline,1,11,0,4,0,2.1999999999999997,21.999999999999996,183.0,0,0,8
3,baseline,1,11,0,1,1,0.40000000000000024,4.000000000000002,69.0,0,0,7
0,utilitarian,1,12,0,2,0,0.8999999999999999,8.999999999999998,108.0,0,0,7
1,utilitarian,1,12,0,2,1,0.9,9.0,108.0,0,0,6
2,baseline,1,12,0,4,0,2.0999999999999996,20.999999999999996,204.0,0,0,9
3,baseline,1,12,0,1,1,0.30000000000000027,3.0000000000000027,72.0,0,0,8
0,utilitarian,1,13,1,2,0,0.7999999999999999,13.999999999999998,122.0,0,0.8,7
1,utilitarian,1,13,0,2,1,0.8,8.0,116.0,0,0,6
2,baseline,1,13,0,4,0,1.9999999999999996,19.999999999999993,224.0,0,0,9
3,baseline,1,13,0,1,1,0.20000000000000026,2.0000000000000027,74.0,0,0,9
0,utilitarian,1,14,0,3,0,1.2999999999999998,12.999999999999998,135.0,1,0.8,7
1,utilitarian,1,14,0,2,1,0.7000000000000001,7.0,123.0,0,0,6
2,baseline,1,14,0,4,0,1.8999999999999995,18.999999999999993,243.0,0,0,10
3,baseline,1,14,0,1,1,0.10000000000000026,1.0000000000000024,75.0,0,0,9
0,utilitarian,1,15,0,3,0,1.1999999999999997,11.999999999999996,147.0,0,0,7
1,utilitarian,1,15,0,2,1,0.6000000000000001,6.000000000000001,129.0,0,0,6
2,baseline,1,15,0,4,0,1.7999999999999994,17.999999999999993,261.0,0,0,10
3,baseline,1,15,0,1,1,2.498001805406602e-16,2.4980018054066022e-15,75.0,0,0,9
0,utilitarian,1,16,0,3,0,1.0999999999999996,10.999999999999996,158.0,0,0,8
1,utilitarian,1,16,1,2,1,0.5000000000000001,11.0,140.0,0,0.8,6
2,baseline,1,16,0,4,0,1.6999999999999993,16.999999999999993,278.0,0,0,10
3,baseline,1,16,0,1,1,0,0,75.0,3,-1.2,10
0,utilitarian,1,17,0,3,0,0.9999999999999997,9.999999999999996,168.0,0,0,8
1,utilitarian,1,17,0,3,1,1.0,10.0,150.0,1,0.8,7
2,baseline,1,17,1,4,0,1.5999999999999992,21.999999999999993,300.0,0,1,11
0,utilitarian,1,18,0,3,0,0.8999999999999997,8.999999999999996,177.0,0,0,9
1,utilitarian,1,18,0,3,1,0.9,9.0,159.0,0,0,8
2,baseline,1,18,0,5,0,2.099999999999999,20.99999999999999,321.0,1,1,12
0,utilitarian,1,19,0,3,0,0.7999999999999997,7.9999999999999964,185.0,0,0,9
1,utilitarian,1,19,0,3,1,0.8,8.0,167.0,0,0,8
2,baseline,1,19,0,5,0,1.9999999999999991,19.99999999999999,341.0,0,0,13
0,utilitarian,1,20,1,3,0,0.6999999999999997,12.999999999999998,198.0,0,0.8,9
1,utilitarian,1,20,1,3,1,0.7000000000000001,13.0,180.0,0,0.8,8
2,baseline,1,20,0,5,0,1.899999999999999,18.99999999999999,360.0,0,0,14
0,utilitarian,1,21,0,4,0,1.1999999999999997,11.999999999999996,210.0,1,0.8,10
1,utilitarian,1,21,0,4,1,1.2,11.999999999999998,192.0,1,0.8,9
2,baseline,1,21,0,5,0,1.799999999999999,17.99999999999999,378.0,0,0,14
0,utilitarian,1,22,0,4,0,1.0999999999999996,10.999999999999996,221.0,0,0,10
1,utilitarian,1,22,0,4,1,1.0999999999999999,10.999999999999998,203.0,0,0,10
2,baseline,1,22,0,5,0,1.6999999999999988,16.999999999999986,395.0,0,0,14
0,utilitarian,1,23,1,4,0,0.9999999999999997,15.999999999999996,237.0,0,0.8,10
1,utilitarian,1,23,0,4,1,0.9999999999999999,9.999999999999998,213.0,0,0,10
2,baseline,1,23,0,5,0,1.5999999999999988,15.999999999999988,411.0,0,0,15
0,utilitarian,1,24,0,5,0,1.4999999999999996,14.999999999999995,252.0,1,0.8,11
1,utilitarian,1,24,0,4,1,0.8999999999999999,8.999999999999998,222.0,0,0,10
2,baseline,1,24,0,5,0,1.4999999999999987,14.999999999999986,426.0,0,0,15
0,utilitarian,1,25,0,5,0,1.3999999999999995,13.999999999999995,266.0,0,0,11
1,utilitarian,1,25,0,4,1,0.7999999999999999,7.999999999999999,230.0,0,0,10
2,baseline,1,25,0,5,0,1.3999999999999986,13.999999999999986,440.0,0,0,15
0,utilitarian,1,26,0,5,0,1.2999999999999994,12.999999999999993,279.0,0,0,11
1,utilitarian,1,26,0,4,1,0.7,6.999999999999999,237.0,0,0,10
2,baseline,1,26,0,5,0,1.2999999999999985,12.999999999999984,453.0,0,0,15
0,utilitarian,1,27,0,5,0,1.1999999999999993,11.999999999999993,291.0,0,0,11
1,utilitarian,1,27,0,4,1,0.6,5.999999999999999,243.0,0,0,10
2,baseline,1,27,0,5,0,1.1999999999999984,11.999999999999984,465.0,0,0,15
0,utilitarian,1,28,0,5,0,1.0999999999999992,10.999999999999991,302.0,0,0,11
1,utilitarian,1,28,0,4,1,0.5,5.0,248.0,0,0,10
2,baseline,1,28,0,5,0,1.0999999999999983,10.999999999999982,476.0,0,0,15
0,utilitarian,1,29,0,5,0,0.9999999999999992,9.999999999999991,312.0,0,0,11
1,utilitarian,1,29,0,4,1,0.4,4.0,252.0,0,0,11
2,baseline,1,29,1,5,0,0.9999999999999983,15.999999999999982,492.0,0,1,15
0,utilitarian,1,30,0,5,0,0.8999999999999992,8.999999999999991,321.0,0,0,11
1,utilitarian,1,30,0,4,1,0.30000000000000004,3.0000000000000004,255.0,1,-0.1,12
2,baseline,1,30,0,6,0,1.4999999999999982,14.999999999999982,507.0,1,1,15
0,utilitarian,1,31,0,5,0,0.7999999999999993,7.999999999999992,329.0,0,0,11
1,utilitarian,1,31,0,4,1,0.20000000000000004,2.0000000000000004,257.0,1,-0.1,12
2,baseline,1,31,0,6,0,1.3999999999999981,13.99999999999998,521.0,0,0,16
0,utilitarian,1,32,1,5,0,0.6999999999999993,12.999999999999993,342.0,0,0.8,11
1,utilitarian,1,32,0,4,1,0.10000000000000003,1.0000000000000002,258.0,1,-0.1,13
2,baseline,1,32,0,6,0,1.299999999999998,12.99999999999998,534.0,0,0,16
0,utilitarian,1,33,0,6,0,1.1999999999999993,11.999999999999993,354.0,1,0.8,11
1,utilitarian,1,33,0,4,1,2.7755575615628914e-17,2.7755575615628914e-16,258.0,0,0,14
2,baseline,1,33,1,6,0,1.199999999999998,17.99999999999998,552.0,0,1,16
0,utilitarian,1,34,0,6,0,1.0999999999999992,10.999999999999991,365.0,0,0,12
1,utilitarian,1,34,1,4,1,0,5.0,263.0,0,-0.19999999999999996,14
2,baseline,1,34,0,7,0,1.699999999999998,16.99999999999998,569.0,1,1,17
0,utilitarian,1,35,0,6,0,0.9999999999999992,9.999999999999991,375.0,0,0,12
2,baseline,1,35,1,7,0,1.5999999999999979,21.99999999999998,591.0,0,1,18
0,utilitarian,1,36,0,6,0,0.8999999999999992,8.999999999999991,384.0,0,0,12
2,baseline,1,36,0,8,0,2.099999999999998,20.99999999999998,612.0,1,1,19
0,utilitarian,1,37,0,6,0,0.7999999999999993,7.999999999999992,392.0,0,0,12
